"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1611","0.0-0.0","5d1aa9db716058001a060031","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7370","0.0-1.0-0.0","5d1aa9db716058001a060031","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12300","0.0-2.0-0.0","5d1aa9db716058001a060031","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","44230","0.0-2.0-1.0-0.0","5d1aa9db716058001a060031","D2","batch4","[{""page_index"":0,""viewing_time"":25909.60000000894},{""page_index"":1,""viewing_time"":6017.399999991059}]","31927.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","45577","0.0-2.0-1.0-1.0-0.0","5d1aa9db716058001a060031","D2","batch4","","1344.3999999910593","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","48164","0.0-2.0-1.0-1.0-1.0","5d1aa9db716058001a060031","D2","batch4","","2585","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","48923","0.0-2.0-1.0-1.0-2.0","5d1aa9db716058001a060031","D2","batch4","","756.7000000029802","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","52387","0.0-2.0-1.0-1.0-3.0","5d1aa9db716058001a060031","D2","batch4","","3462.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","53287","0.0-2.0-1.0-1.0-4.0","5d1aa9db716058001a060031","D2","batch4","","897.9000000059605","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","54411","0.0-2.0-2.0","5d1aa9db716058001a060031","D2","batch4","","1122.2999999970198","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","56984","0.0-2.0-3.0-0.0","5d1aa9db716058001a060031","D2","batch4","","2568.5","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","59290","0.0-2.0-3.0-1.0","5d1aa9db716058001a060031","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","61992","0.0-2.0-3.0-0.1","5d1aa9db716058001a060031","D2","batch4","","2699.7000000029802","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","63006","0.0-2.0-3.0-1.1","5d1aa9db716058001a060031","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","63885","0.0-2.0-3.0-0.2","5d1aa9db716058001a060031","D2","batch4","","877.1000000089407","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","64891","0.0-2.0-3.0-1.2","5d1aa9db716058001a060031","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","65571","0.0-2.0-3.0-0.3","5d1aa9db716058001a060031","D2","batch4","","679","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","66585","0.0-2.0-3.0-1.3","5d1aa9db716058001a060031","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","67997","0.0-2.0-3.0-0.4","5d1aa9db716058001a060031","D2","batch4","","1410.2999999970198","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","69019","0.0-2.0-3.0-1.4","5d1aa9db716058001a060031","D2","batch4","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","70922","0.0-2.0-4.0","5d1aa9db716058001a060031","D2","batch4","","1900.7999999970198","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","71733","0.0-2.0-5.0-0.0","5d1aa9db716058001a060031","D2","batch4","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","72868","0.0-2.0-5.0-1.0","5d1aa9db716058001a060031","D2","batch4","","1133.699999988079","stim/yes_17_ver_b1_b.png","f","pattern_response","true","f","pattern_46","1133.699999988079","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","75290","0.0-2.0-5.0-0.1","5d1aa9db716058001a060031","D2","batch4","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","80054","0.0-2.0-5.0-1.1","5d1aa9db716058001a060031","D2","batch4","","4761.5999999940395","stim/no_53_1_b.png","j","pattern_response","true","j","pattern_33","4761.5999999940395","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","81372","0.0-2.0-5.0-0.2","5d1aa9db716058001a060031","D2","batch4","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","82256","0.0-2.0-5.0-1.2","5d1aa9db716058001a060031","D2","batch4","","881.5","stim/yes_36_ver_w1_w.png","f","pattern_response","true","f","pattern_58","881.5","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","83584","0.0-2.0-5.0-0.3","5d1aa9db716058001a060031","D2","batch4","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","85224","0.0-2.0-5.0-1.3","5d1aa9db716058001a060031","D2","batch4","","1636.5","stim/yes_46_ver_b1_b.png","f","pattern_response","true","f","pattern_68","1636.5","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","86537","0.0-2.0-5.0-0.4","5d1aa9db716058001a060031","D2","batch4","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","89057","0.0-2.0-5.0-1.4","5d1aa9db716058001a060031","D2","batch4","","2518.1000000089407","stim/no_22_1_b.png","j","pattern_response","true","j","pattern_07","2518.1000000089407","true","5","","","","","","","","","","","","","","","","","","",""
