"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","7958","0.0-0.0","5d2df745da13f60018d14b64","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","19449","0.0-1.0-0.0","5d2df745da13f60018d14b64","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","22778","0.0-2.0-0.0","5d2df745da13f60018d14b64","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","125244","0.0-2.0-1.0-0.0-0.0","5d2df745da13f60018d14b64","E1","batch5","[{""page_index"":0,""viewing_time"":11609.90000000014},{""page_index"":1,""viewing_time"":4539.699999999953},{""page_index"":2,""viewing_time"":2480.5999999998603},{""page_index"":3,""viewing_time"":8706.100000000093},{""page_index"":4,""viewing_time"":5165},{""page_index"":5,""viewing_time"":5465.699999999953},{""page_index"":6,""viewing_time"":64494.60000000009}]","102462.6000000001","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","126405","0.0-2.0-1.0-1.0-0.0","5d2df745da13f60018d14b64","E1","batch5","","1155.5999999998603","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","130811","0.0-2.0-1.0-1.0-1.0","5d2df745da13f60018d14b64","E1","batch5","","4398.40000000014","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","132198","0.0-2.0-1.0-1.0-2.0","5d2df745da13f60018d14b64","E1","batch5","","1380.8000000000466","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","134852","0.0-2.0-1.0-1.0-3.0","5d2df745da13f60018d14b64","E1","batch5","","2652","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","135952","0.0-2.0-1.0-1.0-4.0","5d2df745da13f60018d14b64","E1","batch5","","1095.6999999999534","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","138132","0.0-2.0-2.0","5d2df745da13f60018d14b64","E1","batch5","","2175.3000000000466","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","141333","0.0-2.0-3.0-0.0","5d2df745da13f60018d14b64","E1","batch5","","3193","tol_practice","","","","tol_peg_2","3193","3193","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3193","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","143685","0.0-2.0-3.0-1.0","5d2df745da13f60018d14b64","E1","batch5","","2347","tol_practice","","","","tol_peg_3","2347","2347","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","2347","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","144692","0.0-2.0-4.0","5d2df745da13f60018d14b64","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","150369","0.0-2.0-5.0-0.0","5d2df745da13f60018d14b64","E1","batch5","","5674","tol_practice","","","","tol_peg_1","5674","5674","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","5674","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","151827","0.0-2.0-5.0-1.0","5d2df745da13f60018d14b64","E1","batch5","","1454","tol_practice","","","","tol_peg_3","1454","1454","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1454","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","154293","0.0-2.0-5.1-0.1","5d2df745da13f60018d14b64","E1","batch5","","2461","tol_practice","","","","tol_peg_1","2461","2461","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","2461","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","155433","0.0-2.0-5.1-1.1","5d2df745da13f60018d14b64","E1","batch5","","1137","tol_practice","","","","tol_peg_2","1137","1137","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1137","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","156438","0.0-2.0-6.0","5d2df745da13f60018d14b64","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
