"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","701","0.0-0.0","5d305152b2cfe00019231a2a","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","23276","0.0-1.0-0.0","5d305152b2cfe00019231a2a","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","28736","0.0-2.0-0.0","5d305152b2cfe00019231a2a","F1","batch6","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","39616","0.0-2.0-1.0","5d305152b2cfe00019231a2a","F1","batch6","","10878.299999952316","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","40421","0.0-2.0-2.0-0.0","5d305152b2cfe00019231a2a","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","56826","0.0-2.0-2.0-1.0","5d305152b2cfe00019231a2a","F1","batch6","spm_respsonse","16399.700000047684","img/question_1_1.jpeg","3","mat_01","4","1","1","16399.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","57891","0.0-2.0-2.0-0.1","5d305152b2cfe00019231a2a","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","61200","0.0-2.0-2.0-1.1","5d305152b2cfe00019231a2a","F1","batch6","spm_respsonse","3305.600000143051","img/question_1_2.jpeg","4","mat_02","5","1","1","3305.600000143051","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","62261","0.0-2.0-2.0-0.2","5d305152b2cfe00019231a2a","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","77642","0.0-2.0-2.0-1.2","5d305152b2cfe00019231a2a","F1","batch6","spm_respsonse","15376.5","img/question_1_3.jpeg","0","mat_03","1","1","1","15376.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","78718","0.0-2.0-2.0-0.3","5d305152b2cfe00019231a2a","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","89070","0.0-2.0-2.0-1.3","5d305152b2cfe00019231a2a","F1","batch6","spm_respsonse","10348","img/question_1_4.jpeg","1","mat_04","2","1","1","10348","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","90140","0.0-2.0-2.0-0.4","5d305152b2cfe00019231a2a","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","101192","0.0-2.0-2.0-1.4","5d305152b2cfe00019231a2a","F1","batch6","spm_respsonse","11047.599999904633","img/question_1_5.jpeg","5","mat_05","6","1","1","11047.599999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","102245","0.0-2.0-2.0-0.5","5d305152b2cfe00019231a2a","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","119838","0.0-2.0-2.0-1.5","5d305152b2cfe00019231a2a","F1","batch6","spm_respsonse","17588.900000095367","img/question_1_6.jpeg","2","mat_06","3","1","1","17588.900000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","120906","0.0-2.0-2.0-0.6","5d305152b2cfe00019231a2a","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","132086","0.0-2.0-2.0-1.6","5d305152b2cfe00019231a2a","F1","batch6","spm_respsonse","11175.699999809265","img/question_1_7.jpeg","5","mat_07","6","1","1","11175.699999809265","","","","","","","","","","","","","","","","","","","","",""
