"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","12645","0.0-0.0","5d520a2a08c3b00019384072","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","59450","0.0-1.0-0.0","5d520a2a08c3b00019384072","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","65827","0.0-2.0-0.0","5d520a2a08c3b00019384072","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","79737","0.0-2.0-1.0","5d520a2a08c3b00019384072","E1","batch5","","13907.299999952316","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","80539","0.0-2.0-2.0-0.0","5d520a2a08c3b00019384072","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","94611","0.0-2.0-2.0-1.0","5d520a2a08c3b00019384072","E1","batch5","spm_respsonse","14067.699999809265","img/question_1_1.jpeg","5","mat_01","4","0","0","14067.699999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","95664","0.0-2.0-2.0-0.1","5d520a2a08c3b00019384072","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","104608","0.0-2.0-2.0-1.1","5d520a2a08c3b00019384072","E1","batch5","spm_respsonse","8941.200000047684","img/question_1_2.jpeg","4","mat_02","5","1","1","8941.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","105660","0.0-2.0-2.0-0.2","5d520a2a08c3b00019384072","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","111205","0.0-2.0-2.0-1.2","5d520a2a08c3b00019384072","E1","batch5","spm_respsonse","5541.900000095367","img/question_1_3.jpeg","0","mat_03","1","1","1","5541.900000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","112258","0.0-2.0-2.0-0.3","5d520a2a08c3b00019384072","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","122559","0.0-2.0-2.0-1.3","5d520a2a08c3b00019384072","E1","batch5","spm_respsonse","10298.099999904633","img/question_1_4.jpeg","1","mat_04","2","1","1","10298.099999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","123611","0.0-2.0-2.0-0.4","5d520a2a08c3b00019384072","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","131439","0.0-2.0-2.0-1.4","5d520a2a08c3b00019384072","E1","batch5","spm_respsonse","7824.600000143051","img/question_1_5.jpeg","5","mat_05","6","1","1","7824.600000143051","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","132490","0.0-2.0-2.0-0.5","5d520a2a08c3b00019384072","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","140898","0.0-2.0-2.0-1.5","5d520a2a08c3b00019384072","E1","batch5","spm_respsonse","8405.200000047684","img/question_1_6.jpeg","2","mat_06","3","1","1","8405.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","141951","0.0-2.0-2.0-0.6","5d520a2a08c3b00019384072","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","155711","0.0-2.0-2.0-1.6","5d520a2a08c3b00019384072","E1","batch5","spm_respsonse","13756.699999809265","img/question_1_7.jpeg","5","mat_07","6","1","1","13756.699999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","156764","0.0-2.0-2.0-0.7","5d520a2a08c3b00019384072","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
