"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","3310","0.0-0.0","5d5b67ab9ad5a300181398dc","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","12586","0.0-1.0-0.0","5d5b67ab9ad5a300181398dc","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16164","0.0-2.0-0.0","5d5b67ab9ad5a300181398dc","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","32210","0.0-2.0-1.0-0.0","5d5b67ab9ad5a300181398dc","F1","batch6","[{""page_index"":0,""viewing_time"":8428.400000095367},{""page_index"":1,""viewing_time"":7616.799999952316}]","16045.299999952316","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","33867","0.0-2.0-1.0-1.0-0.0","5d5b67ab9ad5a300181398dc","F1","batch6","","1656.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","40127","0.0-2.0-1.0-1.0-1.0","5d5b67ab9ad5a300181398dc","F1","batch6","","6259.299999952316","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","42329","0.0-2.0-1.0-1.0-2.0","5d5b67ab9ad5a300181398dc","F1","batch6","","2201.100000143051","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","46059","0.0-2.0-1.0-1.0-3.0","5d5b67ab9ad5a300181398dc","F1","batch6","","3729.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","47411","0.0-2.0-1.0-1.0-4.0","5d5b67ab9ad5a300181398dc","F1","batch6","","1351.3999998569489","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","49869","0.0-2.0-2.0","5d5b67ab9ad5a300181398dc","F1","batch6","","2456.4000000953674","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","51956","0.0-2.0-3.0-0.0","5d5b67ab9ad5a300181398dc","F1","batch6","","2085","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","52980","0.0-2.0-3.0-1.0","5d5b67ab9ad5a300181398dc","F1","batch6","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","57686","0.0-2.0-3.0-0.1","5d5b67ab9ad5a300181398dc","F1","batch6","","4704","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","58710","0.0-2.0-3.0-1.1","5d5b67ab9ad5a300181398dc","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
