"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","14648","0.0-0.0","5d658bd7d70c7100014cfc3d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","140320","0.0-1.0-0.0","5d658bd7d70c7100014cfc3d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","143951","0.0-2.0-0.0","5d658bd7d70c7100014cfc3d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","159897","0.0-2.0-1.0-0.0","5d658bd7d70c7100014cfc3d","B2","batch2","[{""page_index"":0,""viewing_time"":9145.59999999404},{""page_index"":1,""viewing_time"":6798.9000000059605}]","15944.59999999404","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","160974","0.0-2.0-1.0-1.0-0.0","5d658bd7d70c7100014cfc3d","B2","batch2","","1076","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","162832","0.0-2.0-1.0-1.0-1.0","5d658bd7d70c7100014cfc3d","B2","batch2","","1856.7000000029802","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","164582","0.0-2.0-1.0-1.0-2.0","5d658bd7d70c7100014cfc3d","B2","batch2","","1748.300000011921","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","167184","0.0-2.0-1.0-1.0-3.0","5d658bd7d70c7100014cfc3d","B2","batch2","","2601.2000000029802","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","168028","0.0-2.0-1.0-1.0-4.0","5d658bd7d70c7100014cfc3d","B2","batch2","","842.7000000029802","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","169372","0.0-2.0-2.0","5d658bd7d70c7100014cfc3d","B2","batch2","","1343.2999999970198","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","171805","0.0-2.0-3.0-0.0","5d658bd7d70c7100014cfc3d","B2","batch2","","2430.2000000029802","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
