"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","4330","0.0-0.0","5d6ef023cfe0a400198f911e","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","20009","0.0-1.0-0.0","5d6ef023cfe0a400198f911e","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","24992","0.0-2.0-0.0","5d6ef023cfe0a400198f911e","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","56838","0.0-2.0-1.0-0.0","5d6ef023cfe0a400198f911e","F1","batch6","[{""page_index"":0,""viewing_time"":24988},{""page_index"":1,""viewing_time"":6856}]","31844","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","59557","0.0-2.0-1.0-1.0-0.0","5d6ef023cfe0a400198f911e","F1","batch6","","2719","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","63197","0.0-2.0-1.0-1.0-1.0","5d6ef023cfe0a400198f911e","F1","batch6","","3639","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","64998","0.0-2.0-1.0-1.0-2.0","5d6ef023cfe0a400198f911e","F1","batch6","","1799","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","69350","0.0-2.0-1.0-1.0-3.0","5d6ef023cfe0a400198f911e","F1","batch6","","4351","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","70087","0.0-2.0-1.0-1.0-4.0","5d6ef023cfe0a400198f911e","F1","batch6","","735","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","73558","0.0-2.0-2.0","5d6ef023cfe0a400198f911e","F1","batch6","","3471","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","77884","0.0-2.0-3.0-0.0","5d6ef023cfe0a400198f911e","F1","batch6","","4317","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","78907","0.0-2.0-3.0-1.0","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","80502","0.0-2.0-3.0-0.1","5d6ef023cfe0a400198f911e","F1","batch6","","1589","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","81511","0.0-2.0-3.0-1.1","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","83921","0.0-2.0-3.0-0.2","5d6ef023cfe0a400198f911e","F1","batch6","","2404","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","84945","0.0-2.0-3.0-1.2","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","87101","0.0-2.0-3.0-0.3","5d6ef023cfe0a400198f911e","F1","batch6","","2150","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","88114","0.0-2.0-3.0-1.3","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","88953","0.0-2.0-3.0-0.4","5d6ef023cfe0a400198f911e","F1","batch6","","833","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","89983","0.0-2.0-3.0-1.4","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","93503","0.0-2.0-4.0","5d6ef023cfe0a400198f911e","F1","batch6","","3519","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","94307","0.0-2.0-5.0-0.0","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","98117","0.0-2.0-5.0-1.0","5d6ef023cfe0a400198f911e","F1","batch6","","3804","stim/no_45_1_w.png","j","pattern_response","true","j","pattern_25","3804","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","99437","0.0-2.0-5.0-0.1","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","101215","0.0-2.0-5.0-1.1","5d6ef023cfe0a400198f911e","F1","batch6","","1771","stim/no_12_1.png","j","pattern_response","true","j","pattern_01","1771","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","102538","0.0-2.0-5.0-0.2","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","103551","0.0-2.0-5.0-1.2","5d6ef023cfe0a400198f911e","F1","batch6","","1008","stim/yes_23_ver_b1.png","f","pattern_response","true","f","pattern_48","1008","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","104877","0.0-2.0-5.0-0.3","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","108294","0.0-2.0-5.0-1.3","5d6ef023cfe0a400198f911e","F1","batch6","","3410","stim/yes_33_dia_w1_w.png","f","pattern_response","true","f","pattern_56","3410","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","109602","0.0-2.0-5.0-0.4","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","110789","0.0-2.0-5.0-1.4","5d6ef023cfe0a400198f911e","F1","batch6","","1181","stim/no_53_1_b.png","f","pattern_response","false","j","pattern_33","1181","false","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","112112","0.0-2.0-5.0-0.5","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","113656","0.0-2.0-5.0-1.5","5d6ef023cfe0a400198f911e","F1","batch6","","1539","stim/yes_44_ver_w1_w.png","f","pattern_response","true","f","pattern_66","1539","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","114979","0.0-2.0-5.0-0.6","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","118346","0.0-2.0-5.0-1.6","5d6ef023cfe0a400198f911e","F1","batch6","","3361","stim/no_37_2_w.png","j","pattern_response","true","j","pattern_19","3361","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","119647","0.0-2.0-5.0-0.7","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","123326","0.0-2.0-5.0-1.7","5d6ef023cfe0a400198f911e","F1","batch6","","3673","stim/no_39_1_w.png","j","pattern_response","true","j","pattern_21","3673","true","7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","124634","0.0-2.0-5.0-0.8","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 9 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","38","127850","0.0-2.0-5.0-1.8","5d6ef023cfe0a400198f911e","F1","batch6","","3210","stim/no_30_1_b.png","j","pattern_response","true","j","pattern_13","3210","true","8","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","129171","0.0-2.0-5.0-0.9","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 10 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","40","130248","0.0-2.0-5.0-1.9","5d6ef023cfe0a400198f911e","F1","batch6","","1071","stim/yes_17_ver_b1_b.png","f","pattern_response","true","f","pattern_46","1071","true","9","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","131569","0.0-2.0-5.0-0.10","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 11 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","42","133148","0.0-2.0-5.0-1.10","5d6ef023cfe0a400198f911e","F1","batch6","","1573","stim/yes_15_dia_b1u_b.png","f","pattern_response","true","f","pattern_44","1573","true","10","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","134470","0.0-2.0-5.0-0.11","5d6ef023cfe0a400198f911e","F1","batch6","","null","<p class=block-text>Trial 12 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","44","136293","0.0-2.0-5.0-1.11","5d6ef023cfe0a400198f911e","F1","batch6","","1817","stim/yes_30_ver_b1_b.png","f","pattern_response","true","f","pattern_54","1817","true","11","","","","","","","","","","","","","","","","","","",""
