"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","79","0.0-0.0","5daa3d1726488800157a6ffc","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","25248","0.0-1.0-0.0","5daa3d1726488800157a6ffc","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","33059","0.0-2.0-0.0","5daa3d1726488800157a6ffc","F1","batch6","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","46485","0.0-2.0-1.0","5daa3d1726488800157a6ffc","F1","batch6","","13425.699999988079","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","47289","0.0-2.0-2.0-0.0","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","56138","0.0-2.0-2.0-1.0","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","8847.5","img/question_1_1.jpeg","3","mat_01","4","1","1","8847.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","57201","0.0-2.0-2.0-0.1","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","62411","0.0-2.0-2.0-1.1","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","5208.900000035763","img/question_1_2.jpeg","4","mat_02","5","1","1","5208.900000035763","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","63466","0.0-2.0-2.0-0.2","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","67951","0.0-2.0-2.0-1.2","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","4484.800000011921","img/question_1_3.jpeg","0","mat_03","1","1","1","4484.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","69012","0.0-2.0-2.0-0.3","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","80081","0.0-2.0-2.0-1.3","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","11068.199999988079","img/question_1_4.jpeg","1","mat_04","2","1","1","11068.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","81156","0.0-2.0-2.0-0.4","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","84358","0.0-2.0-2.0-1.4","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","3200.7000000476837","img/question_1_5.jpeg","5","mat_05","6","1","1","3200.7000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","85422","0.0-2.0-2.0-0.5","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","90942","0.0-2.0-2.0-1.5","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","5519.099999964237","img/question_1_6.jpeg","2","mat_06","3","1","1","5519.099999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","92016","0.0-2.0-2.0-0.6","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","100061","0.0-2.0-2.0-1.6","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","8043.800000011921","img/question_1_7.jpeg","5","mat_07","6","1","1","8043.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","101113","0.0-2.0-2.0-0.7","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","110153","0.0-2.0-2.0-1.7","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","9038.699999988079","img/question_1_8.jpeg","1","mat_08","2","1","1","9038.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","111220","0.0-2.0-2.0-0.8","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","116791","0.0-2.0-2.0-1.8","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","5569.900000035763","img/question_1_9.jpeg","0","mat_09","1","1","1","5569.900000035763","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","117857","0.0-2.0-2.0-0.9","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","127241","0.0-2.0-2.0-1.9","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","9382.200000047684","img/question_1_10.jpeg","2","mat_10","3","1","1","9382.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","128309","0.0-2.0-2.0-0.10","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","145157","0.0-2.0-2.0-1.10","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","16846.30000001192","img/question_1_11.jpeg","1","mat_11","4","0","0","16846.30000001192","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","146208","0.0-2.0-2.0-0.11","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","156711","0.0-2.0-2.0-1.11","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","10501.600000023842","img/question_1_12.jpeg","0","mat_12","5","0","0","10501.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","157769","0.0-2.0-2.0-0.12","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","161739","0.0-2.0-2.0-1.12","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","3968.600000023842","img/question_2_1.jpeg","1","mat_13","2","1","1","3968.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","162794","0.0-2.0-2.0-0.13","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","168549","0.0-2.0-2.0-1.13","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","5752.899999976158","img/question_2_2.jpeg","5","mat_14","6","1","1","5752.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","169600","0.0-2.0-2.0-0.14","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","174707","0.0-2.0-2.0-1.14","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","5105.800000011921","img/question_2_3.jpeg","0","mat_15","1","1","1","5105.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","175765","0.0-2.0-2.0-0.15","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","190809","0.0-2.0-2.0-1.15","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","15042.5","img/question_2_4.jpeg","3","mat_16","2","0","0","15042.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","191874","0.0-2.0-2.0-0.16","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","197741","0.0-2.0-2.0-1.16","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","5865.799999952316","img/question_2_5.jpeg","0","mat_17","1","1","1","5865.799999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","198811","0.0-2.0-2.0-0.17","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","210761","0.0-2.0-2.0-1.17","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","11949.100000023842","img/question_2_6.jpeg","2","mat_18","3","1","1","11949.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","211823","0.0-2.0-2.0-0.18","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","219870","0.0-2.0-2.0-1.18","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","8046.199999988079","img/question_2_7.jpeg","5","mat_19","5","0","0","8046.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","220938","0.0-2.0-2.0-0.19","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","238507","0.0-2.0-2.0-1.19","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","17567","img/question_2_8.jpeg","5","mat_20","6","1","1","17567","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","239566","0.0-2.0-2.0-0.20","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","249776","0.0-2.0-2.0-1.20","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","10208.800000011921","img/question_2_9.jpeg","3","mat_21","4","1","1","10208.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","250831","0.0-2.0-2.0-0.21","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","272504","0.0-2.0-2.0-1.21","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","21672.599999964237","img/question_2_10.jpeg","2","mat_22","3","1","1","21672.599999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","273573","0.0-2.0-2.0-0.22","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","287864","0.0-2.0-2.0-1.22","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","14289.300000011921","img/question_2_11.jpeg","3","mat_23","4","1","1","14289.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","288935","0.0-2.0-2.0-0.23","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","51","331238","0.0-2.0-2.0-1.23","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","42301.09999996424","img/question_2_12.jpeg","1","mat_24","5","0","0","42301.09999996424","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","52","334529","0.0-2.0-3.0","5daa3d1726488800157a6ffc","F1","batch6","attention_check","3027.300000011921","<p class = block-text>Attention check: Please choose 1<br></p>","0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","335334","0.0-2.0-4.0-0.0","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 25 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","54","348402","0.0-2.0-4.0-1.0","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","13067.100000023842","img/question_3_1.jpeg","7","mat_25","8","1","1","13067.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","349461","0.0-2.0-4.0-0.1","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 26 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","56","358322","0.0-2.0-4.0-1.1","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","8859.5","img/question_3_2.jpeg","1","mat_26","2","1","1","8859.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","359381","0.0-2.0-4.0-0.2","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 27 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","58","377010","0.0-2.0-4.0-1.2","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","17627.30000001192","img/question_3_3.jpeg","2","mat_27","3","1","1","17627.30000001192","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","378078","0.0-2.0-4.0-0.3","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 28 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","60","413056","0.0-2.0-4.0-1.3","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","34976.19999998808","img/question_3_4.jpeg","3","mat_28","8","0","0","34976.19999998808","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","61","414132","0.0-2.0-4.0-0.4","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 29 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","62","431564","0.0-2.0-4.0-1.4","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","17430.599999964237","img/question_3_5.jpeg","6","mat_29","7","1","1","17430.599999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","63","432621","0.0-2.0-4.0-0.5","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 30 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","64","459645","0.0-2.0-4.0-1.5","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","27022.900000035763","img/question_3_6.jpeg","3","mat_30","4","1","1","27022.900000035763","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","65","460712","0.0-2.0-4.0-0.6","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 31 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","66","494319","0.0-2.0-4.0-1.6","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","33606.39999997616","img/question_3_7.jpeg","7","mat_31","5","0","0","33606.39999997616","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","67","495389","0.0-2.0-4.0-0.7","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 32 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","68","527065","0.0-2.0-4.0-1.7","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","31675","img/question_3_8.jpeg","0","mat_32","1","1","1","31675","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","69","528125","0.0-2.0-4.0-0.8","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 33 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","70","558746","0.0-2.0-4.0-1.8","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","30620.600000023842","img/question_3_9.jpeg","0","mat_33","7","0","0","30620.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","71","559816","0.0-2.0-4.0-0.9","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 34 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","72","579777","0.0-2.0-4.0-1.9","5daa3d1726488800157a6ffc","F1","batch6","spm_respsonse","19959.5","img/question_3_10.jpeg","7","mat_34","6","0","0","19959.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","73","580831","0.0-2.0-4.0-0.10","5daa3d1726488800157a6ffc","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 35 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
