"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","8266","0.0-0.0","5db0a97f127d4000117cdfa0","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","16038","0.0-1.0-0.0","5db0a97f127d4000117cdfa0","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20421","0.0-2.0-0.0","5db0a97f127d4000117cdfa0","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","88189","0.0-2.0-1.0-0.0-0.0","5db0a97f127d4000117cdfa0","B2","batch2","[{""page_index"":0,""viewing_time"":10797.09999999404},{""page_index"":1,""viewing_time"":3839.9000000059605},{""page_index"":2,""viewing_time"":13176.09999999404},{""page_index"":3,""viewing_time"":13416.100000023842},{""page_index"":4,""viewing_time"":8888.199999988079},{""page_index"":5,""viewing_time"":11975.800000011921},{""page_index"":6,""viewing_time"":5671.799999982119}]","67765.20000001788","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","89789","0.0-2.0-1.0-1.0-0.0","5db0a97f127d4000117cdfa0","B2","batch2","","1599.4000000059605","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","95197","0.0-2.0-1.0-1.0-1.0","5db0a97f127d4000117cdfa0","B2","batch2","","5406.5999999940395","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","98949","0.0-2.0-1.0-1.0-2.0","5db0a97f127d4000117cdfa0","B2","batch2","","3750.600000023842","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","101621","0.0-2.0-1.0-1.0-3.0","5db0a97f127d4000117cdfa0","B2","batch2","","2671.300000011921","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","102581","0.0-2.0-1.0-1.0-4.0","5db0a97f127d4000117cdfa0","B2","batch2","","959","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","104925","0.0-2.0-1.0-2.0-0.0","5db0a97f127d4000117cdfa0","B2","batch2","","2342.800000011921","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","128357","0.0-2.0-1.1-0.1-0.1","5db0a97f127d4000117cdfa0","B2","batch2","[{""page_index"":0,""viewing_time"":3895.4000000059605},{""page_index"":1,""viewing_time"":1792.0999999940395},{""page_index"":2,""viewing_time"":1423.9000000059605},{""page_index"":3,""viewing_time"":3776.0999999940395},{""page_index"":4,""viewing_time"":1928.1000000238419},{""page_index"":5,""viewing_time"":8223.799999982119},{""page_index"":6,""viewing_time"":2391.9000000059605}]","23431.600000023842","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","129365","0.0-2.0-1.1-1.1-0.1","5db0a97f127d4000117cdfa0","B2","batch2","","1007.5999999940395","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","131093","0.0-2.0-1.1-1.1-1.1","5db0a97f127d4000117cdfa0","B2","batch2","","1727.0999999940395","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","131917","0.0-2.0-1.1-1.1-2.1","5db0a97f127d4000117cdfa0","B2","batch2","","823.3999999761581","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","133093","0.0-2.0-1.1-1.1-3.1","5db0a97f127d4000117cdfa0","B2","batch2","","1175.199999988079","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","134029","0.0-2.0-1.1-1.1-4.1","5db0a97f127d4000117cdfa0","B2","batch2","","935.5","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","136381","0.0-2.0-2.0","5db0a97f127d4000117cdfa0","B2","batch2","","2351.2999999821186","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","141071","0.0-2.0-3.0-0.0","5db0a97f127d4000117cdfa0","B2","batch2","","4688","tol_practice","","","","tol_peg_2","4688","4688","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4688","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","142837","0.0-2.0-3.0-1.0","5db0a97f127d4000117cdfa0","B2","batch2","","1765","tol_practice","","","","tol_peg_3","1765","1765","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1765","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","19","143839","0.0-2.0-4.0","5db0a97f127d4000117cdfa0","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","20","149709","0.0-2.0-5.0-0.0","5db0a97f127d4000117cdfa0","B2","batch2","","5869","tol_practice","","","","tol_peg_1","5869","5869","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","5869","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","151093","0.0-2.0-5.0-1.0","5db0a97f127d4000117cdfa0","B2","batch2","","1384","tol_practice","","","","tol_peg_3","1384","1384","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1384","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","22","152477","0.0-2.0-5.1-0.1","5db0a97f127d4000117cdfa0","B2","batch2","","1384","tol_practice","","","","tol_peg_1","1384","1384","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1384","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","23","153109","0.0-2.0-5.1-1.1","5db0a97f127d4000117cdfa0","B2","batch2","","632","tol_practice","","","","tol_peg_2","632","632","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","632","","","","","","","","","","","","","","",""
