"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","731","0.0-0.0","5dc807ff27a267592c6129f5","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9963","0.0-1.0-0.0","5dc807ff27a267592c6129f5","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","13224","0.0-2.0-0.0","5dc807ff27a267592c6129f5","B2","batch2","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","22299","0.0-2.0-1.0","5dc807ff27a267592c6129f5","B2","batch2","","9073.699999809265","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","23113","0.0-2.0-2.0-0.0","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","28954","0.0-2.0-2.0-1.0","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","5836.900000095367","img/question_1_1.jpeg","3","mat_01","4","1","1","5836.900000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","30027","0.0-2.0-2.0-0.1","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","33133","0.0-2.0-2.0-1.1","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","3104.2000002861023","img/question_1_2.jpeg","4","mat_02","5","1","1","3104.2000002861023","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","34188","0.0-2.0-2.0-0.2","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","40626","0.0-2.0-2.0-1.2","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","6435.700000286102","img/question_1_3.jpeg","0","mat_03","1","1","1","6435.700000286102","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","41698","0.0-2.0-2.0-0.3","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","46419","0.0-2.0-2.0-1.3","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","4718.5","img/question_1_4.jpeg","1","mat_04","2","1","1","4718.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","47485","0.0-2.0-2.0-0.4","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","51585","0.0-2.0-2.0-1.4","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","4097.699999809265","img/question_1_5.jpeg","5","mat_05","6","1","1","4097.699999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","52661","0.0-2.0-2.0-0.5","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","55868","0.0-2.0-2.0-1.5","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","3205","img/question_1_6.jpeg","2","mat_06","3","1","1","3205","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","56941","0.0-2.0-2.0-0.6","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","62055","0.0-2.0-2.0-1.6","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","5112.300000190735","img/question_1_7.jpeg","5","mat_07","6","1","1","5112.300000190735","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","63124","0.0-2.0-2.0-0.7","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","68038","0.0-2.0-2.0-1.7","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","4911.5","img/question_1_8.jpeg","1","mat_08","2","1","1","4911.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","69110","0.0-2.0-2.0-0.8","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","72782","0.0-2.0-2.0-1.8","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","3669.699999809265","img/question_1_9.jpeg","0","mat_09","1","1","1","3669.699999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","73852","0.0-2.0-2.0-0.9","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","81054","0.0-2.0-2.0-1.9","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","7200","img/question_1_10.jpeg","2","mat_10","3","1","1","7200","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","82124","0.0-2.0-2.0-0.10","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","102416","0.0-2.0-2.0-1.10","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","20290.400000095367","img/question_1_11.jpeg","3","mat_11","4","1","1","20290.400000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","103478","0.0-2.0-2.0-0.11","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","128363","0.0-2.0-2.0-1.11","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","24883.099999904633","img/question_1_12.jpeg","3","mat_12","5","0","0","24883.099999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","129439","0.0-2.0-2.0-0.12","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","132618","0.0-2.0-2.0-1.12","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","3177.199999809265","img/question_2_1.jpeg","1","mat_13","2","1","1","3177.199999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","133679","0.0-2.0-2.0-0.13","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","139208","0.0-2.0-2.0-1.13","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","5526.10000038147","img/question_2_2.jpeg","5","mat_14","6","1","1","5526.10000038147","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","140275","0.0-2.0-2.0-0.14","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","143188","0.0-2.0-2.0-1.14","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","2910.800000190735","img/question_2_3.jpeg","0","mat_15","1","1","1","2910.800000190735","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","144262","0.0-2.0-2.0-0.15","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","151399","0.0-2.0-2.0-1.15","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","7135.199999809265","img/question_2_4.jpeg","1","mat_16","2","1","1","7135.199999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","152465","0.0-2.0-2.0-0.16","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","157937","0.0-2.0-2.0-1.16","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","5469.099999904633","img/question_2_5.jpeg","0","mat_17","1","1","1","5469.099999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","159007","0.0-2.0-2.0-0.17","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","167520","0.0-2.0-2.0-1.17","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","8510.400000095367","img/question_2_6.jpeg","2","mat_18","3","1","1","8510.400000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","168585","0.0-2.0-2.0-0.18","5dc807ff27a267592c6129f5","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","184893","0.0-2.0-2.0-1.18","5dc807ff27a267592c6129f5","B2","batch2","spm_respsonse","16306.300000190735","img/question_2_7.jpeg","4","mat_19","5","1","1","16306.300000190735","","","","","","","","","","","","","","","","","","","","",""
