"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1069","0.0-0.0","5dd1919051c6d2208e27fbc1","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","12349","0.0-1.0-0.0","5dd1919051c6d2208e27fbc1","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","21991","0.0-2.0-0.0","5dd1919051c6d2208e27fbc1","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","65904","0.0-2.0-1.0-0.0","5dd1919051c6d2208e27fbc1","F1","batch6","[{""page_index"":0,""viewing_time"":18110.400000000373},{""page_index"":1,""viewing_time"":25801.900000000373}]","43912.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","68242","0.0-2.0-1.0-1.0-0.0","5dd1919051c6d2208e27fbc1","F1","batch6","","2337.300000000745","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","73584","0.0-2.0-1.0-1.0-1.0","5dd1919051c6d2208e27fbc1","F1","batch6","","5341","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","76142","0.0-2.0-1.0-1.0-2.0","5dd1919051c6d2208e27fbc1","F1","batch6","","2557.0999999996275","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","81898","0.0-2.0-1.0-1.0-3.0","5dd1919051c6d2208e27fbc1","F1","batch6","","5755.4000000003725","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","83442","0.0-2.0-1.0-1.0-4.0","5dd1919051c6d2208e27fbc1","F1","batch6","","1543.800000000745","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","86776","0.0-2.0-2.0","5dd1919051c6d2208e27fbc1","F1","batch6","","3332.4000000003725","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","89553","0.0-2.0-3.0-0.0","5dd1919051c6d2208e27fbc1","F1","batch6","","2774.9000000003725","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","90576","0.0-2.0-3.0-1.0","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","92622","0.0-2.0-3.0-0.1","5dd1919051c6d2208e27fbc1","F1","batch6","","2045.0999999996275","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","93645","0.0-2.0-3.0-1.1","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","95678","0.0-2.0-3.0-0.2","5dd1919051c6d2208e27fbc1","F1","batch6","","2032.4000000003725","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","96700","0.0-2.0-3.0-1.2","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","99198","0.0-2.0-3.0-0.3","5dd1919051c6d2208e27fbc1","F1","batch6","","2497.5999999996275","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","100215","0.0-2.0-3.0-1.3","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","101318","0.0-2.0-3.0-0.4","5dd1919051c6d2208e27fbc1","F1","batch6","","1102.2999999988824","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","102346","0.0-2.0-3.0-1.4","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","127908","0.0-2.0-4.0","5dd1919051c6d2208e27fbc1","F1","batch6","","25561.700000001118","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","128719","0.0-2.0-5.0-0.0","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","130006","0.0-2.0-5.0-1.0","5dd1919051c6d2208e27fbc1","F1","batch6","","1285.5999999996275","stim/yes_46_ver_b1_b.png","f","pattern_response","true","f","pattern_68","1285.5999999996275","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","131308","0.0-2.0-5.0-0.1","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","132182","0.0-2.0-5.0-1.1","5dd1919051c6d2208e27fbc1","F1","batch6","","873.3999999985099","stim/yes_17_ver_b1_b.png","f","pattern_response","true","f","pattern_46","873.3999999985099","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","133489","0.0-2.0-5.0-0.2","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","135686","0.0-2.0-5.0-1.2","5dd1919051c6d2208e27fbc1","F1","batch6","","2196.5","stim/no_36_1_b.png","j","pattern_response","true","j","pattern_17","2196.5","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","136987","0.0-2.0-5.0-0.3","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","138102","0.0-2.0-5.0-1.3","5dd1919051c6d2208e27fbc1","F1","batch6","","1113.8999999985099","stim/no_12_1.png","j","pattern_response","true","j","pattern_01","1113.8999999985099","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","139415","0.0-2.0-5.0-0.4","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","140982","0.0-2.0-5.0-1.4","5dd1919051c6d2208e27fbc1","F1","batch6","","1565.9000000003725","stim/yes_23_ver_b1.png","f","pattern_response","true","f","pattern_48","1565.9000000003725","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","142290","0.0-2.0-5.0-0.5","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","143486","0.0-2.0-5.0-1.5","5dd1919051c6d2208e27fbc1","F1","batch6","","1194.699999999255","stim/yes_42_dia_w1_w.png","f","pattern_response","true","f","pattern_64","1194.699999999255","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","144798","0.0-2.0-5.0-0.6","5dd1919051c6d2208e27fbc1","F1","batch6","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
