"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1005","0.0-0.0","5dd1a21340460e2103faf78c","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8892","0.0-1.0-0.0","5dd1a21340460e2103faf78c","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","11655","0.0-2.0-0.0","5dd1a21340460e2103faf78c","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","54347","0.0-2.0-1.0-0.0-0.0","5dd1a21340460e2103faf78c","D2","batch4","[{""page_index"":0,""viewing_time"":7686.200000047684},{""page_index"":1,""viewing_time"":3275.2000000476837},{""page_index"":2,""viewing_time"":2700.5},{""page_index"":3,""viewing_time"":7810.5},{""page_index"":4,""viewing_time"":7664.400000095367},{""page_index"":5,""viewing_time"":11356.299999952316},{""page_index"":6,""viewing_time"":2197.899999856949}]","42691.10000014305","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","55151","0.0-2.0-1.0-1.0-0.0","5dd1a21340460e2103faf78c","D2","batch4","","803.7000000476837","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","63376","0.0-2.0-1.0-1.0-1.0","5dd1a21340460e2103faf78c","D2","batch4","","8223.400000095367","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","64519","0.0-2.0-1.0-1.0-2.0","5dd1a21340460e2103faf78c","D2","batch4","","1142","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","67548","0.0-2.0-1.0-1.0-3.0","5dd1a21340460e2103faf78c","D2","batch4","","3028.2999999523163","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","68306","0.0-2.0-1.0-1.0-4.0","5dd1a21340460e2103faf78c","D2","batch4","","755.7000000476837","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","69913","0.0-2.0-2.0","5dd1a21340460e2103faf78c","D2","batch4","","1606.2000000476837","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","71993","0.0-2.0-3.0-0.0","5dd1a21340460e2103faf78c","D2","batch4","","2078","tol_practice","","","","tol_peg_2","2078","2078","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2078","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","72772","0.0-2.0-3.0-1.0","5dd1a21340460e2103faf78c","D2","batch4","","779","tol_practice","","","","tol_peg_3","779","779","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","779","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","73784","0.0-2.0-4.0","5dd1a21340460e2103faf78c","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
