"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","13945","0.0-0.0","5e0f443e8205266652153f5e","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","691553","0.0-1.0-0.0","5e0f443e8205266652153f5e","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","694710","0.0-2.0-0.0","5e0f443e8205266652153f5e","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","716135","0.0-2.0-1.0-0.0","5e0f443e8205266652153f5e","B2","batch2","[{""page_index"":0,""viewing_time"":15185.5},{""page_index"":1,""viewing_time"":6236.399999999441}]","21422.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","717777","0.0-2.0-1.0-1.0-0.0","5e0f443e8205266652153f5e","B2","batch2","","1639.7999999998137","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","720905","0.0-2.0-1.0-1.0-1.0","5e0f443e8205266652153f5e","B2","batch2","","3125.699999999255","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","724224","0.0-2.0-1.0-1.0-2.0","5e0f443e8205266652153f5e","B2","batch2","","3314.800000000745","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","728542","0.0-2.0-1.0-1.0-3.0","5e0f443e8205266652153f5e","B2","batch2","","4316.399999999441","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","729474","0.0-2.0-1.0-1.0-4.0","5e0f443e8205266652153f5e","B2","batch2","","930.1000000005588","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","731007","0.0-2.0-2.0","5e0f443e8205266652153f5e","B2","batch2","","1528.2999999998137","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","732473","0.0-2.0-3.0-0.0","5e0f443e8205266652153f5e","B2","batch2","","1461.9000000003725","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","733480","0.0-2.0-3.0-1.0","5e0f443e8205266652153f5e","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","734384","0.0-2.0-3.0-0.1","5e0f443e8205266652153f5e","B2","batch2","","902.5999999996275","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","735410","0.0-2.0-3.0-1.1","5e0f443e8205266652153f5e","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","736074","0.0-2.0-3.0-0.2","5e0f443e8205266652153f5e","B2","batch2","","662.0999999996275","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","737080","0.0-2.0-3.0-1.2","5e0f443e8205266652153f5e","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","737890","0.0-2.0-3.0-0.3","5e0f443e8205266652153f5e","B2","batch2","","808.4000000003725","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","738909","0.0-2.0-3.0-1.3","5e0f443e8205266652153f5e","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
