"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","4197","0.0-0.0","5e120e2813064488573bb2a8","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","13857","0.0-1.0-0.0","5e120e2813064488573bb2a8","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16497","0.0-2.0-0.0","5e120e2813064488573bb2a8","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","61657","0.0-2.0-1.0-0.0-0.0","5e120e2813064488573bb2a8","E1","batch5","[{""page_index"":0,""viewing_time"":13602.60000038147},{""page_index"":1,""viewing_time"":4720.300001144409},{""page_index"":2,""viewing_time"":3126.599998474121},{""page_index"":3,""viewing_time"":7292.5},{""page_index"":4,""viewing_time"":2065.6000003814697},{""page_index"":5,""viewing_time"":12016},{""page_index"":6,""viewing_time"":2334}]","45157.90000152588","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","62803","0.0-2.0-1.0-1.0-0.0","5e120e2813064488573bb2a8","E1","batch5","","1143.900001525879","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","66650","0.0-2.0-1.0-1.0-1.0","5e120e2813064488573bb2a8","E1","batch5","","3845.7000007629395","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","68180","0.0-2.0-1.0-1.0-2.0","5e120e2813064488573bb2a8","E1","batch5","","1527.2999992370605","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","71131","0.0-2.0-1.0-1.0-3.0","5e120e2813064488573bb2a8","E1","batch5","","2949.8999996185303","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","71972","0.0-2.0-1.0-1.0-4.0","5e120e2813064488573bb2a8","E1","batch5","","839.7000007629395","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","74770","0.0-2.0-2.0","5e120e2813064488573bb2a8","E1","batch5","","2796.6000003814697","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","77235","0.0-2.0-3.0-0.0","5e120e2813064488573bb2a8","E1","batch5","","2463","tol_practice","","","","tol_peg_2","2463","2463","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2463","","","","","","","","","","","","","","",""
