"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","33245","0.0-0.0","5e13e0232d2185a20d9c3b4f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","57747","0.0-1.0-0.0","5e13e0232d2185a20d9c3b4f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","60615","0.0-2.0-0.0","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","67899","0.0-2.0-1.0","5e13e0232d2185a20d9c3b4f","D2","batch4","","7281.5","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","68706","0.0-2.0-2.0-0.0","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","77847","0.0-2.0-2.0-1.0","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","9127.199999988079","img/question_1_1.jpeg","0","mat_01","4","0","0","9127.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","78913","0.0-2.0-2.0-0.1","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","82021","0.0-2.0-2.0-1.1","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","3105.199999988079","img/question_1_2.jpeg","4","mat_02","5","1","1","3105.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","83086","0.0-2.0-2.0-0.2","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","88960","0.0-2.0-2.0-1.2","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","5871","img/question_1_3.jpeg","0","mat_03","1","1","1","5871","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","90023","0.0-2.0-2.0-0.3","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","97166","0.0-2.0-2.0-1.3","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","7139.5","img/question_1_4.jpeg","1","mat_04","2","1","1","7139.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","98229","0.0-2.0-2.0-0.4","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","103152","0.0-2.0-2.0-1.4","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","4920.5","img/question_1_5.jpeg","5","mat_05","6","1","1","4920.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","104207","0.0-2.0-2.0-0.5","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","115390","0.0-2.0-2.0-1.5","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","11180.40000000596","img/question_1_6.jpeg","2","mat_06","3","1","1","11180.40000000596","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","116458","0.0-2.0-2.0-0.6","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","125314","0.0-2.0-2.0-1.6","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","8853.40000000596","img/question_1_7.jpeg","5","mat_07","6","1","1","8853.40000000596","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","126389","0.0-2.0-2.0-0.7","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","140008","0.0-2.0-2.0-1.7","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","13616","img/question_1_8.jpeg","0","mat_08","2","0","0","13616","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","141076","0.0-2.0-2.0-0.8","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","151027","0.0-2.0-2.0-1.8","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","9947.5","img/question_1_9.jpeg","0","mat_09","1","1","1","9947.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","152096","0.0-2.0-2.0-0.9","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","165641","0.0-2.0-2.0-1.9","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","13537.199999988079","img/question_1_10.jpeg","2","mat_10","3","1","1","13537.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","166700","0.0-2.0-2.0-0.10","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","179948","0.0-2.0-2.0-1.10","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","13244.300000011921","img/question_1_11.jpeg","3","mat_11","4","1","1","13244.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","181016","0.0-2.0-2.0-0.11","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","191619","0.0-2.0-2.0-1.11","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","10599.300000011921","img/question_1_12.jpeg","4","mat_12","5","1","1","10599.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","192686","0.0-2.0-2.0-0.12","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","195943","0.0-2.0-2.0-1.12","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","3254.2000000178814","img/question_2_1.jpeg","1","mat_13","2","1","1","3254.2000000178814","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","197006","0.0-2.0-2.0-0.13","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","202574","0.0-2.0-2.0-1.13","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","5564.699999988079","img/question_2_2.jpeg","5","mat_14","6","1","1","5564.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","203639","0.0-2.0-2.0-0.14","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","207780","0.0-2.0-2.0-1.14","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","4137.699999988079","img/question_2_3.jpeg","0","mat_15","1","1","1","4137.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","208840","0.0-2.0-2.0-0.15","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","214403","0.0-2.0-2.0-1.15","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","5567.9000000059605","img/question_2_4.jpeg","1","mat_16","2","1","1","5567.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","215467","0.0-2.0-2.0-0.16","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","220096","0.0-2.0-2.0-1.16","5e13e0232d2185a20d9c3b4f","D2","batch4","spm_respsonse","4627","img/question_2_5.jpeg","0","mat_17","1","1","1","4627","","","","","","","","","","","","","","","","","","","","",""
