"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","26288","0.0-0.0","5e1bfb604231d840ef7103d8","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","150191","0.0-1.0-0.0","5e1bfb604231d840ef7103d8","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","154030","0.0-2.0-0.0","5e1bfb604231d840ef7103d8","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","174669","0.0-2.0-1.0-0.0","5e1bfb604231d840ef7103d8","A3","batch1","[{""page_index"":0,""viewing_time"":4246},{""page_index"":1,""viewing_time"":8824.099999999627},{""page_index"":0,""viewing_time"":5471.9000000003725},{""page_index"":1,""viewing_time"":2095.699999999255}]","20638","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","175654","0.0-2.0-1.0-1.0-0.0","5e1bfb604231d840ef7103d8","A3","batch1","","983.7000000001863","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","177453","0.0-2.0-1.0-1.0-1.0","5e1bfb604231d840ef7103d8","A3","batch1","","1798","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","178165","0.0-2.0-1.0-1.0-2.0","5e1bfb604231d840ef7103d8","A3","batch1","","710.5999999996275","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","180725","0.0-2.0-1.0-1.0-3.0","5e1bfb604231d840ef7103d8","A3","batch1","","2558.699999999255","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","181357","0.0-2.0-1.0-1.0-4.0","5e1bfb604231d840ef7103d8","A3","batch1","","631.1000000005588","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","182917","0.0-2.0-2.0","5e1bfb604231d840ef7103d8","A3","batch1","","1558.3999999994412","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","185627","0.0-2.0-3.0-0.0","5e1bfb604231d840ef7103d8","A3","batch1","","2699","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","186639","0.0-2.0-3.0-1.0","5e1bfb604231d840ef7103d8","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
