"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","881","0.0-0.0","5e1f7b9242998a2ab95cff70","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7810","0.0-1.0-0.0","5e1f7b9242998a2ab95cff70","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","29929","0.0-2.0-0.0","5e1f7b9242998a2ab95cff70","A3","batch1","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","45064","0.0-2.0-1.0","5e1f7b9242998a2ab95cff70","A3","batch1","","15133.599999999977","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","45868","0.0-2.0-2.0-0.0","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","50065","0.0-2.0-2.0-1.0","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","4192.900000000023","img/question_1_1.jpeg","3","mat_01","4","1","1","4192.900000000023","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","51120","0.0-2.0-2.0-0.1","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","53080","0.0-2.0-2.0-1.1","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","1959","img/question_1_2.jpeg","4","mat_02","5","1","1","1959","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","54147","0.0-2.0-2.0-0.2","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","56608","0.0-2.0-2.0-1.2","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","2459.5999999999767","img/question_1_3.jpeg","0","mat_03","1","1","1","2459.5999999999767","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","57660","0.0-2.0-2.0-0.3","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","59984","0.0-2.0-2.0-1.3","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","2322.600000000093","img/question_1_4.jpeg","1","mat_04","2","1","1","2322.600000000093","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","61044","0.0-2.0-2.0-0.4","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","64120","0.0-2.0-2.0-1.4","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","3074.8000000000466","img/question_1_5.jpeg","5","mat_05","6","1","1","3074.8000000000466","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","65172","0.0-2.0-2.0-0.5","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","67657","0.0-2.0-2.0-1.5","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","2482.5","img/question_1_6.jpeg","2","mat_06","3","1","1","2482.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","68719","0.0-2.0-2.0-0.6","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","72649","0.0-2.0-2.0-1.6","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","3928.1999999999534","img/question_1_7.jpeg","5","mat_07","6","1","1","3928.1999999999534","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","73715","0.0-2.0-2.0-0.7","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","76993","0.0-2.0-2.0-1.7","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","3275.4000000000233","img/question_1_8.jpeg","1","mat_08","2","1","1","3275.4000000000233","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","78056","0.0-2.0-2.0-0.8","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","80904","0.0-2.0-2.0-1.8","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","2846.70000000007","img/question_1_9.jpeg","0","mat_09","1","1","1","2846.70000000007","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","81956","0.0-2.0-2.0-0.9","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","85569","0.0-2.0-2.0-1.9","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","3610.6999999999534","img/question_1_10.jpeg","2","mat_10","3","1","1","3610.6999999999534","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","86621","0.0-2.0-2.0-0.10","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","92440","0.0-2.0-2.0-1.10","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","5817.29999999993","img/question_1_11.jpeg","3","mat_11","4","1","1","5817.29999999993","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","93497","0.0-2.0-2.0-0.11","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","99232","0.0-2.0-2.0-1.11","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","5733.400000000023","img/question_1_12.jpeg","5","mat_12","5","0","0","5733.400000000023","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","100284","0.0-2.0-2.0-0.12","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","102577","0.0-2.0-2.0-1.12","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","2290.9000000000233","img/question_2_1.jpeg","1","mat_13","2","1","1","2290.9000000000233","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","103637","0.0-2.0-2.0-0.13","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","108369","0.0-2.0-2.0-1.13","5e1f7b9242998a2ab95cff70","A3","batch1","spm_respsonse","4730.599999999977","img/question_2_2.jpeg","5","mat_14","6","1","1","4730.599999999977","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","109434","0.0-2.0-2.0-0.14","5e1f7b9242998a2ab95cff70","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
