"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","3149","0.0-0.0","5e2534721c55ad7943337a48","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","13910","0.0-1.0-0.0","5e2534721c55ad7943337a48","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","18254","0.0-2.0-0.0","5e2534721c55ad7943337a48","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","32576","0.0-2.0-1.0","5e2534721c55ad7943337a48","C3","batch3","","14318.299999952316","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","33381","0.0-2.0-2.0-0.0","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","36423","0.0-2.0-2.0-1.0","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","2984.7000000476837","img/question_1_1.jpeg","1","mat_01","4","0","0","2984.7000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","37489","0.0-2.0-2.0-0.1","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","43008","0.0-2.0-2.0-1.1","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","5516.700000047684","img/question_1_2.jpeg","1","mat_02","5","0","0","5516.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","44069","0.0-2.0-2.0-0.2","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","47431","0.0-2.0-2.0-1.2","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","3359.5999999046326","img/question_1_3.jpeg","0","mat_03","1","1","1","3359.5999999046326","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","48492","0.0-2.0-2.0-0.3","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","51950","0.0-2.0-2.0-1.3","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","3454.9000000953674","img/question_1_4.jpeg","1","mat_04","2","1","1","3454.9000000953674","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","53017","0.0-2.0-2.0-0.4","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","56068","0.0-2.0-2.0-1.4","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","3048.2000000476837","img/question_1_5.jpeg","4","mat_05","6","0","0","3048.2000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","57136","0.0-2.0-2.0-0.5","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","60856","0.0-2.0-2.0-1.5","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","3718.100000023842","img/question_1_6.jpeg","2","mat_06","3","1","1","3718.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","61922","0.0-2.0-2.0-0.6","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","69378","0.0-2.0-2.0-1.6","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","7453.200000047684","img/question_1_7.jpeg","5","mat_07","6","1","1","7453.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","70438","0.0-2.0-2.0-0.7","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","76149","0.0-2.0-2.0-1.7","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","5708.699999928474","img/question_1_8.jpeg","0","mat_08","2","0","0","5708.699999928474","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","77218","0.0-2.0-2.0-0.8","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","79864","0.0-2.0-2.0-1.8","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","2642.399999976158","img/question_1_9.jpeg","0","mat_09","1","1","1","2642.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","80930","0.0-2.0-2.0-0.9","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","85357","0.0-2.0-2.0-1.9","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","4424.399999976158","img/question_1_10.jpeg","2","mat_10","3","1","1","4424.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","86422","0.0-2.0-2.0-0.10","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","90819","0.0-2.0-2.0-1.10","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","4394.100000023842","img/question_1_11.jpeg","2","mat_11","4","0","0","4394.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","91888","0.0-2.0-2.0-0.11","5e2534721c55ad7943337a48","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","105243","0.0-2.0-2.0-1.11","5e2534721c55ad7943337a48","C3","batch3","spm_respsonse","13352.100000023842","img/question_1_12.jpeg","5","mat_12","5","0","0","13352.100000023842","","","","","","","","","","","","","","","","","","","","",""
