"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","9398","0.0-0.0","5e287f8ebdfcaf050e34fd94","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","93976","0.0-1.0-0.0","5e287f8ebdfcaf050e34fd94","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","97683","0.0-2.0-0.0","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","114845","0.0-2.0-1.0","5e287f8ebdfcaf050e34fd94","E1","batch5","","17159.40000000596","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","115648","0.0-2.0-2.0-0.0","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","122414","0.0-2.0-2.0-1.0","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_respsonse","6756","img/question_1_1.jpeg","3","mat_01","4","1","1","6756","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","123466","0.0-2.0-2.0-0.1","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","126688","0.0-2.0-2.0-1.1","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_respsonse","3220","img/question_1_2.jpeg","4","mat_02","5","1","1","3220","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","127746","0.0-2.0-2.0-0.2","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","130066","0.0-2.0-2.0-1.2","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_respsonse","2315.5999999940395","img/question_1_3.jpeg","0","mat_03","1","1","1","2315.5999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","131117","0.0-2.0-2.0-0.3","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","135178","0.0-2.0-2.0-1.3","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_respsonse","4057.100000023842","img/question_1_4.jpeg","1","mat_04","2","1","1","4057.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","136230","0.0-2.0-2.0-0.4","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","139907","0.0-2.0-2.0-1.4","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_respsonse","3672.2999999821186","img/question_1_5.jpeg","5","mat_05","6","1","1","3672.2999999821186","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","140960","0.0-2.0-2.0-0.5","5e287f8ebdfcaf050e34fd94","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
