"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1198","0.0-0.0","5e3461bd8ec4fc0230fef43a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","14369","0.0-1.0-0.0","5e3461bd8ec4fc0230fef43a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","18621","0.0-2.0-0.0","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","34233","0.0-2.0-1.0","5e3461bd8ec4fc0230fef43a","C3","batch3","","15608.5","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","35043","0.0-2.0-2.0-0.0","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","49847","0.0-2.0-2.0-1.0","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","14797.400000095367","img/question_1_1.jpeg","3","mat_01","4","1","1","14797.400000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","50906","0.0-2.0-2.0-0.1","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","56165","0.0-2.0-2.0-1.1","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","5255","img/question_1_2.jpeg","4","mat_02","5","1","1","5255","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","57228","0.0-2.0-2.0-0.2","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","61036","0.0-2.0-2.0-1.2","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","3805.600000143051","img/question_1_3.jpeg","0","mat_03","1","1","1","3805.600000143051","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","62096","0.0-2.0-2.0-0.3","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","66961","0.0-2.0-2.0-1.3","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","4860.199999809265","img/question_1_4.jpeg","1","mat_04","2","1","1","4860.199999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","68031","0.0-2.0-2.0-0.4","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","74158","0.0-2.0-2.0-1.4","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","6124.700000047684","img/question_1_5.jpeg","5","mat_05","6","1","1","6124.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","75235","0.0-2.0-2.0-0.5","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","79666","0.0-2.0-2.0-1.5","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","4428.700000047684","img/question_1_6.jpeg","2","mat_06","3","1","1","4428.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","80736","0.0-2.0-2.0-0.6","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","87142","0.0-2.0-2.0-1.6","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","6400.600000143051","img/question_1_7.jpeg","5","mat_07","6","1","1","6400.600000143051","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","88217","0.0-2.0-2.0-0.7","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","97234","0.0-2.0-2.0-1.7","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","9012.799999952316","img/question_1_8.jpeg","1","mat_08","2","1","1","9012.799999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","98309","0.0-2.0-2.0-0.8","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","102102","0.0-2.0-2.0-1.8","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","3788.5999999046326","img/question_1_9.jpeg","0","mat_09","1","1","1","3788.5999999046326","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","103169","0.0-2.0-2.0-0.9","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","113966","0.0-2.0-2.0-1.9","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","10793.799999952316","img/question_1_10.jpeg","2","mat_10","3","1","1","10793.799999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","115033","0.0-2.0-2.0-0.10","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","145842","0.0-2.0-2.0-1.10","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","30805.89999985695","img/question_1_11.jpeg","3","mat_11","4","1","1","30805.89999985695","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","146910","0.0-2.0-2.0-0.11","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","174018","0.0-2.0-2.0-1.11","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","27103.199999809265","img/question_1_12.jpeg","0","mat_12","5","0","0","27103.199999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","175081","0.0-2.0-2.0-0.12","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","179040","0.0-2.0-2.0-1.12","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","3954.0999999046326","img/question_2_1.jpeg","1","mat_13","2","1","1","3954.0999999046326","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","180096","0.0-2.0-2.0-0.13","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","188422","0.0-2.0-2.0-1.13","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","8321.400000095367","img/question_2_2.jpeg","5","mat_14","6","1","1","8321.400000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","189495","0.0-2.0-2.0-0.14","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","193360","0.0-2.0-2.0-1.14","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_respsonse","3860.100000143051","img/question_2_3.jpeg","0","mat_15","1","1","1","3860.100000143051","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","194439","0.0-2.0-2.0-0.15","5e3461bd8ec4fc0230fef43a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
