"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1125","0.0-0.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7966","0.0-1.0-0.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","11179","0.0-2.0-0.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","20884","0.0-2.0-1.0-0.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","[{""page_index"":0,""viewing_time"":6304},{""page_index"":1,""viewing_time"":3399.7999999523163}]","9703.900000095367","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","22580","0.0-2.0-1.0-1.0-0.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","1695.7000000476837","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","30708","0.0-2.0-1.0-1.0-1.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","8127","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","32333","0.0-2.0-1.0-1.0-2.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","1624.5999999046326","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","36372","0.0-2.0-1.0-1.0-3.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","4038.2000000476837","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","37180","0.0-2.0-1.0-1.0-4.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","807","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","38860","0.0-2.0-2.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","1679.4000000953674","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","40227","0.0-2.0-3.0-0.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","1365.6000001430511","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","41236","0.0-2.0-3.0-1.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","41908","0.0-2.0-3.0-0.1","5e387f2c0d70ef099d5e5a4f","E1","batch5","","670.6999998092651","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","42924","0.0-2.0-3.0-1.1","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","43878","0.0-2.0-3.0-0.2","5e387f2c0d70ef099d5e5a4f","E1","batch5","","952.2000000476837","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","44888","0.0-2.0-3.0-1.2","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","45620","0.0-2.0-3.0-0.3","5e387f2c0d70ef099d5e5a4f","E1","batch5","","730.4000000953674","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","46630","0.0-2.0-3.0-1.3","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","47444","0.0-2.0-3.0-0.4","5e387f2c0d70ef099d5e5a4f","E1","batch5","","812.3999998569489","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","48447","0.0-2.0-3.0-1.4","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","50957","0.0-2.0-4.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","2509.2999999523163","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","51760","0.0-2.0-5.0-0.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","52868","0.0-2.0-5.0-1.0","5e387f2c0d70ef099d5e5a4f","E1","batch5","","1106.7000000476837","stim/yes_39_hor_w1_w.png","f","pattern_response","true","f","pattern_62","1106.7000000476837","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","54193","0.0-2.0-5.0-0.1","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","55860","0.0-2.0-5.0-1.1","5e387f2c0d70ef099d5e5a4f","E1","batch5","","1664.6000001430511","stim/yes_42_dia_w1_w.png","j","pattern_response","false","f","pattern_64","1664.6000001430511","false","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","57166","0.0-2.0-5.0-0.2","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","58835","0.0-2.0-5.0-1.2","5e387f2c0d70ef099d5e5a4f","E1","batch5","","1667.7999999523163","stim/no_37_2_w.png","j","pattern_response","true","j","pattern_19","1667.7999999523163","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","60145","0.0-2.0-5.0-0.3","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","60867","0.0-2.0-5.0-1.3","5e387f2c0d70ef099d5e5a4f","E1","batch5","","721.6000001430511","stim/yes_36_ver_w1_w.png","f","pattern_response","true","f","pattern_58","721.6000001430511","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","62179","0.0-2.0-5.0-0.4","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","63923","0.0-2.0-5.0-1.4","5e387f2c0d70ef099d5e5a4f","E1","batch5","","1743.3999998569489","stim/no_30_1_b.png","j","pattern_response","true","j","pattern_13","1743.3999998569489","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","65237","0.0-2.0-5.0-0.5","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","66580","0.0-2.0-5.0-1.5","5e387f2c0d70ef099d5e5a4f","E1","batch5","","1341.9000000953674","stim/yes_51_dia_b1.png","f","pattern_response","true","f","pattern_72","1341.9000000953674","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","67901","0.0-2.0-5.0-0.6","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","69523","0.0-2.0-5.0-1.6","5e387f2c0d70ef099d5e5a4f","E1","batch5","","1621.4000000953674","stim/yes_23_ver_b1.png","j","pattern_response","false","f","pattern_48","1621.4000000953674","false","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","70836","0.0-2.0-5.0-0.7","5e387f2c0d70ef099d5e5a4f","E1","batch5","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
