"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1321","0.0-0.0","5e3bb7770e53243ce0376fe1","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11740","0.0-1.0-0.0","5e3bb7770e53243ce0376fe1","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","15056","0.0-2.0-0.0","5e3bb7770e53243ce0376fe1","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","80127","0.0-2.0-1.0-0.0-0.0","5e3bb7770e53243ce0376fe1","B2","batch2","[{""page_index"":0,""viewing_time"":13232.600000143051},{""page_index"":1,""viewing_time"":9792.799999952316},{""page_index"":2,""viewing_time"":5535.099999904633},{""page_index"":3,""viewing_time"":14062.800000190735},{""page_index"":4,""viewing_time"":7110.099999904633},{""page_index"":5,""viewing_time"":11984.900000095367},{""page_index"":6,""viewing_time"":3352}]","65070.5","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","81231","0.0-2.0-1.0-1.0-0.0","5e3bb7770e53243ce0376fe1","B2","batch2","","1103.0999999046326","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","86586","0.0-2.0-1.0-1.0-1.0","5e3bb7770e53243ce0376fe1","B2","batch2","","5353.799999952316","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","88212","0.0-2.0-1.0-1.0-2.0","5e3bb7770e53243ce0376fe1","B2","batch2","","1624.3000001907349","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","91821","0.0-2.0-1.0-1.0-3.0","5e3bb7770e53243ce0376fe1","B2","batch2","","3608.100000143051","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","92482","0.0-2.0-1.0-1.0-4.0","5e3bb7770e53243ce0376fe1","B2","batch2","","659.7999999523163","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","94318","0.0-2.0-2.0","5e3bb7770e53243ce0376fe1","B2","batch2","","1834.6000001430511","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
