"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","4195","0.0-0.0","5e3e01d5194a5607f3335fa3","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","24524","0.0-1.0-0.0","5e3e01d5194a5607f3335fa3","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","29076","0.0-2.0-0.0","5e3e01d5194a5607f3335fa3","F1","batch6","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","40280","0.0-2.0-1.0","5e3e01d5194a5607f3335fa3","F1","batch6","","11203","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","41083","0.0-2.0-2.0-0.0","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","73113","0.0-2.0-2.0-1.0","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","32027","img/question_1_1.jpeg","3","mat_01","4","1","1","32027","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","74179","0.0-2.0-2.0-0.1","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","76218","0.0-2.0-2.0-1.1","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","2036","img/question_1_2.jpeg","4","mat_02","5","1","1","2036","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","77286","0.0-2.0-2.0-0.2","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","80904","0.0-2.0-2.0-1.2","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","3614","img/question_1_3.jpeg","0","mat_03","1","1","1","3614","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","81970","0.0-2.0-2.0-0.3","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","85600","0.0-2.0-2.0-1.3","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","3630","img/question_1_4.jpeg","1","mat_04","2","1","1","3630","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","86657","0.0-2.0-2.0-0.4","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","90545","0.0-2.0-2.0-1.4","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","3886","img/question_1_5.jpeg","5","mat_05","6","1","1","3886","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","91621","0.0-2.0-2.0-0.5","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","94895","0.0-2.0-2.0-1.5","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","3267","img/question_1_6.jpeg","2","mat_06","3","1","1","3267","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","95959","0.0-2.0-2.0-0.6","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","100488","0.0-2.0-2.0-1.6","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","4524","img/question_1_7.jpeg","5","mat_07","6","1","1","4524","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","101552","0.0-2.0-2.0-0.7","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","110377","0.0-2.0-2.0-1.7","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","8823","img/question_1_8.jpeg","1","mat_08","2","1","1","8823","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","111440","0.0-2.0-2.0-0.8","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","116385","0.0-2.0-2.0-1.8","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","4940","img/question_1_9.jpeg","0","mat_09","1","1","1","4940","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","117439","0.0-2.0-2.0-0.9","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","127480","0.0-2.0-2.0-1.9","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","10036","img/question_1_10.jpeg","2","mat_10","3","1","1","10036","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","128547","0.0-2.0-2.0-0.10","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","137272","0.0-2.0-2.0-1.10","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","8720","img/question_1_11.jpeg","3","mat_11","4","1","1","8720","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","138339","0.0-2.0-2.0-0.11","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","148591","0.0-2.0-2.0-1.11","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","10250","img/question_1_12.jpeg","4","mat_12","5","1","1","10250","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","149647","0.0-2.0-2.0-0.12","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","152320","0.0-2.0-2.0-1.12","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","2669","img/question_2_1.jpeg","1","mat_13","2","1","1","2669","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","153380","0.0-2.0-2.0-0.13","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","158784","0.0-2.0-2.0-1.13","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","5401","img/question_2_2.jpeg","5","mat_14","6","1","1","5401","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","159843","0.0-2.0-2.0-0.14","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","163257","0.0-2.0-2.0-1.14","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","3407","img/question_2_3.jpeg","0","mat_15","1","1","1","3407","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","164326","0.0-2.0-2.0-0.15","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","168552","0.0-2.0-2.0-1.15","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","4221","img/question_2_4.jpeg","1","mat_16","2","1","1","4221","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","169606","0.0-2.0-2.0-0.16","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","173872","0.0-2.0-2.0-1.16","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","4263","img/question_2_5.jpeg","0","mat_17","1","1","1","4263","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","174940","0.0-2.0-2.0-0.17","5e3e01d5194a5607f3335fa3","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","181641","0.0-2.0-2.0-1.17","5e3e01d5194a5607f3335fa3","F1","batch6","spm_respsonse","6695","img/question_2_6.jpeg","2","mat_18","3","1","1","6695","","","","","","","","","","","","","","","","","","","","",""
