"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","37814","0.0-0.0","5e4465013f75e52fc82f7096","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","49324","0.0-1.0-0.0","5e4465013f75e52fc82f7096","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","53700","0.0-2.0-0.0","5e4465013f75e52fc82f7096","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","72979","0.0-2.0-1.0-0.0","5e4465013f75e52fc82f7096","C3","batch3","[{""page_index"":0,""viewing_time"":10643.699999988079},{""page_index"":1,""viewing_time"":8634.899999976158}]","19278.799999952316","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","83209","0.0-2.0-1.0-1.0-0.0","5e4465013f75e52fc82f7096","C3","batch3","","10228.699999988079","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","86749","0.0-2.0-1.0-1.0-1.0","5e4465013f75e52fc82f7096","C3","batch3","","3539","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","88221","0.0-2.0-1.0-1.0-2.0","5e4465013f75e52fc82f7096","C3","batch3","","1471.5999999642372","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","93377","0.0-2.0-1.0-1.0-3.0","5e4465013f75e52fc82f7096","C3","batch3","","5156.199999988079","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","94826","0.0-2.0-1.0-1.0-4.0","5e4465013f75e52fc82f7096","C3","batch3","","1447.2000000476837","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","96796","0.0-2.0-2.0","5e4465013f75e52fc82f7096","C3","batch3","","1969.1000000238419","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","101386","0.0-2.0-3.0-0.0","5e4465013f75e52fc82f7096","C3","batch3","","4589.300000011921","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","102393","0.0-2.0-3.0-1.0","5e4465013f75e52fc82f7096","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","103740","0.0-2.0-3.0-0.1","5e4465013f75e52fc82f7096","C3","batch3","","1346.800000011921","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","104748","0.0-2.0-3.0-1.1","5e4465013f75e52fc82f7096","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","105512","0.0-2.0-3.0-0.2","5e4465013f75e52fc82f7096","C3","batch3","","763.7000000476837","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","106517","0.0-2.0-3.0-1.2","5e4465013f75e52fc82f7096","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","107378","0.0-2.0-3.0-0.3","5e4465013f75e52fc82f7096","C3","batch3","","859.8999999761581","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","108380","0.0-2.0-3.0-1.3","5e4465013f75e52fc82f7096","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","109317","0.0-2.0-3.0-0.4","5e4465013f75e52fc82f7096","C3","batch3","","935.8000000119209","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","110325","0.0-2.0-3.0-1.4","5e4465013f75e52fc82f7096","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","115078","0.0-2.0-4.0","5e4465013f75e52fc82f7096","C3","batch3","","4752.199999988079","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","115881","0.0-2.0-5.0-0.0","5e4465013f75e52fc82f7096","C3","batch3","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","116813","0.0-2.0-5.0-1.0","5e4465013f75e52fc82f7096","C3","batch3","","930.9000000357628","stim/no_58_1_w.png","j","pattern_response","true","j","pattern_35","930.9000000357628","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","118120","0.0-2.0-5.0-0.1","5e4465013f75e52fc82f7096","C3","batch3","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","119062","0.0-2.0-5.0-1.1","5e4465013f75e52fc82f7096","C3","batch3","","940.8000000119209","stim/yes_33_dia_w1_w.png","j","pattern_response","false","f","pattern_56","940.8000000119209","false","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","120368","0.0-2.0-5.0-0.2","5e4465013f75e52fc82f7096","C3","batch3","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","121568","0.0-2.0-5.0-1.2","5e4465013f75e52fc82f7096","C3","batch3","","1199.199999988079","stim/no_53_1_b.png","f","pattern_response","false","j","pattern_33","1199.199999988079","false","1","","","","","","","","","","","","","","","","","","",""
