"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","9313","0.0-0.0","5e46d70ab1f1c5000d96800d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","25993","0.0-1.0-0.0","5e46d70ab1f1c5000d96800d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","51226","0.0-2.0-0.0","5e46d70ab1f1c5000d96800d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","182819","0.0-2.0-1.0-0.0","5e46d70ab1f1c5000d96800d","B2","batch2","[{""page_index"":0,""viewing_time"":119005},{""page_index"":1,""viewing_time"":12583.10000000894}]","131589.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","184863","0.0-2.0-1.0-1.0-0.0","5e46d70ab1f1c5000d96800d","B2","batch2","","2005.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","188900","0.0-2.0-1.0-1.0-1.0","5e46d70ab1f1c5000d96800d","B2","batch2","","4032.4000000059605","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","191459","0.0-2.0-1.0-1.0-2.0","5e46d70ab1f1c5000d96800d","B2","batch2","","2551.0999999940395","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","199091","0.0-2.0-1.0-1.0-3.0","5e46d70ab1f1c5000d96800d","B2","batch2","","7629.20000000298","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","200397","0.0-2.0-1.0-1.0-4.0","5e46d70ab1f1c5000d96800d","B2","batch2","","1302.0999999940395","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","202460","0.0-2.0-2.0","5e46d70ab1f1c5000d96800d","B2","batch2","","2029","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","206701","0.0-2.0-3.0-0.0","5e46d70ab1f1c5000d96800d","B2","batch2","","4073.7000000029802","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","207785","0.0-2.0-3.0-1.0","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","209310","0.0-2.0-3.0-0.1","5e46d70ab1f1c5000d96800d","B2","batch2","","1515.2000000029802","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","210512","0.0-2.0-3.0-1.1","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","211194","0.0-2.0-3.0-0.2","5e46d70ab1f1c5000d96800d","B2","batch2","","678.1000000089407","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","212266","0.0-2.0-3.0-1.2","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","214052","0.0-2.0-3.0-0.3","5e46d70ab1f1c5000d96800d","B2","batch2","","1757.199999988079","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","215123","0.0-2.0-3.0-1.3","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","216072","0.0-2.0-3.0-0.4","5e46d70ab1f1c5000d96800d","B2","batch2","","945.9000000059605","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","217180","0.0-2.0-3.0-1.4","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","231549","0.0-2.0-4.0","5e46d70ab1f1c5000d96800d","B2","batch2","","14367","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","232354","0.0-2.0-5.0-0.0","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","233747","0.0-2.0-5.0-1.0","5e46d70ab1f1c5000d96800d","B2","batch2","","1388.2999999970198","stim/no_12_1.png","j","pattern_response","true","j","pattern_01","1388.2999999970198","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","235071","0.0-2.0-5.0-0.1","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","239026","0.0-2.0-5.0-1.1","5e46d70ab1f1c5000d96800d","B2","batch2","","3951.800000011921","stim/no_33_1_b.png","j","pattern_response","true","j","pattern_15","3951.800000011921","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","240401","0.0-2.0-5.0-0.2","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","241318","0.0-2.0-5.0-1.2","5e46d70ab1f1c5000d96800d","B2","batch2","","912.4000000059605","stim/yes_23_ver_b1.png","f","pattern_response","true","f","pattern_48","912.4000000059605","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","242655","0.0-2.0-5.0-0.3","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","244448","0.0-2.0-5.0-1.3","5e46d70ab1f1c5000d96800d","B2","batch2","","1789.2999999970198","stim/yes_70_ver_b1.png","f","pattern_response","true","f","pattern_80","1789.2999999970198","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","245847","0.0-2.0-5.0-0.4","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","247253","0.0-2.0-5.0-1.4","5e46d70ab1f1c5000d96800d","B2","batch2","","1401.6000000089407","stim/no_18_1_b.png","j","pattern_response","true","j","pattern_05","1401.6000000089407","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","248588","0.0-2.0-5.0-0.5","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","249420","0.0-2.0-5.0-1.5","5e46d70ab1f1c5000d96800d","B2","batch2","","829.0999999940395","stim/yes_12_hor_w1_w.png","f","pattern_response","true","f","pattern_42","829.0999999940395","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","250795","0.0-2.0-5.0-0.6","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","253859","0.0-2.0-5.0-1.6","5e46d70ab1f1c5000d96800d","B2","batch2","","3060.2999999970198","stim/no_28_2.png","j","pattern_response","true","j","pattern_11","3060.2999999970198","true","7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","255226","0.0-2.0-5.0-0.7","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","256114","0.0-2.0-5.0-1.7","5e46d70ab1f1c5000d96800d","B2","batch2","","883.7000000029802","stim/yes_36_ver_w1_w.png","f","pattern_response","true","f","pattern_58","883.7000000029802","true","8","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","257448","0.0-2.0-5.0-0.8","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 9 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","38","260899","0.0-2.0-5.0-1.8","5e46d70ab1f1c5000d96800d","B2","batch2","","3446.7999999970198","stim/no_39_1_w.png","j","pattern_response","true","j","pattern_21","3446.7999999970198","true","9","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","262241","0.0-2.0-5.0-0.9","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 10 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","40","263337","0.0-2.0-5.0-1.9","5e46d70ab1f1c5000d96800d","B2","batch2","","1091.1000000089407","stim/yes_44_ver_w1_w.png","f","pattern_response","true","f","pattern_66","1091.1000000089407","true","10","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","264752","0.0-2.0-5.0-0.10","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 11 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","42","268389","0.0-2.0-5.0-1.10","5e46d70ab1f1c5000d96800d","B2","batch2","","3633.5","stim/no_49_2_b.png","j","pattern_response","true","j","pattern_29","3633.5","true","11","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","269709","0.0-2.0-5.0-0.11","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 12 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","44","271220","0.0-2.0-5.0-1.11","5e46d70ab1f1c5000d96800d","B2","batch2","","1500.7000000029802","stim/no_15_1_w.png","j","pattern_response","true","j","pattern_03","1500.7000000029802","true","12","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","272561","0.0-2.0-5.0-0.12","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 13 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","46","273938","0.0-2.0-5.0-1.12","5e46d70ab1f1c5000d96800d","B2","batch2","","1373.2000000029802","stim/yes_53_ver_b1_b.png","f","pattern_response","true","f","pattern_74","1373.2000000029802","true","13","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","47","275256","0.0-2.0-5.0-0.13","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 14 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","48","277034","0.0-2.0-5.0-1.13","5e46d70ab1f1c5000d96800d","B2","batch2","","1775","stim/yes_33_dia_w1_w.png","j","pattern_response","false","f","pattern_56","1775","false","13","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","278364","0.0-2.0-5.0-0.14","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 15 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","50","279109","0.0-2.0-5.0-1.14","5e46d70ab1f1c5000d96800d","B2","batch2","","740.2999999970198","stim/yes_17_ver_b1_b.png","f","pattern_response","true","f","pattern_46","740.2999999970198","true","14","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","51","280454","0.0-2.0-5.0-0.15","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 16 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","52","282595","0.0-2.0-5.0-1.15","5e46d70ab1f1c5000d96800d","B2","batch2","","2134.2000000029802","stim/no_25_1_b.png","j","pattern_response","true","j","pattern_09","2134.2000000029802","true","15","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","283921","0.0-2.0-5.0-0.16","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 17 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","54","287806","0.0-2.0-5.0-1.16","5e46d70ab1f1c5000d96800d","B2","batch2","","3881.1000000089407","stim/no_51_1.png","j","pattern_response","true","j","pattern_31","3881.1000000089407","true","16","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","289129","0.0-2.0-5.0-0.17","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 18 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","56","292650","0.0-2.0-5.0-1.17","5e46d70ab1f1c5000d96800d","B2","batch2","","3513","stim/no_53_1_b.png","j","pattern_response","true","j","pattern_33","3513","true","17","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","293971","0.0-2.0-5.0-0.18","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 19 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","58","297095","0.0-2.0-5.0-1.18","5e46d70ab1f1c5000d96800d","B2","batch2","","3120.4000000059605","stim/yes_46_ver_b1_b.png","f","pattern_response","true","f","pattern_68","3120.4000000059605","true","18","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","298435","0.0-2.0-5.0-0.19","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 20 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","60","299453","0.0-2.0-5.0-1.19","5e46d70ab1f1c5000d96800d","B2","batch2","","1013.9000000059605","stim/yes_49_hor_w1_b.png","f","pattern_response","true","f","pattern_70","1013.9000000059605","true","19","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","61","300774","0.0-2.0-5.0-0.20","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 21 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","62","303055","0.0-2.0-5.0-1.20","5e46d70ab1f1c5000d96800d","B2","batch2","","2277.6000000089407","stim/no_43_2_b.png","j","pattern_response","true","j","pattern_23","2277.6000000089407","true","20","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","63","304419","0.0-2.0-5.0-0.21","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 22 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","64","305242","0.0-2.0-5.0-1.21","5e46d70ab1f1c5000d96800d","B2","batch2","","819.0999999940395","stim/yes_39_hor_w1_w.png","f","pattern_response","true","f","pattern_62","819.0999999940395","true","21","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","65","306619","0.0-2.0-5.0-0.22","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 23 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","66","309127","0.0-2.0-5.0-1.22","5e46d70ab1f1c5000d96800d","B2","batch2","","2505.300000011921","stim/yes_51_dia_b1.png","f","pattern_response","true","f","pattern_72","2505.300000011921","true","22","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","67","310457","0.0-2.0-5.0-0.23","5e46d70ab1f1c5000d96800d","B2","batch2","","null","<p class=block-text>Trial 24 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","68","311842","0.0-2.0-5.0-1.23","5e46d70ab1f1c5000d96800d","B2","batch2","","1381.2000000029802","stim/yes_37_hor_w1_w.png","f","pattern_response","true","f","pattern_60","1381.2000000029802","true","23","","","","","","","","","","","","","","","","","","",""
