"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1925","0.0-0.0","5e5c6b9c8ce757449e4a6dc1","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8253","0.0-1.0-0.0","5e5c6b9c8ce757449e4a6dc1","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","11086","0.0-2.0-0.0","5e5c6b9c8ce757449e4a6dc1","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","63878","0.0-2.0-1.0-0.0-0.0","5e5c6b9c8ce757449e4a6dc1","E1","batch5","[{""page_index"":0,""viewing_time"":14429.400000095367},{""page_index"":1,""viewing_time"":4519.199999928474},{""page_index"":2,""viewing_time"":2726.7000000476837},{""page_index"":3,""viewing_time"":12320.799999952316},{""page_index"":4,""viewing_time"":8004.200000047684},{""page_index"":5,""viewing_time"":8023},{""page_index"":6,""viewing_time"":2766.899999976158}]","52790.5","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","64893","0.0-2.0-1.0-1.0-0.0","5e5c6b9c8ce757449e4a6dc1","E1","batch5","","1014.3999999761581","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","70646","0.0-2.0-1.0-1.0-1.0","5e5c6b9c8ce757449e4a6dc1","E1","batch5","","5751.100000023842","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","71671","0.0-2.0-1.0-1.0-2.0","5e5c6b9c8ce757449e4a6dc1","E1","batch5","","1023.1000000238419","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","74219","0.0-2.0-1.0-1.0-3.0","5e5c6b9c8ce757449e4a6dc1","E1","batch5","","2547.1999999284744","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","74945","0.0-2.0-1.0-1.0-4.0","5e5c6b9c8ce757449e4a6dc1","E1","batch5","","725.8999999761581","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","76458","0.0-2.0-2.0","5e5c6b9c8ce757449e4a6dc1","E1","batch5","","1511.8000000715256","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
