"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1056","0.0-0.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","6092","0.0-1.0-0.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","8643","0.0-2.0-0.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","30735","0.0-2.0-1.0-0.0-0.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","[{""page_index"":0,""viewing_time"":3928.10000000149},{""page_index"":1,""viewing_time"":4422.39999999851},{""page_index"":2,""viewing_time"":3429.5},{""page_index"":3,""viewing_time"":3494.5},{""page_index"":4,""viewing_time"":2084.5},{""page_index"":5,""viewing_time"":2882.7999999970198},{""page_index"":6,""viewing_time"":1847.5}]","22090.29999999702","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","31343","0.0-2.0-1.0-1.0-0.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","605.1999999955297","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","36329","0.0-2.0-1.0-1.0-1.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","4982.89999999851","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","37649","0.0-2.0-1.0-1.0-2.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","1316.2999999970198","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","40563","0.0-2.0-1.0-1.0-3.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","2911.39999999851","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","41059","0.0-2.0-1.0-1.0-4.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","493.90000000596046","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","42753","0.0-2.0-1.0-2.0-0.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","1690.8000000044703","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","45843","0.0-2.0-1.1-0.1-0.1","5e6c0b0fede0271d08d1a3cd","F1","batch6","[{""page_index"":0,""viewing_time"":803.5},{""page_index"":1,""viewing_time"":165.80000000447035},{""page_index"":2,""viewing_time"":157.29999999701977},{""page_index"":3,""viewing_time"":167.5},{""page_index"":4,""viewing_time"":373.80000000447035},{""page_index"":5,""viewing_time"":447.19999999552965},{""page_index"":6,""viewing_time"":972.8999999985099}]","3088.9000000059605","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","46582","0.0-2.0-1.1-1.1-0.1","5e6c0b0fede0271d08d1a3cd","F1","batch6","","736.1999999955297","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","52040","0.0-2.0-1.1-1.1-1.1","5e6c0b0fede0271d08d1a3cd","F1","batch6","","5454.39999999851","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","52711","0.0-2.0-1.1-1.1-2.1","5e6c0b0fede0271d08d1a3cd","F1","batch6","","669.3000000044703","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","53949","0.0-2.0-1.1-1.1-3.1","5e6c0b0fede0271d08d1a3cd","F1","batch6","","1235.3999999985099","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","54405","0.0-2.0-1.1-1.1-4.1","5e6c0b0fede0271d08d1a3cd","F1","batch6","","453.6000000014901","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","55339","0.0-2.0-2.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","931.6999999955297","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","57324","0.0-2.0-3.0-0.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","1979","tol_practice","","","","tol_peg_2","1979","1979","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1979","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","61009","0.0-2.0-3.0-1.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","3682","tol_practice","","","","tol_peg_3","3682","3682","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","3682","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","19","62015","0.0-2.0-4.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","20","65421","0.0-2.0-5.0-0.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","3403","tol_practice","","","","tol_peg_1","3403","3403","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3403","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","66832","0.0-2.0-5.0-1.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","1408","tol_practice","","","","tol_peg_3","1408","1408","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1408","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","22","69392","0.0-2.0-5.1-0.1","5e6c0b0fede0271d08d1a3cd","F1","batch6","","2557","tol_practice","","","","tol_peg_1","2557","2557","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","2557","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","23","70074","0.0-2.0-5.1-1.1","5e6c0b0fede0271d08d1a3cd","F1","batch6","","679","tol_practice","","","","tol_peg_2","679","679","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","679","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","24","71078","0.0-2.0-6.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","25","74967","0.0-2.0-7.0-0.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","3887","tol_practice","","","","tol_peg_2","3887","3887","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","3887","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","26","75573","0.0-2.0-7.0-1.0","5e6c0b0fede0271d08d1a3cd","F1","batch6","","604","tol_practice","","","","tol_peg_3","604","604","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","604","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","27","77662","0.0-2.0-7.1-0.1","5e6c0b0fede0271d08d1a3cd","F1","batch6","","2086","tol_practice","","","","tol_peg_1","2086","2086","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","2086","","","","","","","","","","","","","","",""
