"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","4346","0.0-0.0","5e76c87c0fd39b22d52eba04","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","40732","0.0-1.0-0.0","5e76c87c0fd39b22d52eba04","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","47201","0.0-2.0-0.0","5e76c87c0fd39b22d52eba04","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","97977","0.0-2.0-1.0-0.0","5e76c87c0fd39b22d52eba04","B2","batch2","[{""page_index"":0,""viewing_time"":30485.299999952316},{""page_index"":1,""viewing_time"":20278.300000071526}]","50764.10000002384","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","100497","0.0-2.0-1.0-1.0-0.0","5e76c87c0fd39b22d52eba04","B2","batch2","","2519.2000000476837","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","106314","0.0-2.0-1.0-1.0-1.0","5e76c87c0fd39b22d52eba04","B2","batch2","","5816","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","109463","0.0-2.0-1.0-1.0-2.0","5e76c87c0fd39b22d52eba04","B2","batch2","","3146.7999999523163","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","130594","0.0-2.0-1.0-1.0-3.0","5e76c87c0fd39b22d52eba04","B2","batch2","","21142.600000023842","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","132438","0.0-2.0-1.0-1.0-4.0","5e76c87c0fd39b22d52eba04","B2","batch2","","1843","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","138384","0.0-2.0-2.0","5e76c87c0fd39b22d52eba04","B2","batch2","","5944.5","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
