"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1526","0.0-0.0","5e84c817507cd3066a527e5e","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","6696","0.0-1.0-0.0","5e84c817507cd3066a527e5e","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12936","0.0-2.0-0.0","5e84c817507cd3066a527e5e","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","18975","0.0-2.0-1.0","5e84c817507cd3066a527e5e","D2","batch4","","6035.600000023842","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","19784","0.0-2.0-2.0-0.0","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","30610","0.0-2.0-2.0-1.0","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","10792.199999988079","img/question_1_1.jpeg","3","mat_01","4","1","1","10792.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","31672","0.0-2.0-2.0-0.1","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","34251","0.0-2.0-2.0-1.1","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","2575.899999976158","img/question_1_2.jpeg","4","mat_02","5","1","1","2575.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","35312","0.0-2.0-2.0-0.2","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","37243","0.0-2.0-2.0-1.2","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","1928","img/question_1_3.jpeg","0","mat_03","1","1","1","1928","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","38304","0.0-2.0-2.0-0.3","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","41394","0.0-2.0-2.0-1.3","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","3087.199999988079","img/question_1_4.jpeg","1","mat_04","2","1","1","3087.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","42456","0.0-2.0-2.0-0.4","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","47608","0.0-2.0-2.0-1.4","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","5148","img/question_1_5.jpeg","5","mat_05","6","1","1","5148","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","48672","0.0-2.0-2.0-0.5","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","51639","0.0-2.0-2.0-1.5","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","2963.5","img/question_1_6.jpeg","2","mat_06","3","1","1","2963.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","52704","0.0-2.0-2.0-0.6","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","55441","0.0-2.0-2.0-1.6","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","2733.800000011921","img/question_1_7.jpeg","0","mat_07","6","0","0","2733.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","56504","0.0-2.0-2.0-0.7","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","63144","0.0-2.0-2.0-1.7","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","6636.899999976158","img/question_1_8.jpeg","1","mat_08","2","1","1","6636.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","64208","0.0-2.0-2.0-0.8","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","67096","0.0-2.0-2.0-1.8","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","2886","img/question_1_9.jpeg","0","mat_09","1","1","1","2886","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","68160","0.0-2.0-2.0-0.9","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","72669","0.0-2.0-2.0-1.9","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","4504.5999999940395","img/question_1_10.jpeg","2","mat_10","3","1","1","4504.5999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","73728","0.0-2.0-2.0-0.10","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","83163","0.0-2.0-2.0-1.10","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","9431.200000017881","img/question_1_11.jpeg","3","mat_11","4","1","1","9431.200000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","84224","0.0-2.0-2.0-0.11","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","104109","0.0-2.0-2.0-1.11","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","19881.30000001192","img/question_1_12.jpeg","4","mat_12","5","1","1","19881.30000001192","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","105176","0.0-2.0-2.0-0.12","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","109191","0.0-2.0-2.0-1.12","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","4013.5","img/question_2_1.jpeg","1","mat_13","2","1","1","4013.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","110255","0.0-2.0-2.0-0.13","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","120056","0.0-2.0-2.0-1.13","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","9798.800000011921","img/question_2_2.jpeg","5","mat_14","6","1","1","9798.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","121119","0.0-2.0-2.0-0.14","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","139124","0.0-2.0-2.0-1.14","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","18003","img/question_2_3.jpeg","0","mat_15","1","1","1","18003","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","140183","0.0-2.0-2.0-0.15","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","142348","0.0-2.0-2.0-1.15","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","2162.2999999821186","img/question_2_4.jpeg","1","mat_16","2","1","1","2162.2999999821186","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","143407","0.0-2.0-2.0-0.16","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","149399","0.0-2.0-2.0-1.16","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","5989.5999999940395","img/question_2_5.jpeg","0","mat_17","1","1","1","5989.5999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","150463","0.0-2.0-2.0-0.17","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","156462","0.0-2.0-2.0-1.17","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","5997","img/question_2_6.jpeg","2","mat_18","3","1","1","5997","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","157527","0.0-2.0-2.0-0.18","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","161525","0.0-2.0-2.0-1.18","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","3995.7999999821186","img/question_2_7.jpeg","4","mat_19","5","1","1","3995.7999999821186","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","162583","0.0-2.0-2.0-0.19","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","171352","0.0-2.0-2.0-1.19","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","8766.59999999404","img/question_2_8.jpeg","5","mat_20","6","1","1","8766.59999999404","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","172415","0.0-2.0-2.0-0.20","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","177431","0.0-2.0-2.0-1.20","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","5014.100000023842","img/question_2_9.jpeg","3","mat_21","4","1","1","5014.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","178496","0.0-2.0-2.0-0.21","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","199316","0.0-2.0-2.0-1.21","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","20818.40000000596","img/question_2_10.jpeg","2","mat_22","3","1","1","20818.40000000596","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","200376","0.0-2.0-2.0-0.22","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","210567","0.0-2.0-2.0-1.22","5e84c817507cd3066a527e5e","D2","batch4","spm_respsonse","10185.59999999404","img/question_2_11.jpeg","3","mat_23","4","1","1","10185.59999999404","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","211631","0.0-2.0-2.0-0.23","5e84c817507cd3066a527e5e","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
