"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","644","0.0-0.0","5e850b0e390e520ec806b084","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8892","0.0-1.0-0.0","5e850b0e390e520ec806b084","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12278","0.0-2.0-0.0","5e850b0e390e520ec806b084","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","43476","0.0-2.0-1.0-0.0-0.0","5e850b0e390e520ec806b084","C3","batch3","[{""page_index"":0,""viewing_time"":8888.200000047684},{""page_index"":1,""viewing_time"":5099.900000095367},{""page_index"":2,""viewing_time"":1900.0999999046326},{""page_index"":3,""viewing_time"":4702},{""page_index"":4,""viewing_time"":2838.9000000953674},{""page_index"":5,""viewing_time"":5118.099999904633},{""page_index"":6,""viewing_time"":2649.9000000953674}]","31197.300000190735","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","44377","0.0-2.0-1.0-1.0-0.0","5e850b0e390e520ec806b084","C3","batch3","","900.5999999046326","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","48190","0.0-2.0-1.0-1.0-1.0","5e850b0e390e520ec806b084","C3","batch3","","3812.100000143051","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","49130","0.0-2.0-1.0-1.0-2.0","5e850b0e390e520ec806b084","C3","batch3","","939.3999998569489","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","51838","0.0-2.0-1.0-1.0-3.0","5e850b0e390e520ec806b084","C3","batch3","","2707.2999999523163","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","52363","0.0-2.0-1.0-1.0-4.0","5e850b0e390e520ec806b084","C3","batch3","","524.5","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","53303","0.0-2.0-2.0","5e850b0e390e520ec806b084","C3","batch3","","939.2999999523163","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","54956","0.0-2.0-3.0-0.0","5e850b0e390e520ec806b084","C3","batch3","","1653","tol_practice","","","","tol_peg_2","1653","1653","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1653","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","55512","0.0-2.0-3.0-1.0","5e850b0e390e520ec806b084","C3","batch3","","555","tol_practice","","","","tol_peg_3","555","555","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","555","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","56514","0.0-2.0-4.0","5e850b0e390e520ec806b084","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
