"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","7769","0.0-0.0","5e9902c3a64f740009842923","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18690","0.0-1.0-0.0","5e9902c3a64f740009842923","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","21706","0.0-2.0-0.0","5e9902c3a64f740009842923","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","57687","0.0-2.0-1.0-0.0-0.0","5e9902c3a64f740009842923","E1","batch5","[{""page_index"":0,""viewing_time"":6533.600000023842},{""page_index"":1,""viewing_time"":4459.5},{""page_index"":2,""viewing_time"":1863.5999999940395},{""page_index"":3,""viewing_time"":9361.199999988079},{""page_index"":4,""viewing_time"":3436.0999999940395},{""page_index"":5,""viewing_time"":7746},{""page_index"":6,""viewing_time"":2579.300000011921}]","35979.70000001788","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","58832","0.0-2.0-1.0-1.0-0.0","5e9902c3a64f740009842923","E1","batch5","","1143.9000000059605","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","64927","0.0-2.0-1.0-1.0-1.0","5e9902c3a64f740009842923","E1","batch5","","6092.4000000059605","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","66192","0.0-2.0-1.0-1.0-2.0","5e9902c3a64f740009842923","E1","batch5","","1262","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","68621","0.0-2.0-1.0-1.0-3.0","5e9902c3a64f740009842923","E1","batch5","","2427.699999988079","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","69265","0.0-2.0-1.0-1.0-4.0","5e9902c3a64f740009842923","E1","batch5","","643","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","70499","0.0-2.0-2.0","5e9902c3a64f740009842923","E1","batch5","","1232.0999999940395","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","72527","0.0-2.0-3.0-0.0","5e9902c3a64f740009842923","E1","batch5","","2025","tol_practice","","","","tol_peg_2","2025","2025","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2025","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","73323","0.0-2.0-3.0-1.0","5e9902c3a64f740009842923","E1","batch5","","795","tol_practice","","","","tol_peg_3","795","795","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","795","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","74331","0.0-2.0-4.0","5e9902c3a64f740009842923","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","78832","0.0-2.0-5.0-0.0","5e9902c3a64f740009842923","E1","batch5","","4501","tol_practice","","","","tol_peg_1","4501","4501","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","4501","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","79588","0.0-2.0-5.0-1.0","5e9902c3a64f740009842923","E1","batch5","","754","tol_practice","","","","tol_peg_3","754","754","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","754","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","80228","0.0-2.0-5.1-0.1","5e9902c3a64f740009842923","E1","batch5","","640","tol_practice","","","","tol_peg_1","640","640","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","640","","","","","","","","","","","","","","",""
