"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","16031","0.0-0.0","5eaf76ae6665cc671414ab73","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","28211","0.0-1.0-0.0","5eaf76ae6665cc671414ab73","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","31512","0.0-2.0-0.0","5eaf76ae6665cc671414ab73","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","101798","0.0-2.0-1.0-0.0-0.0","5eaf76ae6665cc671414ab73","D2","batch4","[{""page_index"":0,""viewing_time"":19619.69999998808},{""page_index"":1,""viewing_time"":6580.699999988079},{""page_index"":2,""viewing_time"":3274.300000011921},{""page_index"":3,""viewing_time"":12230.600000023842},{""page_index"":4,""viewing_time"":6680.299999952316},{""page_index"":5,""viewing_time"":16708.5},{""page_index"":6,""viewing_time"":5186.900000035763}]","70282.19999998808","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","103149","0.0-2.0-1.0-1.0-0.0","5eaf76ae6665cc671414ab73","D2","batch4","","1345.6000000238419","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","107333","0.0-2.0-1.0-1.0-1.0","5eaf76ae6665cc671414ab73","D2","batch4","","4178.699999988079","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","108763","0.0-2.0-1.0-1.0-2.0","5eaf76ae6665cc671414ab73","D2","batch4","","1422.9000000357628","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","112728","0.0-2.0-1.0-1.0-3.0","5eaf76ae6665cc671414ab73","D2","batch4","","3962","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","113941","0.0-2.0-1.0-1.0-4.0","5eaf76ae6665cc671414ab73","D2","batch4","","1209.8999999761581","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","116202","0.0-2.0-2.0","5eaf76ae6665cc671414ab73","D2","batch4","","2254.899999976158","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
