"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2146","0.0-0.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","16093","0.0-1.0-0.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","23627","0.0-2.0-0.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","40426","0.0-2.0-1.0-0.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","[{""page_index"":0,""viewing_time"":9627.599999964237},{""page_index"":1,""viewing_time"":7167.600000023842}]","16795.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","41645","0.0-2.0-1.0-1.0-0.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","1218.300000011921","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","52233","0.0-2.0-1.0-1.0-1.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","10587.100000023842","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","53553","0.0-2.0-1.0-1.0-2.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","1319.1000000238419","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","56135","0.0-2.0-1.0-1.0-3.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","2581.100000023842","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","56845","0.0-2.0-1.0-1.0-4.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","709.1999999880791","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","58379","0.0-2.0-2.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","1532.300000011921","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","60934","0.0-2.0-3.0-0.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","2549.300000011921","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","61950","0.0-2.0-3.0-1.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","62824","0.0-2.0-3.0-0.1","5eb272fe56dba91c3f2f0ab7","B2","batch2","","870","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","63837","0.0-2.0-3.0-1.1","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","65770","0.0-2.0-3.0-0.2","5eb272fe56dba91c3f2f0ab7","B2","batch2","","1931.199999988079","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","66787","0.0-2.0-3.0-1.2","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","67607","0.0-2.0-3.0-0.3","5eb272fe56dba91c3f2f0ab7","B2","batch2","","814.6999999880791","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","68622","0.0-2.0-3.0-1.3","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","69269","0.0-2.0-3.0-0.4","5eb272fe56dba91c3f2f0ab7","B2","batch2","","640.3000000119209","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","70284","0.0-2.0-3.0-1.4","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","74241","0.0-2.0-4.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","3954.199999988079","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","75042","0.0-2.0-5.0-0.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","76555","0.0-2.0-5.0-1.0","5eb272fe56dba91c3f2f0ab7","B2","batch2","","1510.3999999761581","stim/yes_49_hor_w1_b.png","f","pattern_response","true","f","pattern_70","1510.3999999761581","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","77865","0.0-2.0-5.0-0.1","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","79987","0.0-2.0-5.0-1.1","5eb272fe56dba91c3f2f0ab7","B2","batch2","","2116.399999976158","stim/yes_26_dia_w2_w.png","j","pattern_response","false","f","pattern_50","2116.399999976158","false","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","81295","0.0-2.0-5.0-0.2","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","82129","0.0-2.0-5.0-1.2","5eb272fe56dba91c3f2f0ab7","B2","batch2","","828.5","stim/yes_36_ver_w1_w.png","f","pattern_response","true","f","pattern_58","828.5","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","83442","0.0-2.0-5.0-0.3","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","91063","0.0-2.0-5.0-1.3","5eb272fe56dba91c3f2f0ab7","B2","batch2","","7616.100000023842","stim/no_67_1.png","j","pattern_response","true","j","pattern_39","7616.100000023842","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","92369","0.0-2.0-5.0-0.4","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","93666","0.0-2.0-5.0-1.4","5eb272fe56dba91c3f2f0ab7","B2","batch2","","1295.699999988079","stim/no_12_1.png","j","pattern_response","true","j","pattern_01","1295.699999988079","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","94981","0.0-2.0-5.0-0.5","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","99403","0.0-2.0-5.0-1.5","5eb272fe56dba91c3f2f0ab7","B2","batch2","","4416.400000035763","stim/no_37_2_w.png","j","pattern_response","true","j","pattern_19","4416.400000035763","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","100714","0.0-2.0-5.0-0.6","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","105908","0.0-2.0-5.0-1.6","5eb272fe56dba91c3f2f0ab7","B2","batch2","","5188.400000035763","stim/no_47_1_b.png","j","pattern_response","true","j","pattern_27","5188.400000035763","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","107225","0.0-2.0-5.0-0.7","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","110106","0.0-2.0-5.0-1.7","5eb272fe56dba91c3f2f0ab7","B2","batch2","","2872.7000000476837","stim/no_28_2.png","j","pattern_response","true","j","pattern_11","2872.7000000476837","true","7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","111420","0.0-2.0-5.0-0.8","5eb272fe56dba91c3f2f0ab7","B2","batch2","","null","<p class=block-text>Trial 9 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
