"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1319","0.0-0.0","5eb3629472398915cb013c43","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10017","0.0-1.0-0.0","5eb3629472398915cb013c43","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","13926","0.0-2.0-0.0","5eb3629472398915cb013c43","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","75155","0.0-2.0-1.0-0.0-0.0","5eb3629472398915cb013c43","D2","batch4","[{""page_index"":0,""viewing_time"":13299},{""page_index"":1,""viewing_time"":5887.799999952316},{""page_index"":2,""viewing_time"":3018.9000000953674},{""page_index"":3,""viewing_time"":8961.299999952316},{""page_index"":4,""viewing_time"":4482},{""page_index"":5,""viewing_time"":5565.799999952316},{""page_index"":4,""viewing_time"":4190.099999904633},{""page_index"":5,""viewing_time"":13763.800000190735},{""page_index"":6,""viewing_time"":2060}]","61229","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","76063","0.0-2.0-1.0-1.0-0.0","5eb3629472398915cb013c43","D2","batch4","","907.5","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","81685","0.0-2.0-1.0-1.0-1.0","5eb3629472398915cb013c43","D2","batch4","","5620.600000143051","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","82471","0.0-2.0-1.0-1.0-2.0","5eb3629472398915cb013c43","D2","batch4","","785.0999999046326","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","84267","0.0-2.0-1.0-1.0-3.0","5eb3629472398915cb013c43","D2","batch4","","1795.2000000476837","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","84897","0.0-2.0-1.0-1.0-4.0","5eb3629472398915cb013c43","D2","batch4","","629.3000001907349","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","85959","0.0-2.0-2.0","5eb3629472398915cb013c43","D2","batch4","","1060.8000001907349","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","88088","0.0-2.0-3.0-0.0","5eb3629472398915cb013c43","D2","batch4","","2128","tol_practice","","","","tol_peg_2","2128","2128","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2128","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","90373","0.0-2.0-3.0-1.0","5eb3629472398915cb013c43","D2","batch4","","2285","tol_practice","","","","tol_peg_3","2285","2285","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","2285","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","91388","0.0-2.0-4.0","5eb3629472398915cb013c43","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","102541","0.0-2.0-5.0-0.0","5eb3629472398915cb013c43","D2","batch4","","11153","tol_practice","","","","tol_peg_1","11153","11153","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","11153","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","104155","0.0-2.0-5.0-1.0","5eb3629472398915cb013c43","D2","batch4","","1613","tol_practice","","","","tol_peg_3","1613","1613","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1613","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","107127","0.0-2.0-5.1-0.1","5eb3629472398915cb013c43","D2","batch4","","2972","tol_practice","","","","tol_peg_1","2972","2972","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","2972","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","109035","0.0-2.0-5.1-1.1","5eb3629472398915cb013c43","D2","batch4","","1907","tol_practice","","","","tol_peg_2","1907","1907","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1907","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","110047","0.0-2.0-6.0","5eb3629472398915cb013c43","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","115961","0.0-2.0-7.0-0.0","5eb3629472398915cb013c43","D2","batch4","","5914","tol_practice","","","","tol_peg_2","5914","5914","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","5914","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","117075","0.0-2.0-7.0-1.0","5eb3629472398915cb013c43","D2","batch4","","1114","tol_practice","","","","tol_peg_3","1114","1114","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","1114","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","118073","0.0-2.0-7.1-0.1","5eb3629472398915cb013c43","D2","batch4","","998","tol_practice","","","","tol_peg_1","998","998","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","998","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","118749","0.0-2.0-7.1-1.1","5eb3629472398915cb013c43","D2","batch4","","676","tol_practice","","","","tol_peg_2","676","676","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","676","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","119751","0.0-2.0-8.0","5eb3629472398915cb013c43","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
