"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","4234","0.0-0.0","5eb4442bcaffba2864f4c554","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","65181","0.0-1.0-0.0","5eb4442bcaffba2864f4c554","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","68973","0.0-2.0-0.0","5eb4442bcaffba2864f4c554","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","85973","0.0-2.0-1.0-0.0","5eb4442bcaffba2864f4c554","D2","batch4","[{""page_index"":0,""viewing_time"":13023.100000023842},{""page_index"":1,""viewing_time"":3973.100000023842}]","16997","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","89632","0.0-2.0-1.0-1.0-0.0","5eb4442bcaffba2864f4c554","D2","batch4","","3656.399999976158","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","91602","0.0-2.0-1.0-1.0-1.0","5eb4442bcaffba2864f4c554","D2","batch4","","1966.3999999761581","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","92542","0.0-2.0-1.0-1.0-2.0","5eb4442bcaffba2864f4c554","D2","batch4","","936.7999999523163","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","96560","0.0-2.0-1.0-1.0-3.0","5eb4442bcaffba2864f4c554","D2","batch4","","4016.2000000476837","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","97433","0.0-2.0-1.0-1.0-4.0","5eb4442bcaffba2864f4c554","D2","batch4","","869.1000000238419","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","98721","0.0-2.0-2.0","5eb4442bcaffba2864f4c554","D2","batch4","","1284","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","101036","0.0-2.0-3.0-0.0","5eb4442bcaffba2864f4c554","D2","batch4","","2307.399999976158","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","102050","0.0-2.0-3.0-1.0","5eb4442bcaffba2864f4c554","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","102871","0.0-2.0-3.0-0.1","5eb4442bcaffba2864f4c554","D2","batch4","","818.5","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","103882","0.0-2.0-3.0-1.1","5eb4442bcaffba2864f4c554","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","104617","0.0-2.0-3.0-0.2","5eb4442bcaffba2864f4c554","D2","batch4","","732.2999999523163","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","105640","0.0-2.0-3.0-1.2","5eb4442bcaffba2864f4c554","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","106643","0.0-2.0-3.0-0.3","5eb4442bcaffba2864f4c554","D2","batch4","","1000.4000000953674","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
