"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1534","0.0-0.0","5ec44da606cb7931f04a35e9","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10395","0.0-1.0-0.0","5ec44da606cb7931f04a35e9","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","13867","0.0-2.0-0.0","5ec44da606cb7931f04a35e9","F1","batch6","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","22573","0.0-2.0-1.0","5ec44da606cb7931f04a35e9","F1","batch6","","8704.19999999972","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","23379","0.0-2.0-2.0-0.0","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","31736","0.0-2.0-2.0-1.0","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","8340.19999999972","img/question_1_1.jpeg","3","mat_01","4","1","1","8340.19999999972","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","32803","0.0-2.0-2.0-0.1","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","38088","0.0-2.0-2.0-1.1","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","5282.199999999721","img/question_1_2.jpeg","4","mat_02","5","1","1","5282.199999999721","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","39147","0.0-2.0-2.0-0.2","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","43508","0.0-2.0-2.0-1.2","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","4359.100000000093","img/question_1_3.jpeg","0","mat_03","1","1","1","4359.100000000093","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","44571","0.0-2.0-2.0-0.3","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","50209","0.0-2.0-2.0-1.3","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","5635.5","img/question_1_4.jpeg","1","mat_04","2","1","1","5635.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","51275","0.0-2.0-2.0-0.4","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","55895","0.0-2.0-2.0-1.4","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","4618.399999999907","img/question_1_5.jpeg","5","mat_05","6","1","1","4618.399999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","56955","0.0-2.0-2.0-0.5","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","62681","0.0-2.0-2.0-1.5","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","5723.299999999814","img/question_1_6.jpeg","2","mat_06","3","1","1","5723.299999999814","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","63747","0.0-2.0-2.0-0.6","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","68801","0.0-2.0-2.0-1.6","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","5051.399999999907","img/question_1_7.jpeg","5","mat_07","6","1","1","5051.399999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","69867","0.0-2.0-2.0-0.7","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","75587","0.0-2.0-2.0-1.7","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","5716.5","img/question_1_8.jpeg","1","mat_08","2","1","1","5716.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","76651","0.0-2.0-2.0-0.8","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","80281","0.0-2.0-2.0-1.8","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","3627.1999999997206","img/question_1_9.jpeg","0","mat_09","1","1","1","3627.1999999997206","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","81347","0.0-2.0-2.0-0.9","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","90570","0.0-2.0-2.0-1.9","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","9219.899999999907","img/question_1_10.jpeg","2","mat_10","3","1","1","9219.899999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","91635","0.0-2.0-2.0-0.10","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","105770","0.0-2.0-2.0-1.10","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","14131.30000000028","img/question_1_11.jpeg","3","mat_11","4","1","1","14131.30000000028","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","106835","0.0-2.0-2.0-0.11","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","115175","0.0-2.0-2.0-1.11","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","8336.899999999907","img/question_1_12.jpeg","0","mat_12","5","0","0","8336.899999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","116235","0.0-2.0-2.0-0.12","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","119484","0.0-2.0-2.0-1.12","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","3246.2000000001863","img/question_2_1.jpeg","1","mat_13","2","1","1","3246.2000000001863","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","120547","0.0-2.0-2.0-0.13","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","127599","0.0-2.0-2.0-1.13","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","7048.799999999814","img/question_2_2.jpeg","5","mat_14","6","1","1","7048.799999999814","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","128659","0.0-2.0-2.0-0.14","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","133188","0.0-2.0-2.0-1.14","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","4526.5","img/question_2_3.jpeg","0","mat_15","1","1","1","4526.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","134251","0.0-2.0-2.0-0.15","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","137305","0.0-2.0-2.0-1.15","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","3051.600000000093","img/question_2_4.jpeg","1","mat_16","2","1","1","3051.600000000093","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","138371","0.0-2.0-2.0-0.16","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","143619","0.0-2.0-2.0-1.16","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","5244.799999999814","img/question_2_5.jpeg","0","mat_17","1","1","1","5244.799999999814","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","144683","0.0-2.0-2.0-0.17","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","154231","0.0-2.0-2.0-1.17","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","9545.200000000186","img/question_2_6.jpeg","2","mat_18","3","1","1","9545.200000000186","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","155291","0.0-2.0-2.0-0.18","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","161136","0.0-2.0-2.0-1.18","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","5842.100000000093","img/question_2_7.jpeg","4","mat_19","5","1","1","5842.100000000093","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","162203","0.0-2.0-2.0-0.19","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","169661","0.0-2.0-2.0-1.19","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","7455.600000000093","img/question_2_8.jpeg","5","mat_20","6","1","1","7455.600000000093","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","170723","0.0-2.0-2.0-0.20","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","176000","0.0-2.0-2.0-1.20","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","5273.899999999907","img/question_2_9.jpeg","3","mat_21","4","1","1","5273.899999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","177059","0.0-2.0-2.0-0.21","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","184040","0.0-2.0-2.0-1.21","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","6978","img/question_2_10.jpeg","2","mat_22","3","1","1","6978","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","185099","0.0-2.0-2.0-0.22","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","191454","0.0-2.0-2.0-1.22","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","6351.800000000279","img/question_2_11.jpeg","3","mat_23","4","1","1","6351.800000000279","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","192515","0.0-2.0-2.0-0.23","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","51","199096","0.0-2.0-2.0-1.23","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","6578.200000000186","img/question_2_12.jpeg","4","mat_24","5","1","1","6578.200000000186","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","52","201582","0.0-2.0-3.0","5ec44da606cb7931f04a35e9","F1","batch6","attention_check","2225.6999999997206","<p class = block-text>Attention check: Please choose 1<br></p>","0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","202387","0.0-2.0-4.0-0.0","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 25 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","54","209310","0.0-2.0-4.0-1.0","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","6915.299999999814","img/question_3_1.jpeg","7","mat_25","8","1","1","6915.299999999814","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","210370","0.0-2.0-4.0-0.1","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 26 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","56","216179","0.0-2.0-4.0-1.1","5ec44da606cb7931f04a35e9","F1","batch6","spm_respsonse","5805.399999999907","img/question_3_2.jpeg","1","mat_26","2","1","1","5805.399999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","217242","0.0-2.0-4.0-0.2","5ec44da606cb7931f04a35e9","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 27 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
