"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","4589","0.0-0.0","5ecfe4891d96f707354f918b","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11415","0.0-1.0-0.0","5ecfe4891d96f707354f918b","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","15416","0.0-2.0-0.0","5ecfe4891d96f707354f918b","F1","batch6","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","23846","0.0-2.0-1.0","5ecfe4891d96f707354f918b","F1","batch6","","8428.300000011921","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","24658","0.0-2.0-2.0-0.0","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","31446","0.0-2.0-2.0-1.0","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","6770.100000023842","img/question_1_1.jpeg","3","mat_01","4","1","1","6770.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","32513","0.0-2.0-2.0-0.1","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","35445","0.0-2.0-2.0-1.1","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","2929","img/question_1_2.jpeg","4","mat_02","5","1","1","2929","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","36513","0.0-2.0-2.0-0.2","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","39538","0.0-2.0-2.0-1.2","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","3022.599999964237","img/question_1_3.jpeg","0","mat_03","1","1","1","3022.599999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","40604","0.0-2.0-2.0-0.3","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","43750","0.0-2.0-2.0-1.3","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","3143.199999988079","img/question_1_4.jpeg","1","mat_04","2","1","1","3143.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","44821","0.0-2.0-2.0-0.4","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","47568","0.0-2.0-2.0-1.4","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","2745","img/question_1_5.jpeg","5","mat_05","6","1","1","2745","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","48637","0.0-2.0-2.0-0.5","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","53466","0.0-2.0-2.0-1.5","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","4826.5","img/question_1_6.jpeg","2","mat_06","3","1","1","4826.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","54529","0.0-2.0-2.0-0.6","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","58756","0.0-2.0-2.0-1.6","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","4224.400000035763","img/question_1_7.jpeg","5","mat_07","6","1","1","4224.400000035763","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","59821","0.0-2.0-2.0-0.7","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","63880","0.0-2.0-2.0-1.7","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","4056.5","img/question_1_8.jpeg","1","mat_08","2","1","1","4056.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","64947","0.0-2.0-2.0-0.8","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","71054","0.0-2.0-2.0-1.8","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","6103.600000023842","img/question_1_9.jpeg","0","mat_09","1","1","1","6103.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","72115","0.0-2.0-2.0-0.9","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","76374","0.0-2.0-2.0-1.9","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","4256.099999964237","img/question_1_10.jpeg","2","mat_10","3","1","1","4256.099999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","77444","0.0-2.0-2.0-0.10","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","87475","0.0-2.0-2.0-1.10","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","10027.899999976158","img/question_1_11.jpeg","3","mat_11","4","1","1","10027.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","88542","0.0-2.0-2.0-0.11","5ecfe4891d96f707354f918b","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","98640","0.0-2.0-2.0-1.11","5ecfe4891d96f707354f918b","F1","batch6","spm_respsonse","10095.199999988079","img/question_1_12.jpeg","4","mat_12","5","1","1","10095.199999988079","","","","","","","","","","","","","","","","","","","","",""
