"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1989","0.0-0.0","5edb164c0d7fc47972df387a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","53632","0.0-1.0-0.0","5edb164c0d7fc47972df387a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","56376","0.0-2.0-0.0","5edb164c0d7fc47972df387a","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","67392","0.0-2.0-1.0","5edb164c0d7fc47972df387a","C3","batch3","","11013.200000000012","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","68202","0.0-2.0-2.0-0.0","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","73638","0.0-2.0-2.0-1.0","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","5423.599999999977","img/question_1_1.jpeg","3","mat_01","4","1","1","5423.599999999977","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","74703","0.0-2.0-2.0-0.1","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","77340","0.0-2.0-2.0-1.1","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","2635.5999999999767","img/question_1_2.jpeg","4","mat_02","5","1","1","2635.5999999999767","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","78403","0.0-2.0-2.0-0.2","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","80968","0.0-2.0-2.0-1.2","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","2564","img/question_1_3.jpeg","0","mat_03","1","1","1","2564","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","82031","0.0-2.0-2.0-0.3","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","84965","0.0-2.0-2.0-1.3","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","2931.7999999999884","img/question_1_4.jpeg","1","mat_04","2","1","1","2931.7999999999884","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","86033","0.0-2.0-2.0-0.4","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","88754","0.0-2.0-2.0-1.4","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","2718.2999999999884","img/question_1_5.jpeg","5","mat_05","6","1","1","2718.2999999999884","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","89815","0.0-2.0-2.0-0.5","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","92715","0.0-2.0-2.0-1.5","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","2898.2999999999884","img/question_1_6.jpeg","2","mat_06","3","1","1","2898.2999999999884","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","93775","0.0-2.0-2.0-0.6","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","97554","0.0-2.0-2.0-1.6","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","3777.399999999965","img/question_1_7.jpeg","5","mat_07","6","1","1","3777.399999999965","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","98609","0.0-2.0-2.0-0.7","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","103345","0.0-2.0-2.0-1.7","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","4734.300000000047","img/question_1_8.jpeg","1","mat_08","2","1","1","4734.300000000047","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","104409","0.0-2.0-2.0-0.8","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","107474","0.0-2.0-2.0-1.8","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","3063.7000000000116","img/question_1_9.jpeg","0","mat_09","1","1","1","3063.7000000000116","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","108536","0.0-2.0-2.0-0.9","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","111981","0.0-2.0-2.0-1.9","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","3443.5","img/question_1_10.jpeg","2","mat_10","3","1","1","3443.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","113044","0.0-2.0-2.0-0.10","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","121182","0.0-2.0-2.0-1.10","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","8135.5","img/question_1_11.jpeg","3","mat_11","4","1","1","8135.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","122247","0.0-2.0-2.0-0.11","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","129471","0.0-2.0-2.0-1.11","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","7221.400000000023","img/question_1_12.jpeg","4","mat_12","5","1","1","7221.400000000023","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","130535","0.0-2.0-2.0-0.12","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","135430","0.0-2.0-2.0-1.12","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","4892.799999999988","img/question_2_1.jpeg","2","mat_13","2","0","0","4892.799999999988","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","136496","0.0-2.0-2.0-0.13","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","141093","0.0-2.0-2.0-1.13","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","4595.200000000012","img/question_2_2.jpeg","5","mat_14","6","1","1","4595.200000000012","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","142159","0.0-2.0-2.0-0.14","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","148374","0.0-2.0-2.0-1.14","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","6213.600000000035","img/question_2_3.jpeg","0","mat_15","1","1","1","6213.600000000035","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","149441","0.0-2.0-2.0-0.15","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","153587","0.0-2.0-2.0-1.15","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","4144.800000000047","img/question_2_4.jpeg","1","mat_16","2","1","1","4144.800000000047","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","154647","0.0-2.0-2.0-0.16","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","158215","0.0-2.0-2.0-1.16","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","3566.2999999999884","img/question_2_5.jpeg","0","mat_17","1","1","1","3566.2999999999884","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","159279","0.0-2.0-2.0-0.17","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","164763","0.0-2.0-2.0-1.17","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","5481.299999999988","img/question_2_6.jpeg","2","mat_18","3","1","1","5481.299999999988","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","165826","0.0-2.0-2.0-0.18","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","169696","0.0-2.0-2.0-1.18","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","3868.0999999999767","img/question_2_7.jpeg","4","mat_19","5","1","1","3868.0999999999767","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","170760","0.0-2.0-2.0-0.19","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","175422","0.0-2.0-2.0-1.19","5edb164c0d7fc47972df387a","C3","batch3","spm_respsonse","4659.799999999988","img/question_2_8.jpeg","5","mat_20","6","1","1","4659.799999999988","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","176487","0.0-2.0-2.0-0.20","5edb164c0d7fc47972df387a","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
