"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1186","0.0-0.0","5edfb0770fb0722aa3839b6d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","12429","0.0-1.0-0.0","5edfb0770fb0722aa3839b6d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16617","0.0-2.0-0.0","5edfb0770fb0722aa3839b6d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","64850","0.0-2.0-1.0-0.0","5edfb0770fb0722aa3839b6d","B2","batch2","[{""page_index"":0,""viewing_time"":38162.30000001192},{""page_index"":1,""viewing_time"":10067.5}]","48230.20000000298","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","66490","0.0-2.0-1.0-1.0-0.0","5edfb0770fb0722aa3839b6d","B2","batch2","","1638.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","71394","0.0-2.0-1.0-1.0-1.0","5edfb0770fb0722aa3839b6d","B2","batch2","","4903","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","73191","0.0-2.0-1.0-1.0-2.0","5edfb0770fb0722aa3839b6d","B2","batch2","","1795.2000000029802","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","78591","0.0-2.0-1.0-1.0-3.0","5edfb0770fb0722aa3839b6d","B2","batch2","","5398.9000000059605","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","79359","0.0-2.0-1.0-1.0-4.0","5edfb0770fb0722aa3839b6d","B2","batch2","","766.2000000029802","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","80943","0.0-2.0-1.0-2.0-0.0","5edfb0770fb0722aa3839b6d","B2","batch2","","1582.5","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","85320","0.0-2.0-1.1-0.1","5edfb0770fb0722aa3839b6d","B2","batch2","[{""page_index"":0,""viewing_time"":1656.2999999970198},{""page_index"":1,""viewing_time"":983.6000000089407},{""page_index"":0,""viewing_time"":840.2999999970198},{""page_index"":1,""viewing_time"":895.7999999970198}]","4376.29999999702","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","86312","0.0-2.0-1.1-1.1-0.1","5edfb0770fb0722aa3839b6d","B2","batch2","","991","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","87344","0.0-2.0-1.1-1.1-1.1","5edfb0770fb0722aa3839b6d","B2","batch2","","1031.0999999940395","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","88040","0.0-2.0-1.1-1.1-2.1","5edfb0770fb0722aa3839b6d","B2","batch2","","695.6000000089407","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","95498","0.0-2.0-1.1-1.1-3.1","5edfb0770fb0722aa3839b6d","B2","batch2","","7456.699999988079","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
