"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","4318","0.0-0.0","5ee04c3aa397863948b8b1c9","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","20892","0.0-1.0-0.0","5ee04c3aa397863948b8b1c9","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","24070","0.0-2.0-0.0","5ee04c3aa397863948b8b1c9","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","82364","0.0-2.0-1.0-0.0-0.0","5ee04c3aa397863948b8b1c9","C3","batch3","[{""page_index"":0,""viewing_time"":9747.899999999907},{""page_index"":1,""viewing_time"":5896.5},{""page_index"":2,""viewing_time"":3105.7000000001863},{""page_index"":3,""viewing_time"":13342.399999999907},{""page_index"":4,""viewing_time"":6313.300000000279},{""page_index"":5,""viewing_time"":15970},{""page_index"":6,""viewing_time"":3917.7999999998137}]","58293.80000000028","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","83220","0.0-2.0-1.0-1.0-0.0","5ee04c3aa397863948b8b1c9","C3","batch3","","855.7999999998137","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","85465","0.0-2.0-1.0-1.0-1.0","5ee04c3aa397863948b8b1c9","C3","batch3","","2243.5999999996275","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","86595","0.0-2.0-1.0-1.0-2.0","5ee04c3aa397863948b8b1c9","C3","batch3","","1129.8999999999069","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","90851","0.0-2.0-1.0-1.0-3.0","5ee04c3aa397863948b8b1c9","C3","batch3","","4254.899999999907","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","91350","0.0-2.0-1.0-1.0-4.0","5ee04c3aa397863948b8b1c9","C3","batch3","","498.5","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","93037","0.0-2.0-2.0","5ee04c3aa397863948b8b1c9","C3","batch3","","1686.5","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","95884","0.0-2.0-3.0-0.0","5ee04c3aa397863948b8b1c9","C3","batch3","","2846","tol_practice","","","","tol_peg_2","2846","2846","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2846","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","96968","0.0-2.0-3.0-1.0","5ee04c3aa397863948b8b1c9","C3","batch3","","1084","tol_practice","","","","tol_peg_3","1084","1084","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1084","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","97976","0.0-2.0-4.0","5ee04c3aa397863948b8b1c9","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","101365","0.0-2.0-5.0-0.0","5ee04c3aa397863948b8b1c9","C3","batch3","","3388","tol_practice","","","","tol_peg_1","3388","3388","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3388","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","102513","0.0-2.0-5.0-1.0","5ee04c3aa397863948b8b1c9","C3","batch3","","1148","tol_practice","","","","tol_peg_3","1148","1148","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1148","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","105031","0.0-2.0-5.1-0.1","5ee04c3aa397863948b8b1c9","C3","batch3","","2517","tol_practice","","","","tol_peg_1","2517","2517","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","2517","","","","","","","","","","","","","","",""
