"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","2521","0.0-0.0","5ee11eb5636ea94d3ad43e3b","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","5806","0.0-1.0-0.0","5ee11eb5636ea94d3ad43e3b","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","11337","0.0-2.0-0.0","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","27186","0.0-2.0-1.0","5ee11eb5636ea94d3ad43e3b","C3","batch3","","15846.700000047684","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","27993","0.0-2.0-2.0-0.0","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","67294","0.0-2.0-2.0-1.0","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","39293.10000002384","img/question_1_1.jpeg","5","mat_01","4","0","0","39293.10000002384","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","68347","0.0-2.0-2.0-0.1","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","73065","0.0-2.0-2.0-1.1","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","4715.399999976158","img/question_1_2.jpeg","4","mat_02","5","1","1","4715.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","74150","0.0-2.0-2.0-0.2","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","80825","0.0-2.0-2.0-1.2","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","6672.399999976158","img/question_1_3.jpeg","0","mat_03","1","1","1","6672.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","81900","0.0-2.0-2.0-0.3","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","96994","0.0-2.0-2.0-1.3","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","15090.5","img/question_1_4.jpeg","1","mat_04","2","1","1","15090.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","98056","0.0-2.0-2.0-0.4","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","106888","0.0-2.0-2.0-1.4","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","8828.399999976158","img/question_1_5.jpeg","5","mat_05","6","1","1","8828.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","107947","0.0-2.0-2.0-0.5","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","114984","0.0-2.0-2.0-1.5","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","7034.5","img/question_1_6.jpeg","2","mat_06","3","1","1","7034.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","116056","0.0-2.0-2.0-0.6","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","121321","0.0-2.0-2.0-1.6","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","5261.399999976158","img/question_1_7.jpeg","5","mat_07","6","1","1","5261.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","122385","0.0-2.0-2.0-0.7","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","129682","0.0-2.0-2.0-1.7","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","7295.100000023842","img/question_1_8.jpeg","1","mat_08","2","1","1","7295.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","130744","0.0-2.0-2.0-0.8","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","153865","0.0-2.0-2.0-1.8","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","23118.200000047684","img/question_1_9.jpeg","0","mat_09","1","1","1","23118.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","154931","0.0-2.0-2.0-0.9","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","168466","0.0-2.0-2.0-1.9","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","13531.399999976158","img/question_1_10.jpeg","2","mat_10","3","1","1","13531.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","169525","0.0-2.0-2.0-0.10","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","192520","0.0-2.0-2.0-1.10","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","22992.400000095367","img/question_1_11.jpeg","3","mat_11","4","1","1","22992.400000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","193572","0.0-2.0-2.0-0.11","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","212537","0.0-2.0-2.0-1.11","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","18962.299999952316","img/question_1_12.jpeg","4","mat_12","5","1","1","18962.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","213590","0.0-2.0-2.0-0.12","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","219554","0.0-2.0-2.0-1.12","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","5961.699999928474","img/question_2_1.jpeg","1","mat_13","2","1","1","5961.699999928474","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","220619","0.0-2.0-2.0-0.13","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","230696","0.0-2.0-2.0-1.13","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","10074.5","img/question_2_2.jpeg","4","mat_14","6","0","0","10074.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","231764","0.0-2.0-2.0-0.14","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","235976","0.0-2.0-2.0-1.14","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","4209.600000023842","img/question_2_3.jpeg","0","mat_15","1","1","1","4209.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","237041","0.0-2.0-2.0-0.15","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","242688","0.0-2.0-2.0-1.15","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","5644.900000095367","img/question_2_4.jpeg","1","mat_16","2","1","1","5644.900000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","243744","0.0-2.0-2.0-0.16","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","249800","0.0-2.0-2.0-1.16","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","6053.800000071526","img/question_2_5.jpeg","0","mat_17","1","1","1","6053.800000071526","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","250855","0.0-2.0-2.0-0.17","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","259152","0.0-2.0-2.0-1.17","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","8294.799999952316","img/question_2_6.jpeg","2","mat_18","3","1","1","8294.799999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","260213","0.0-2.0-2.0-0.18","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","274133","0.0-2.0-2.0-1.18","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","13918","img/question_2_7.jpeg","4","mat_19","5","1","1","13918","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","275197","0.0-2.0-2.0-0.19","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","284415","0.0-2.0-2.0-1.19","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","9215.399999976158","img/question_2_8.jpeg","5","mat_20","6","1","1","9215.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","285478","0.0-2.0-2.0-0.20","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","294248","0.0-2.0-2.0-1.20","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","8767.200000047684","img/question_2_9.jpeg","3","mat_21","4","1","1","8767.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","295301","0.0-2.0-2.0-0.21","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","304407","0.0-2.0-2.0-1.21","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","9104.100000023842","img/question_2_10.jpeg","2","mat_22","3","1","1","9104.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","305463","0.0-2.0-2.0-0.22","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","318415","0.0-2.0-2.0-1.22","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","12949.299999952316","img/question_2_11.jpeg","3","mat_23","4","1","1","12949.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","319478","0.0-2.0-2.0-0.23","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","51","326256","0.0-2.0-2.0-1.23","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","6774.899999976158","img/question_2_12.jpeg","4","mat_24","5","1","1","6774.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","52","330184","0.0-2.0-3.0","5ee11eb5636ea94d3ad43e3b","C3","batch3","attention_check","3676.399999976158","<p class = block-text>Attention check: Please choose 1<br></p>","0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","330986","0.0-2.0-4.0-0.0","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 25 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","54","342991","0.0-2.0-4.0-1.0","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","12001.899999976158","img/question_3_1.jpeg","7","mat_25","8","1","1","12001.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","344056","0.0-2.0-4.0-0.1","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 26 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","56","357176","0.0-2.0-4.0-1.1","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","13116.199999928474","img/question_3_2.jpeg","1","mat_26","2","1","1","13116.199999928474","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","358228","0.0-2.0-4.0-0.2","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 27 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","58","365328","0.0-2.0-4.0-1.2","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","7097.199999928474","img/question_3_3.jpeg","2","mat_27","3","1","1","7097.199999928474","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","366380","0.0-2.0-4.0-0.3","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 28 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","60","392623","0.0-2.0-4.0-1.3","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","26239.600000023842","img/question_3_4.jpeg","7","mat_28","8","1","1","26239.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","61","393697","0.0-2.0-4.0-0.4","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 29 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","62","410967","0.0-2.0-4.0-1.4","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_respsonse","17266.899999976158","img/question_3_5.jpeg","6","mat_29","7","1","1","17266.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","63","412020","0.0-2.0-4.0-0.5","5ee11eb5636ea94d3ad43e3b","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 30 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
