"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","18907","0.0-0.0","5eeaff28cf5da71d691ef212","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","30491","0.0-1.0-0.0","5eeaff28cf5da71d691ef212","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","34043","0.0-2.0-0.0","5eeaff28cf5da71d691ef212","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","125775","0.0-2.0-1.0-0.0-0.0","5eeaff28cf5da71d691ef212","C3","batch3","[{""page_index"":0,""viewing_time"":15622.60000000149},{""page_index"":1,""viewing_time"":14071.89999999851},{""page_index"":2,""viewing_time"":10189.19999999553},{""page_index"":3,""viewing_time"":19376.40000000596},{""page_index"":4,""viewing_time"":12106.39999999851},{""page_index"":5,""viewing_time"":17428.10000000149},{""page_index"":6,""viewing_time"":2937.5}]","91732.29999999702","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","127724","0.0-2.0-1.0-1.0-0.0","5eeaff28cf5da71d691ef212","C3","batch3","","1948.1000000014901","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","141840","0.0-2.0-1.0-1.0-1.0","5eeaff28cf5da71d691ef212","C3","batch3","","14114.70000000298","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","143294","0.0-2.0-1.0-1.0-2.0","5eeaff28cf5da71d691ef212","C3","batch3","","1452.7000000029802","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","146371","0.0-2.0-1.0-1.0-3.0","5eeaff28cf5da71d691ef212","C3","batch3","","3076.0999999940395","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","147212","0.0-2.0-1.0-1.0-4.0","5eeaff28cf5da71d691ef212","C3","batch3","","840.7000000029802","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","149317","0.0-2.0-2.0","5eeaff28cf5da71d691ef212","C3","batch3","","2104.39999999851","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","151400","0.0-2.0-3.0-0.0","5eeaff28cf5da71d691ef212","C3","batch3","","2081","tol_practice","","","","tol_peg_2","2081","2081","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2081","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","153109","0.0-2.0-3.0-1.0","5eeaff28cf5da71d691ef212","C3","batch3","","1707","tol_practice","","","","tol_peg_3","1707","1707","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1707","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","154111","0.0-2.0-4.0","5eeaff28cf5da71d691ef212","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","160887","0.0-2.0-5.0-0.0","5eeaff28cf5da71d691ef212","C3","batch3","","6775","tol_practice","","","","tol_peg_2","6775","6775","0","[[1,2,0],[0,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","6775","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","163011","0.0-2.0-5.0-1.0","5eeaff28cf5da71d691ef212","C3","batch3","","2124","tol_practice","","","","tol_peg_1","2124","2124","0","[[1,2,3],[0,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","2124","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","165163","0.0-2.0-5.1-0.1","5eeaff28cf5da71d691ef212","C3","batch3","","2150","tol_practice","","","","tol_peg_1","2150","2150","0","[[1,2,0],[0,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","2150","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","168126","0.0-2.0-5.1-1.1","5eeaff28cf5da71d691ef212","C3","batch3","","2963","tol_practice","","","","tol_peg_1","2963","2963","0","[[1,2,3],[0,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","2963","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","169603","0.0-2.0-5.2-0.2","5eeaff28cf5da71d691ef212","C3","batch3","","1476","tol_practice","","","","tol_peg_1","1476","1476","0","[[1,2,0],[0,0],[0]]","4","[[0,0,0],[3,1],[2]]","practice","1476","","","","","","","","","","","","","","",""
