"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2773","0.0-0.0","5ef16261c970f4526c7695eb","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","63497","0.0-1.0-0.0","5ef16261c970f4526c7695eb","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","66001","0.0-2.0-0.0","5ef16261c970f4526c7695eb","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","98202","0.0-2.0-1.0-0.0-0.0","5ef16261c970f4526c7695eb","E1","batch5","[{""page_index"":0,""viewing_time"":12413.300000011921},{""page_index"":1,""viewing_time"":2602.9000000059605},{""page_index"":2,""viewing_time"":2111.2999999821186},{""page_index"":3,""viewing_time"":8201.90000000596},{""page_index"":4,""viewing_time"":1396.300000011921},{""page_index"":5,""viewing_time"":3679.7999999821186},{""page_index"":6,""viewing_time"":1792.2000000178814}]","32198.600000023842","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","98972","0.0-2.0-1.0-1.0-0.0","5ef16261c970f4526c7695eb","E1","batch5","","763.1999999880791","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","104142","0.0-2.0-1.0-1.0-1.0","5ef16261c970f4526c7695eb","E1","batch5","","5163.5999999940395","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","105330","0.0-2.0-1.0-1.0-2.0","5ef16261c970f4526c7695eb","E1","batch5","","1181.9000000059605","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","107490","0.0-2.0-1.0-1.0-3.0","5ef16261c970f4526c7695eb","E1","batch5","","2157.800000011921","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","108156","0.0-2.0-1.0-1.0-4.0","5ef16261c970f4526c7695eb","E1","batch5","","663.3000000119209","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","109600","0.0-2.0-1.0-2.0-0.0","5ef16261c970f4526c7695eb","E1","batch5","","1440.4000000059605","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","113991","0.0-2.0-1.1-0.1-0.1","5ef16261c970f4526c7695eb","E1","batch5","[{""page_index"":0,""viewing_time"":1082.6000000238419},{""page_index"":1,""viewing_time"":400.7999999821186},{""page_index"":2,""viewing_time"":433.80000001192093},{""page_index"":3,""viewing_time"":464.2999999821186},{""page_index"":4,""viewing_time"":441.90000000596046},{""page_index"":5,""viewing_time"":424.2000000178814},{""page_index"":6,""viewing_time"":1141.199999988079}]","4389.200000017881","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","114738","0.0-2.0-1.1-1.1-0.1","5ef16261c970f4526c7695eb","E1","batch5","","745.5","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","116768","0.0-2.0-1.1-1.1-1.1","5ef16261c970f4526c7695eb","E1","batch5","","2027.3999999761581","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","117657","0.0-2.0-1.1-1.1-2.1","5ef16261c970f4526c7695eb","E1","batch5","","887.5999999940395","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","124369","0.0-2.0-1.1-1.1-3.1","5ef16261c970f4526c7695eb","E1","batch5","","6709.5","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","125040","0.0-2.0-1.1-1.1-4.1","5ef16261c970f4526c7695eb","E1","batch5","","667.1999999880791","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","126228","0.0-2.0-2.0","5ef16261c970f4526c7695eb","E1","batch5","","1186.2000000178814","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","129082","0.0-2.0-3.0-0.0","5ef16261c970f4526c7695eb","E1","batch5","","2850","tol_practice","","","","tol_peg_2","2850","2850","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2850","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","130360","0.0-2.0-3.0-1.0","5ef16261c970f4526c7695eb","E1","batch5","","1275","tol_practice","","","","tol_peg_3","1275","1275","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1275","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","19","131367","0.0-2.0-4.0","5ef16261c970f4526c7695eb","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","20","134240","0.0-2.0-5.0-0.0","5ef16261c970f4526c7695eb","E1","batch5","","2871","tol_practice","","","","tol_peg_1","2871","2871","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","2871","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","136808","0.0-2.0-5.0-1.0","5ef16261c970f4526c7695eb","E1","batch5","","2566","tol_practice","","","","tol_peg_3","2566","2566","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","2566","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","22","137587","0.0-2.0-5.1-0.1","5ef16261c970f4526c7695eb","E1","batch5","","777","tol_practice","","","","tol_peg_1","777","777","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","777","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","23","139044","0.0-2.0-5.1-1.1","5ef16261c970f4526c7695eb","E1","batch5","","1457","tol_practice","","","","tol_peg_2","1457","1457","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1457","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","24","140051","0.0-2.0-6.0","5ef16261c970f4526c7695eb","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","25","141576","0.0-2.0-7.0-0.0","5ef16261c970f4526c7695eb","E1","batch5","","1523","tol_practice","","","","tol_peg_2","1523","1523","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","1523","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","26","142362","0.0-2.0-7.0-1.0","5ef16261c970f4526c7695eb","E1","batch5","","785","tol_practice","","","","tol_peg_3","785","785","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","785","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","27","143298","0.0-2.0-7.1-0.1","5ef16261c970f4526c7695eb","E1","batch5","","935","tol_practice","","","","tol_peg_1","935","935","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","935","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","28","143942","0.0-2.0-7.1-1.1","5ef16261c970f4526c7695eb","E1","batch5","","642","tol_practice","","","","tol_peg_2","642","642","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","642","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","29","144951","0.0-2.0-8.0","5ef16261c970f4526c7695eb","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","30","150809","0.0-2.0-9.0","5ef16261c970f4526c7695eb","E1","batch5","","5856.5","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","31","159069","0.0-2.0-10.0-0.0","5ef16261c970f4526c7695eb","E1","batch5","","7252","tol_tohand","","","","tol_peg_1","7252","7252","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","32","164988","0.0-2.0-10.0-1.0","5ef16261c970f4526c7695eb","E1","batch5","","5917","tol_toboard","","","","tol_peg_2","5917","5917","0","[[1,0,0],[3,2],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","33","165817","0.0-2.0-10.1-0.1","5ef16261c970f4526c7695eb","E1","batch5","","828","tol_tohand","","","","tol_peg_1","828","828","0","[[0,0,0],[3,2],[0]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","34","167140","0.0-2.0-10.1-1.1","5ef16261c970f4526c7695eb","E1","batch5","","1321","tol_toboard","","","","tol_peg_1","1321","1321","0","[[1,0,0],[3,2],[0]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","35","169209","0.0-2.0-10.2-0.2","5ef16261c970f4526c7695eb","E1","batch5","","2068","tol_tohand","","","","tol_peg_2","2068","2068","0","[[1,0,0],[3,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","36","171185","0.0-2.0-10.2-1.2","5ef16261c970f4526c7695eb","E1","batch5","","1975","tol_toboard","","","","tol_peg_3","1975","1975","0","[[1,0,0],[3,0],[2]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","37","172165","0.0-2.0-10.3-0.3","5ef16261c970f4526c7695eb","E1","batch5","","978","tol_tohand","","","","tol_peg_2","978","978","0","[[1,0,0],[0,0],[2]]","4","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","38","172853","0.0-2.0-10.3-1.3","5ef16261c970f4526c7695eb","E1","batch5","","687","tol_toboard","","","","tol_peg_1","687","687","0","[[1,3,0],[0,0],[2]]","4","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
