"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","5843","0.0-0.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","40778","0.0-1.0-0.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","43160","0.0-2.0-0.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","55349","0.0-2.0-1.0-0.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","[{""page_index"":0,""viewing_time"":9018.89999999851},{""page_index"":1,""viewing_time"":3167.5}]","12187.10000000149","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","56567","0.0-2.0-1.0-1.0-0.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","1214.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","59252","0.0-2.0-1.0-1.0-1.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","2682.10000000149","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","60180","0.0-2.0-1.0-1.0-2.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","925.1000000014901","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","63204","0.0-2.0-1.0-1.0-3.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","3021.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","63988","0.0-2.0-1.0-1.0-4.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","782.1000000014901","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","65241","0.0-2.0-2.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","1248.6999999955297","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","67461","0.0-2.0-3.0-0.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","2213.9000000059605","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","68483","0.0-2.0-3.0-1.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","69901","0.0-2.0-3.0-0.1","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","1416.6999999955297","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","70918","0.0-2.0-3.0-1.1","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","72079","0.0-2.0-3.0-0.2","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","1157.6000000014901","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","73100","0.0-2.0-3.0-1.2","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","74072","0.0-2.0-3.0-0.3","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","969.1999999955297","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","75083","0.0-2.0-3.0-1.3","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","76854","0.0-2.0-3.0-0.4","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","1768.8999999985099","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","77866","0.0-2.0-3.0-1.4","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","80599","0.0-2.0-4.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","2729.39999999851","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","81410","0.0-2.0-5.0-0.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","82829","0.0-2.0-5.0-1.0","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","1417.5","stim/no_15_1_w.png","j","pattern_response","true","j","pattern_03","1417.5","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","84149","0.0-2.0-5.0-0.1","5ef4b8cf1f15df0ae9c7a706","C3","batch3","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
