"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1147","0.0-0.0","5ef8e0fc2ce3c6644665e347","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","15573","0.0-1.0-0.0","5ef8e0fc2ce3c6644665e347","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20341","0.0-2.0-0.0","5ef8e0fc2ce3c6644665e347","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","47780","0.0-2.0-1.0-0.0","5ef8e0fc2ce3c6644665e347","A3","batch1","[{""page_index"":0,""viewing_time"":17684.89999999851},{""page_index"":1,""viewing_time"":9751.60000000149}]","27436.89999999851","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","48780","0.0-2.0-1.0-1.0-0.0","5ef8e0fc2ce3c6644665e347","A3","batch1","","998.5999999977648","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","55153","0.0-2.0-1.0-1.0-1.0","5ef8e0fc2ce3c6644665e347","A3","batch1","","6370.400000002235","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","57675","0.0-2.0-1.0-1.0-2.0","5ef8e0fc2ce3c6644665e347","A3","batch1","","2520.5","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","65875","0.0-2.0-1.0-1.0-3.0","5ef8e0fc2ce3c6644665e347","A3","batch1","","8198.400000002235","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","66455","0.0-2.0-1.0-1.0-4.0","5ef8e0fc2ce3c6644665e347","A3","batch1","","577.5","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","67991","0.0-2.0-2.0","5ef8e0fc2ce3c6644665e347","A3","batch1","","1533.5","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
