"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1958","0.0-0.0","5f2042752276432e3a7ef104","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9896","0.0-1.0-0.0","5f2042752276432e3a7ef104","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20199","0.0-2.0-0.0","5f2042752276432e3a7ef104","B2","batch2","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","31611","0.0-2.0-1.0","5f2042752276432e3a7ef104","B2","batch2","","11403.40000000596","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","32424","0.0-2.0-2.0-0.0","5f2042752276432e3a7ef104","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","42003","0.0-2.0-2.0-1.0","5f2042752276432e3a7ef104","B2","batch2","spm_respsonse","9530.90000000596","img/question_1_1.jpeg","3","mat_01","4","1","1","9530.90000000596","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","43064","0.0-2.0-2.0-0.1","5f2042752276432e3a7ef104","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","47089","0.0-2.0-2.0-1.1","5f2042752276432e3a7ef104","B2","batch2","spm_respsonse","4017.2999999821186","img/question_1_2.jpeg","4","mat_02","5","1","1","4017.2999999821186","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","48151","0.0-2.0-2.0-0.2","5f2042752276432e3a7ef104","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","53313","0.0-2.0-2.0-1.2","5f2042752276432e3a7ef104","B2","batch2","spm_respsonse","5153","img/question_1_3.jpeg","0","mat_03","1","1","1","5153","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","54376","0.0-2.0-2.0-0.3","5f2042752276432e3a7ef104","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","58674","0.0-2.0-2.0-1.3","5f2042752276432e3a7ef104","B2","batch2","spm_respsonse","4290.5","img/question_1_4.jpeg","1","mat_04","2","1","1","4290.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","59735","0.0-2.0-2.0-0.4","5f2042752276432e3a7ef104","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","63474","0.0-2.0-2.0-1.4","5f2042752276432e3a7ef104","B2","batch2","spm_respsonse","3729.699999988079","img/question_1_5.jpeg","5","mat_05","6","1","1","3729.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","64535","0.0-2.0-2.0-0.5","5f2042752276432e3a7ef104","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","69570","0.0-2.0-2.0-1.5","5f2042752276432e3a7ef104","B2","batch2","spm_respsonse","5025.699999988079","img/question_1_6.jpeg","2","mat_06","3","1","1","5025.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","70632","0.0-2.0-2.0-0.6","5f2042752276432e3a7ef104","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
