"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","3004","0.0-0.0","5f47f3b013fe2f2537aba6da","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9717","0.0-1.0-0.0","5f47f3b013fe2f2537aba6da","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12141","0.0-2.0-0.0","5f47f3b013fe2f2537aba6da","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","47049","0.0-2.0-1.0-0.0-0.0","5f47f3b013fe2f2537aba6da","F1","batch6","[{""page_index"":0,""viewing_time"":4447.199999928474},{""page_index"":1,""viewing_time"":5597.600000023842},{""page_index"":2,""viewing_time"":3853.600000023842},{""page_index"":3,""viewing_time"":9880.100000023842},{""page_index"":4,""viewing_time"":5030.099999904633},{""page_index"":5,""viewing_time"":4465.200000047684},{""page_index"":6,""viewing_time"":1630.7999999523163}]","34905","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","47881","0.0-2.0-1.0-1.0-0.0","5f47f3b013fe2f2537aba6da","F1","batch6","","829.7000000476837","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","49939","0.0-2.0-1.0-1.0-1.0","5f47f3b013fe2f2537aba6da","F1","batch6","","2056.1999999284744","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","50841","0.0-2.0-1.0-1.0-2.0","5f47f3b013fe2f2537aba6da","F1","batch6","","900.5","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","53256","0.0-2.0-1.0-1.0-3.0","5f47f3b013fe2f2537aba6da","F1","batch6","","2412.399999976158","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","53778","0.0-2.0-1.0-1.0-4.0","5f47f3b013fe2f2537aba6da","F1","batch6","","520.8999999761581","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","55529","0.0-2.0-2.0","5f47f3b013fe2f2537aba6da","F1","batch6","","1748.2000000476837","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","56735","0.0-2.0-3.0-0.0","5f47f3b013fe2f2537aba6da","F1","batch6","","1203","tol_practice","","","","tol_peg_2","1203","1203","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1203","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","58173","0.0-2.0-3.0-1.0","5f47f3b013fe2f2537aba6da","F1","batch6","","1437","tol_practice","","","","tol_peg_3","1437","1437","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1437","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","59184","0.0-2.0-4.0","5f47f3b013fe2f2537aba6da","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","62581","0.0-2.0-5.0-0.0","5f47f3b013fe2f2537aba6da","F1","batch6","","3395","tol_practice","","","","tol_peg_1","3395","3395","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3395","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","63328","0.0-2.0-5.0-1.0","5f47f3b013fe2f2537aba6da","F1","batch6","","746","tol_practice","","","","tol_peg_3","746","746","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","746","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","63993","0.0-2.0-5.1-0.1","5f47f3b013fe2f2537aba6da","F1","batch6","","663","tol_practice","","","","tol_peg_1","663","663","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","663","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","64436","0.0-2.0-5.1-1.1","5f47f3b013fe2f2537aba6da","F1","batch6","","442","tol_practice","","","","tol_peg_2","442","442","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","442","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","65447","0.0-2.0-6.0","5f47f3b013fe2f2537aba6da","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","67065","0.0-2.0-7.0-0.0","5f47f3b013fe2f2537aba6da","F1","batch6","","1618","tol_practice","","","","tol_peg_2","1618","1618","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","1618","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","67911","0.0-2.0-7.0-1.0","5f47f3b013fe2f2537aba6da","F1","batch6","","845","tol_practice","","","","tol_peg_3","845","845","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","845","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","68657","0.0-2.0-7.1-0.1","5f47f3b013fe2f2537aba6da","F1","batch6","","745","tol_practice","","","","tol_peg_1","745","745","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","745","","","","","","","","","","","","","","",""
