"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","655","0.0-0.0","5f489766dbc4a2364c0f4f93","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","12198","0.0-1.0-0.0","5f489766dbc4a2364c0f4f93","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16441","0.0-2.0-0.0","5f489766dbc4a2364c0f4f93","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","37420","0.0-2.0-1.0-0.0","5f489766dbc4a2364c0f4f93","B2","batch2","[{""page_index"":0,""viewing_time"":12761},{""page_index"":1,""viewing_time"":8216.70000000298}]","20977.79999999702","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","39387","0.0-2.0-1.0-1.0-0.0","5f489766dbc4a2364c0f4f93","B2","batch2","","1966.2000000029802","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","44795","0.0-2.0-1.0-1.0-1.0","5f489766dbc4a2364c0f4f93","B2","batch2","","5407.5","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","47627","0.0-2.0-1.0-1.0-2.0","5f489766dbc4a2364c0f4f93","B2","batch2","","2831","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","51739","0.0-2.0-1.0-1.0-3.0","5f489766dbc4a2364c0f4f93","B2","batch2","","4111.399999991059","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","52867","0.0-2.0-1.0-1.0-4.0","5f489766dbc4a2364c0f4f93","B2","batch2","","1127.2000000029802","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","55347","0.0-2.0-1.0-2.0-0.0","5f489766dbc4a2364c0f4f93","B2","batch2","","2479.2000000029802","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","63522","0.0-2.0-1.1-0.1","5f489766dbc4a2364c0f4f93","B2","batch2","[{""page_index"":0,""viewing_time"":6286.29999999702},{""page_index"":1,""viewing_time"":1888.2000000029802}]","8174.5999999940395","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","64859","0.0-2.0-1.1-1.1-0.1","5f489766dbc4a2364c0f4f93","B2","batch2","","1335.7999999970198","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","67427","0.0-2.0-1.1-1.1-1.1","5f489766dbc4a2364c0f4f93","B2","batch2","","2567.7000000029802","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","69011","0.0-2.0-1.1-1.1-2.1","5f489766dbc4a2364c0f4f93","B2","batch2","","1583.2000000029802","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","71746","0.0-2.0-1.1-1.1-3.1","5f489766dbc4a2364c0f4f93","B2","batch2","","2734.3999999910593","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","72771","0.0-2.0-1.1-1.1-4.1","5f489766dbc4a2364c0f4f93","B2","batch2","","1024.2000000029802","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","74946","0.0-2.0-2.0","5f489766dbc4a2364c0f4f93","B2","batch2","","2174.3999999910593","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","17","79077","0.0-2.0-3.0-0.0","5f489766dbc4a2364c0f4f93","B2","batch2","","4128.5","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","80081","0.0-2.0-3.0-1.0","5f489766dbc4a2364c0f4f93","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
