"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","7034","0.0-0.0","5f4d5f9f835880a2aca8b996","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","25047","0.0-1.0-0.0","5f4d5f9f835880a2aca8b996","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","29325","0.0-2.0-0.0","5f4d5f9f835880a2aca8b996","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","142303","0.0-2.0-1.0-0.0-0.0","5f4d5f9f835880a2aca8b996","C3","batch3","[{""page_index"":0,""viewing_time"":26864},{""page_index"":1,""viewing_time"":14044},{""page_index"":2,""viewing_time"":12894.199999809265},{""page_index"":3,""viewing_time"":20601.900000095367},{""page_index"":4,""viewing_time"":18901.200000286102},{""page_index"":5,""viewing_time"":14930},{""page_index"":6,""viewing_time"":4740.099999904633}]","112975.69999980927","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","143155","0.0-2.0-1.0-1.0-0.0","5f4d5f9f835880a2aca8b996","C3","batch3","","850.8000001907349","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","149169","0.0-2.0-1.0-1.0-1.0","5f4d5f9f835880a2aca8b996","C3","batch3","","6012.900000095367","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","151695","0.0-2.0-1.0-1.0-2.0","5f4d5f9f835880a2aca8b996","C3","batch3","","2524.699999809265","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","156325","0.0-2.0-1.0-1.0-3.0","5f4d5f9f835880a2aca8b996","C3","batch3","","4628.800000190735","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","157075","0.0-2.0-1.0-1.0-4.0","5f4d5f9f835880a2aca8b996","C3","batch3","","749.2000002861023","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","158421","0.0-2.0-2.0","5f4d5f9f835880a2aca8b996","C3","batch3","","1345.1999998092651","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","163156","0.0-2.0-3.0-0.0","5f4d5f9f835880a2aca8b996","C3","batch3","","4733","tol_practice","","","","tol_peg_2","4733","4733","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4733","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","165857","0.0-2.0-3.0-1.0","5f4d5f9f835880a2aca8b996","C3","batch3","","2701","tol_practice","","","","tol_peg_3","2701","2701","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","2701","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","166880","0.0-2.0-4.0","5f4d5f9f835880a2aca8b996","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","171121","0.0-2.0-5.0-0.0","5f4d5f9f835880a2aca8b996","C3","batch3","","4240","tol_practice","","","","tol_peg_1","4240","4240","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","4240","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","172645","0.0-2.0-5.0-1.0","5f4d5f9f835880a2aca8b996","C3","batch3","","1523","tol_practice","","","","tol_peg_3","1523","1523","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1523","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","187239","0.0-2.0-5.1-0.1","5f4d5f9f835880a2aca8b996","C3","batch3","","14593","tol_practice","","","","tol_peg_3","14593","14593","0","[[1,0,0],[3,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","14593","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","188202","0.0-2.0-5.1-1.1","5f4d5f9f835880a2aca8b996","C3","batch3","","962","tol_practice","","","","tol_peg_1","962","962","0","[[1,2,0],[3,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","962","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","189115","0.0-2.0-5.2-0.2","5f4d5f9f835880a2aca8b996","C3","batch3","","913","tol_practice","","","","tol_peg_2","913","913","0","[[1,2,0],[0,0],[0]]","4","[[0,0,0],[3,1],[2]]","practice","913","","","","","","","","","","","","","","",""
