"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","41","0.0-0.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2824","0.0-1.0-0.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","5005","0.0-2.0-0.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","12545","0.0-2.0-1.0-0.0-0.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","[{""page_index"":0,""viewing_time"":1433},{""page_index"":1,""viewing_time"":983},{""page_index"":2,""viewing_time"":1449},{""page_index"":3,""viewing_time"":800},{""page_index"":4,""viewing_time"":825},{""page_index"":5,""viewing_time"":949.0000000000018},{""page_index"":6,""viewing_time"":1097.9999999999982}]","7537","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","13506","0.0-2.0-1.0-1.0-0.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","958","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","15981","0.0-2.0-1.0-1.0-1.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","2472.999999999998","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","17114","0.0-2.0-1.0-1.0-2.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","1128.9999999999982","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","18031","0.0-2.0-1.0-1.0-3.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","915","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","18991","0.0-2.0-1.0-1.0-4.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","957","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","21095","0.0-2.0-2.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","2101.0000000000036","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","23755","0.0-2.0-3.0-0.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","2653","tol_practice","","","","tol_peg_2","2653","2653","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2653","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","24571","0.0-2.0-3.0-1.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","812","tol_practice","","","","tol_peg_3","812","812","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","812","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","25578","0.0-2.0-4.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","28966","0.0-2.0-5.0-0.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","3385","tol_practice","","","","tol_peg_1","3385","3385","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3385","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","29705","0.0-2.0-5.0-1.0","5f4dfdb3a7461bad5d3dd157","C3","batch3","","735","tol_practice","","","","tol_peg_3","735","735","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","735","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","31822","0.0-2.0-5.1-0.1","5f4dfdb3a7461bad5d3dd157","C3","batch3","","2114","tol_practice","","","","tol_peg_1","2114","2114","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","2114","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","32682","0.0-2.0-5.1-1.1","5f4dfdb3a7461bad5d3dd157","C3","batch3","","857","tol_practice","","","","tol_peg_2","857","857","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","857","","","","","","","","","","","","","","",""
