"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","846","0.0-0.0","5f4fe4f1af0392121538a250","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8353","0.0-1.0-0.0","5f4fe4f1af0392121538a250","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12080","0.0-2.0-0.0","5f4fe4f1af0392121538a250","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","25750","0.0-2.0-1.0-0.0","5f4fe4f1af0392121538a250","A3","batch1","[{""page_index"":0,""viewing_time"":7898},{""page_index"":1,""viewing_time"":1078.1999998092651},{""page_index"":0,""viewing_time"":841.5},{""page_index"":1,""viewing_time"":3850.800000190735}]","13668.699999809265","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","26894","0.0-2.0-1.0-1.0-0.0","5f4fe4f1af0392121538a250","A3","batch1","","1143.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","28862","0.0-2.0-1.0-1.0-1.0","5f4fe4f1af0392121538a250","A3","batch1","","1966.3000001907349","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","29526","0.0-2.0-1.0-1.0-2.0","5f4fe4f1af0392121538a250","A3","batch1","","663.6999998092651","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","31839","0.0-2.0-1.0-1.0-3.0","5f4fe4f1af0392121538a250","A3","batch1","","2311.7999997138977","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","32440","0.0-2.0-1.0-1.0-4.0","5f4fe4f1af0392121538a250","A3","batch1","","600.3000001907349","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","33696","0.0-2.0-2.0","5f4fe4f1af0392121538a250","A3","batch1","","1255","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","35399","0.0-2.0-3.0-0.0","5f4fe4f1af0392121538a250","A3","batch1","","1699.7000002861023","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","36401","0.0-2.0-3.0-1.0","5f4fe4f1af0392121538a250","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","38836","0.0-2.0-3.0-0.1","5f4fe4f1af0392121538a250","A3","batch1","","2434.5","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","39845","0.0-2.0-3.0-1.1","5f4fe4f1af0392121538a250","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","40813","0.0-2.0-3.0-0.2","5f4fe4f1af0392121538a250","A3","batch1","","967.3000001907349","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","41821","0.0-2.0-3.0-1.2","5f4fe4f1af0392121538a250","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","42896","0.0-2.0-3.0-0.3","5f4fe4f1af0392121538a250","A3","batch1","","1074.0999999046326","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","43899","0.0-2.0-3.0-1.3","5f4fe4f1af0392121538a250","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","45826","0.0-2.0-3.0-0.4","5f4fe4f1af0392121538a250","A3","batch1","","1926.8000001907349","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","46829","0.0-2.0-3.0-1.4","5f4fe4f1af0392121538a250","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","48812","0.0-2.0-4.0","5f4fe4f1af0392121538a250","A3","batch1","","1981.9000000953674","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","49618","0.0-2.0-5.0-0.0","5f4fe4f1af0392121538a250","A3","batch1","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","57489","0.0-2.0-5.0-1.0","5f4fe4f1af0392121538a250","A3","batch1","","7869.599999904633","stim/no_51_1.png","j","pattern_response","true","j","pattern_31","7869.599999904633","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","58790","0.0-2.0-5.0-0.1","5f4fe4f1af0392121538a250","A3","batch1","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","59753","0.0-2.0-5.0-1.1","5f4fe4f1af0392121538a250","A3","batch1","","961.0999999046326","stim/yes_44_ver_w1_w.png","f","pattern_response","true","f","pattern_66","961.0999999046326","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","61054","0.0-2.0-5.0-0.2","5f4fe4f1af0392121538a250","A3","batch1","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","62563","0.0-2.0-5.0-1.2","5f4fe4f1af0392121538a250","A3","batch1","","1508","stim/yes_49_hor_w1_b.png","f","pattern_response","true","f","pattern_70","1508","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","63865","0.0-2.0-5.0-0.3","5f4fe4f1af0392121538a250","A3","batch1","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","65622","0.0-2.0-5.0-1.3","5f4fe4f1af0392121538a250","A3","batch1","","1755.7999997138977","stim/no_15_1_w.png","j","pattern_response","true","j","pattern_03","1755.7999997138977","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","66924","0.0-2.0-5.0-0.4","5f4fe4f1af0392121538a250","A3","batch1","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","69679","0.0-2.0-5.0-1.4","5f4fe4f1af0392121538a250","A3","batch1","","2753.9000000953674","stim/no_25_1_b.png","j","pattern_response","true","j","pattern_09","2753.9000000953674","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","70980","0.0-2.0-5.0-0.5","5f4fe4f1af0392121538a250","A3","batch1","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","72044","0.0-2.0-5.0-1.5","5f4fe4f1af0392121538a250","A3","batch1","","1062.8999996185303","stim/yes_17_ver_b1_b.png","f","pattern_response","true","f","pattern_46","1062.8999996185303","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","73348","0.0-2.0-5.0-0.6","5f4fe4f1af0392121538a250","A3","batch1","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","78571","0.0-2.0-5.0-1.6","5f4fe4f1af0392121538a250","A3","batch1","","5222.200000286102","stim/no_53_1_b.png","j","pattern_response","true","j","pattern_33","5222.200000286102","true","7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","79872","0.0-2.0-5.0-0.7","5f4fe4f1af0392121538a250","A3","batch1","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","83096","0.0-2.0-5.0-1.7","5f4fe4f1af0392121538a250","A3","batch1","","3222.9000000953674","stim/no_33_1_b.png","j","pattern_response","true","j","pattern_15","3222.9000000953674","true","8","","","","","","","","","","","","","","","","","","",""
