"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","3048","0.0-0.0","5f5aa60bef062519ff711fe6","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","28625","0.0-1.0-0.0","5f5aa60bef062519ff711fe6","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","35076","0.0-2.0-0.0","5f5aa60bef062519ff711fe6","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","132660","0.0-2.0-1.0-0.0","5f5aa60bef062519ff711fe6","A3","batch1","[{""page_index"":0,""viewing_time"":81982.30000001192},{""page_index"":1,""viewing_time"":15600.59999999404}]","97583","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","134261","0.0-2.0-1.0-1.0-0.0","5f5aa60bef062519ff711fe6","A3","batch1","","1600.7000000178814","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","137590","0.0-2.0-1.0-1.0-1.0","5f5aa60bef062519ff711fe6","A3","batch1","","3328.5","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","139223","0.0-2.0-1.0-1.0-2.0","5f5aa60bef062519ff711fe6","A3","batch1","","1631.300000011921","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","145558","0.0-2.0-1.0-1.0-3.0","5f5aa60bef062519ff711fe6","A3","batch1","","6335.199999988079","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","146473","0.0-2.0-1.0-1.0-4.0","5f5aa60bef062519ff711fe6","A3","batch1","","914.5","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","150248","0.0-2.0-2.0","5f5aa60bef062519ff711fe6","A3","batch1","","3773.4000000059605","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","151913","0.0-2.0-3.0-0.0","5f5aa60bef062519ff711fe6","A3","batch1","","1662.699999988079","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
