"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","802","0.0-0.0","5f7058deeb83ab60bb836eae","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8479","0.0-1.0-0.0","5f7058deeb83ab60bb836eae","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","11597","0.0-2.0-0.0","5f7058deeb83ab60bb836eae","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","51272","0.0-2.0-1.0-0.0-0.0","5f7058deeb83ab60bb836eae","F1","batch6","[{""page_index"":0,""viewing_time"":5226.29999999702},{""page_index"":1,""viewing_time"":2616.800000011921},{""page_index"":2,""viewing_time"":4549.29999999702},{""page_index"":3,""viewing_time"":6283.0999999940395},{""page_index"":4,""viewing_time"":2366.9000000059605},{""page_index"":5,""viewing_time"":15633.39999999106},{""page_index"":6,""viewing_time"":2999.4000000059605}]","39675.29999999702","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","53106","0.0-2.0-1.0-1.0-0.0","5f7058deeb83ab60bb836eae","F1","batch6","","1833","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","59138","0.0-2.0-1.0-1.0-1.0","5f7058deeb83ab60bb836eae","F1","batch6","","6031.20000000298","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","59971","0.0-2.0-1.0-1.0-2.0","5f7058deeb83ab60bb836eae","F1","batch6","","832.2000000029802","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","61721","0.0-2.0-1.0-1.0-3.0","5f7058deeb83ab60bb836eae","F1","batch6","","1749.2000000029802","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","62238","0.0-2.0-1.0-1.0-4.0","5f7058deeb83ab60bb836eae","F1","batch6","","516.2999999970198","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","81670","0.0-2.0-2.0","5f7058deeb83ab60bb836eae","F1","batch6","","19431.20000000298","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
