"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","58778","0.0-0.0","5f88877885e51d02acd71b12","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","89395","0.0-1.0-0.0","5f88877885e51d02acd71b12","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","98641","0.0-2.0-0.0","5f88877885e51d02acd71b12","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","111702","0.0-2.0-1.0","5f88877885e51d02acd71b12","D2","batch4","","13045.5","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","112516","0.0-2.0-2.0-0.0","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","126132","0.0-2.0-2.0-1.0","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","13537.099999964237","img/question_1_1.jpeg","5","mat_01","4","0","0","13537.099999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","127203","0.0-2.0-2.0-0.1","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","133044","0.0-2.0-2.0-1.1","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","5825.199999988079","img/question_1_2.jpeg","4","mat_02","5","1","1","5825.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","134105","0.0-2.0-2.0-0.2","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","142637","0.0-2.0-2.0-1.2","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","8514.5","img/question_1_3.jpeg","3","mat_03","1","0","0","8514.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","143705","0.0-2.0-2.0-0.3","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","148483","0.0-2.0-2.0-1.3","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","4758.5","img/question_1_4.jpeg","1","mat_04","2","1","1","4758.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","149545","0.0-2.0-2.0-0.4","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","157233","0.0-2.0-2.0-1.4","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","7669.700000047684","img/question_1_5.jpeg","5","mat_05","6","1","1","7669.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","158297","0.0-2.0-2.0-0.5","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","162829","0.0-2.0-2.0-1.5","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","4514.5","img/question_1_6.jpeg","2","mat_06","3","1","1","4514.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","163897","0.0-2.0-2.0-0.6","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","174974","0.0-2.0-2.0-1.6","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","11057.300000011921","img/question_1_7.jpeg","5","mat_07","6","1","1","11057.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","176041","0.0-2.0-2.0-0.7","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","190653","0.0-2.0-2.0-1.7","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","14591.300000011921","img/question_1_8.jpeg","1","mat_08","2","1","1","14591.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","191716","0.0-2.0-2.0-0.8","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","205130","0.0-2.0-2.0-1.8","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","13396.899999976158","img/question_1_9.jpeg","0","mat_09","1","1","1","13396.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","206194","0.0-2.0-2.0-0.9","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","234136","0.0-2.0-2.0-1.9","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","27922.600000023842","img/question_1_10.jpeg","4","mat_10","3","0","0","27922.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","235201","0.0-2.0-2.0-0.10","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","268422","0.0-2.0-2.0-1.10","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","33200","img/question_1_11.jpeg","3","mat_11","4","1","1","33200","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","269489","0.0-2.0-2.0-0.11","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","288550","0.0-2.0-2.0-1.11","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","19041.100000023842","img/question_1_12.jpeg","5","mat_12","5","0","0","19041.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","289618","0.0-2.0-2.0-0.12","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","294294","0.0-2.0-2.0-1.12","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","4656.099999964237","img/question_2_1.jpeg","1","mat_13","2","1","1","4656.099999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","295362","0.0-2.0-2.0-0.13","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","303624","0.0-2.0-2.0-1.13","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","8238.5","img/question_2_2.jpeg","5","mat_14","6","1","1","8238.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","304689","0.0-2.0-2.0-0.14","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","309681","0.0-2.0-2.0-1.14","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","4975.700000047684","img/question_2_3.jpeg","0","mat_15","1","1","1","4975.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","310749","0.0-2.0-2.0-0.15","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","323758","0.0-2.0-2.0-1.15","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","12989.099999964237","img/question_2_4.jpeg","1","mat_16","2","1","1","12989.099999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","324826","0.0-2.0-2.0-0.16","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","335557","0.0-2.0-2.0-1.16","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","10712.100000023842","img/question_2_5.jpeg","0","mat_17","1","1","1","10712.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","336625","0.0-2.0-2.0-0.17","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","359862","0.0-2.0-2.0-1.17","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","23221.200000047684","img/question_2_6.jpeg","2","mat_18","3","1","1","23221.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","360938","0.0-2.0-2.0-0.18","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","372660","0.0-2.0-2.0-1.18","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","11696.099999964237","img/question_2_7.jpeg","4","mat_19","5","1","1","11696.099999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","373721","0.0-2.0-2.0-0.19","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","399560","0.0-2.0-2.0-1.19","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","25818.100000023842","img/question_2_8.jpeg","5","mat_20","6","1","1","25818.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","400625","0.0-2.0-2.0-0.20","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","406981","0.0-2.0-2.0-1.20","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","6336.300000011921","img/question_2_9.jpeg","3","mat_21","4","1","1","6336.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","408049","0.0-2.0-2.0-0.21","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","424159","0.0-2.0-2.0-1.21","5f88877885e51d02acd71b12","D2","batch4","spm_respsonse","16092","img/question_2_10.jpeg","2","mat_22","3","1","1","16092","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","425225","0.0-2.0-2.0-0.22","5f88877885e51d02acd71b12","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
