"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","4689","0.0-0.0","5f96301839be85178cb37e0a","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","14285","0.0-1.0-0.0","5f96301839be85178cb37e0a","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","19978","0.0-2.0-0.0","5f96301839be85178cb37e0a","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","107661","0.0-2.0-1.0-0.0-0.0","5f96301839be85178cb37e0a","D2","batch4","[{""page_index"":0,""viewing_time"":16141.899999976158},{""page_index"":1,""viewing_time"":2060.2999999523163},{""page_index"":2,""viewing_time"":7368.700000047684},{""page_index"":3,""viewing_time"":17036.799999952316},{""page_index"":4,""viewing_time"":9369.5},{""page_index"":5,""viewing_time"":30112.800000071526},{""page_index"":6,""viewing_time"":5590.600000023842}]","87681.19999992847","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","109268","0.0-2.0-1.0-1.0-0.0","5f96301839be85178cb37e0a","D2","batch4","","1604.6999999284744","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","117983","0.0-2.0-1.0-1.0-1.0","5f96301839be85178cb37e0a","D2","batch4","","8713","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","120112","0.0-2.0-1.0-1.0-2.0","5f96301839be85178cb37e0a","D2","batch4","","2127.100000023842","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","123518","0.0-2.0-1.0-1.0-3.0","5f96301839be85178cb37e0a","D2","batch4","","3404.5999999046326","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","124951","0.0-2.0-1.0-1.0-4.0","5f96301839be85178cb37e0a","D2","batch4","","1431","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","127504","0.0-2.0-2.0","5f96301839be85178cb37e0a","D2","batch4","","2549.4000000953674","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","130334","0.0-2.0-3.0-0.0","5f96301839be85178cb37e0a","D2","batch4","","2827","tol_practice","","","","tol_peg_2","2827","2827","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2827","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","135521","0.0-2.0-3.0-1.0","5f96301839be85178cb37e0a","D2","batch4","","5184","tol_practice","","","","tol_peg_3","5184","5184","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","5184","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","136531","0.0-2.0-4.0","5f96301839be85178cb37e0a","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","147748","0.0-2.0-5.0-0.0","5f96301839be85178cb37e0a","D2","batch4","","11217","tol_practice","","","","tol_peg_1","11217","11217","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","11217","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","149987","0.0-2.0-5.0-1.0","5f96301839be85178cb37e0a","D2","batch4","","2238","tol_practice","","","","tol_peg_3","2238","2238","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","2238","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","152100","0.0-2.0-5.1-0.1","5f96301839be85178cb37e0a","D2","batch4","","2110","tol_practice","","","","tol_peg_1","2110","2110","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","2110","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","154698","0.0-2.0-5.1-1.1","5f96301839be85178cb37e0a","D2","batch4","","2597","tol_practice","","","","tol_peg_2","2597","2597","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","2597","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","155714","0.0-2.0-6.0","5f96301839be85178cb37e0a","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","161281","0.0-2.0-7.0-0.0","5f96301839be85178cb37e0a","D2","batch4","","5566","tol_practice","","","","tol_peg_2","5566","5566","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","5566","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","164916","0.0-2.0-7.0-1.0","5f96301839be85178cb37e0a","D2","batch4","","3633","tol_practice","","","","tol_peg_3","3633","3633","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","3633","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","167406","0.0-2.0-7.1-0.1","5f96301839be85178cb37e0a","D2","batch4","","2489","tol_practice","","","","tol_peg_1","2489","2489","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","2489","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","168817","0.0-2.0-7.1-1.1","5f96301839be85178cb37e0a","D2","batch4","","1410","tol_practice","","","","tol_peg_2","1410","1410","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1410","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","169825","0.0-2.0-8.0","5f96301839be85178cb37e0a","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","174672","0.0-2.0-9.0","5f96301839be85178cb37e0a","D2","batch4","","4845.600000023842","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","181961","0.0-2.0-10.0-0.0","5f96301839be85178cb37e0a","D2","batch4","","6283","tol_tohand","","","","tol_peg_1","6283","6283","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","183708","0.0-2.0-10.0-1.0","5f96301839be85178cb37e0a","D2","batch4","","1746","tol_toboard","","","","tol_peg_3","1746","1746","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","186447","0.0-2.0-10.1-0.1","5f96301839be85178cb37e0a","D2","batch4","","2738","tol_tohand","","","","tol_peg_2","2738","2738","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","188231","0.0-2.0-10.1-1.1","5f96301839be85178cb37e0a","D2","batch4","","1783","tol_toboard","","","","tol_peg_1","1783","1783","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","190262","0.0-2.0-10.2-0.2","5f96301839be85178cb37e0a","D2","batch4","","2030","tol_tohand","","","","tol_peg_3","2030","2030","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","191851","0.0-2.0-10.2-1.2","5f96301839be85178cb37e0a","D2","batch4","","1588","tol_toboard","","","","tol_peg_2","1588","1588","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","192853","0.0-2.0-11.0","5f96301839be85178cb37e0a","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","6283","11051","","","","","","","","","",""
"","","","","","html-button-response","31","194978","0.0-2.0-12.0","5f96301839be85178cb37e0a","D2","batch4","","2123.8000000715256","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","207951","0.0-2.0-13.0-0.0","5f96301839be85178cb37e0a","D2","batch4","","12972","tol_tohand","","","","tol_peg_1","12972","12972","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","210071","0.0-2.0-13.0-1.0","5f96301839be85178cb37e0a","D2","batch4","","2119","tol_toboard","","","","tol_peg_3","2119","2119","0","[[1,0,0],[3,0],[2]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
