"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","6283","0.0-0.0","5fb69cacddba6408f81a9564","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","112373","0.0-1.0-0.0","5fb69cacddba6408f81a9564","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","116103","0.0-2.0-0.0","5fb69cacddba6408f81a9564","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","141079","0.0-2.0-1.0-0.0","5fb69cacddba6408f81a9564","E1","batch5","[{""page_index"":0,""viewing_time"":9937.90000000596},{""page_index"":1,""viewing_time"":15037.79999999702}]","24975.90000000596","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","143019","0.0-2.0-1.0-1.0-0.0","5fb69cacddba6408f81a9564","E1","batch5","","1939.6000000089407","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","149194","0.0-2.0-1.0-1.0-1.0","5fb69cacddba6408f81a9564","E1","batch5","","6174.4000000059605","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","151782","0.0-2.0-1.0-1.0-2.0","5fb69cacddba6408f81a9564","E1","batch5","","2585.5","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","157314","0.0-2.0-1.0-1.0-3.0","5fb69cacddba6408f81a9564","E1","batch5","","5531.4000000059605","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","158432","0.0-2.0-1.0-1.0-4.0","5fb69cacddba6408f81a9564","E1","batch5","","1117.1000000089407","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","160872","0.0-2.0-1.0-2.0-0.0","5fb69cacddba6408f81a9564","E1","batch5","","2438.300000011921","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
