"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2610","0.0-0.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","30079","0.0-1.0-0.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","37616","0.0-2.0-0.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","113278","0.0-2.0-1.0-0.0-0.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","[{""page_index"":0,""viewing_time"":12718.099999904633},{""page_index"":1,""viewing_time"":6248.200000047684},{""page_index"":2,""viewing_time"":3959.7000000476837},{""page_index"":3,""viewing_time"":11624.099999904633},{""page_index"":4,""viewing_time"":6399.900000095367},{""page_index"":5,""viewing_time"":30680.099999904633},{""page_index"":6,""viewing_time"":4031.9000000953674}]","75662.29999995232","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","114319","0.0-2.0-1.0-1.0-0.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","1039.3000000715256","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","119775","0.0-2.0-1.0-1.0-1.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","5455.199999928474","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","120975","0.0-2.0-1.0-1.0-2.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","1199","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","124303","0.0-2.0-1.0-1.0-3.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","3327.3000000715256","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","125239","0.0-2.0-1.0-1.0-4.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","935.4000000953674","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","127655","0.0-2.0-2.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","2415.100000023842","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","129831","0.0-2.0-3.0-0.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","2176","tol_practice","","","","tol_peg_2","2176","2176","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2176","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","130895","0.0-2.0-3.0-1.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","1062","tol_practice","","","","tol_peg_3","1062","1062","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1062","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","131898","0.0-2.0-4.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","135495","0.0-2.0-5.0-0.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","3596","tol_practice","","","","tol_peg_1","3596","3596","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3596","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","136583","0.0-2.0-5.0-1.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","1087","tol_practice","","","","tol_peg_3","1087","1087","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1087","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","141007","0.0-2.0-5.1-0.1","5fbe98e0e2bc9703bfd640d7","E1","batch5","","4424","tol_practice","","","","tol_peg_1","4424","4424","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","4424","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","141255","0.0-2.0-5.1-1.1","5fbe98e0e2bc9703bfd640d7","E1","batch5","","247","tol_practice","","","","tol_peg_1","247","247","0","[[1,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","247","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","141743","0.0-2.0-5.2-0.2","5fbe98e0e2bc9703bfd640d7","E1","batch5","","487","tol_practice","","","","tol_peg_1","487","487","0","[[0,0,0],[3,0],[2]]","4","[[0,0,0],[3,1],[2]]","practice","487","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","142191","0.0-2.0-5.2-1.2","5fbe98e0e2bc9703bfd640d7","E1","batch5","","448","tol_practice","","","","tol_peg_2","448","448","0","[[0,0,0],[3,1],[2]]","4","[[0,0,0],[3,1],[2]]","practice","448","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","19","143192","0.0-2.0-6.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","20","145759","0.0-2.0-7.0-0.0","5fbe98e0e2bc9703bfd640d7","E1","batch5","","2567","tol_practice","","","","tol_peg_2","2567","2567","0","[[1,2,0],[0,0],[0]]","5","[[1,0,0],[2,0],[3]]","practice","2567","","","","","","","","","","","","","","",""
