"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","4638","0.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","23321","0.0-1.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","26984","0.0-2.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","116650","0.0-2.0-1.0-0.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","[{""page_index"":0,""viewing_time"":13720.5},{""page_index"":1,""viewing_time"":10178.799999999988},{""page_index"":2,""viewing_time"":7317.900000000023},{""page_index"":3,""viewing_time"":15835.899999999965},{""page_index"":4,""viewing_time"":14658},{""page_index"":5,""viewing_time"":23620.5},{""page_index"":6,""viewing_time"":4328}]","89660.09999999998","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","118628","0.0-2.0-1.0-1.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","1977.5999999999767","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","126447","0.0-2.0-1.0-1.0-1.0","5fe146b36a3657bd99f9c179","D2","batch4","","7813.600000000035","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","128111","0.0-2.0-1.0-1.0-2.0","5fe146b36a3657bd99f9c179","D2","batch4","","1659.899999999965","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","132682","0.0-2.0-1.0-1.0-3.0","5fe146b36a3657bd99f9c179","D2","batch4","","4568.5","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","134194","0.0-2.0-1.0-1.0-4.0","5fe146b36a3657bd99f9c179","D2","batch4","","1510.100000000035","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","137763","0.0-2.0-2.0","5fe146b36a3657bd99f9c179","D2","batch4","","3566.1999999999534","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","141573","0.0-2.0-3.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","3804","tol_practice","","","","tol_peg_2","3804","3804","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3804","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","144172","0.0-2.0-3.0-1.0","5fe146b36a3657bd99f9c179","D2","batch4","","2595","tol_practice","","","","tol_peg_3","2595","2595","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","2595","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","145181","0.0-2.0-4.0","5fe146b36a3657bd99f9c179","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","151233","0.0-2.0-5.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","6050","tol_practice","","","","tol_peg_1","6050","6050","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","6050","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","152432","0.0-2.0-5.0-1.0","5fe146b36a3657bd99f9c179","D2","batch4","","1198","tol_practice","","","","tol_peg_3","1198","1198","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1198","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","152907","0.0-2.0-5.1-0.1","5fe146b36a3657bd99f9c179","D2","batch4","","471","tol_practice","","","","tol_peg_3","471","471","0","[[1,0,0],[3,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","471","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","153914","0.0-2.0-5.1-1.1","5fe146b36a3657bd99f9c179","D2","batch4","","1006","tol_practice","","","","tol_peg_3","1006","1006","0","[[1,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1006","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","156082","0.0-2.0-5.2-0.2","5fe146b36a3657bd99f9c179","D2","batch4","","2166","tol_practice","","","","tol_peg_1","2166","2166","0","[[0,0,0],[3,0],[2]]","4","[[0,0,0],[3,1],[2]]","practice","2166","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","157606","0.0-2.0-5.2-1.2","5fe146b36a3657bd99f9c179","D2","batch4","","1522","tol_practice","","","","tol_peg_2","1522","1522","0","[[0,0,0],[3,1],[2]]","4","[[0,0,0],[3,1],[2]]","practice","1522","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","19","158620","0.0-2.0-6.0","5fe146b36a3657bd99f9c179","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","20","162455","0.0-2.0-7.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","3833","tol_practice","","","","tol_peg_2","3833","3833","0","[[1,2,0],[0,0],[0]]","5","[[1,0,0],[2,0],[3]]","practice","3833","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","163934","0.0-2.0-7.0-1.0","5fe146b36a3657bd99f9c179","D2","batch4","","1477","tol_practice","","","","tol_peg_3","1477","1477","0","[[1,2,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1477","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","22","165552","0.0-2.0-7.1-0.1","5fe146b36a3657bd99f9c179","D2","batch4","","1614","tol_practice","","","","tol_peg_1","1614","1614","0","[[1,0,0],[0,0],[3]]","6","[[1,0,0],[2,0],[3]]","practice","1614","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","23","166875","0.0-2.0-7.1-1.1","5fe146b36a3657bd99f9c179","D2","batch4","","1321","tol_practice","","","","tol_peg_2","1321","1321","0","[[1,0,0],[2,0],[3]]","6","[[1,0,0],[2,0],[3]]","practice","1321","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","24","167883","0.0-2.0-8.0","5fe146b36a3657bd99f9c179","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","25","173019","0.0-2.0-9.0","5fe146b36a3657bd99f9c179","D2","batch4","","5132.599999999977","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","26","179712","0.0-2.0-10.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","5679","tol_tohand","","","","tol_peg_1","5679","5679","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","182277","0.0-2.0-10.0-1.0","5fe146b36a3657bd99f9c179","D2","batch4","","2561","tol_toboard","","","","tol_peg_3","2561","2561","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","183640","0.0-2.0-10.1-0.1","5fe146b36a3657bd99f9c179","D2","batch4","","1360","tol_tohand","","","","tol_peg_2","1360","1360","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","184955","0.0-2.0-10.1-1.1","5fe146b36a3657bd99f9c179","D2","batch4","","1314","tol_toboard","","","","tol_peg_1","1314","1314","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","30","186656","0.0-2.0-10.2-0.2","5fe146b36a3657bd99f9c179","D2","batch4","","1699","tol_tohand","","","","tol_peg_3","1699","1699","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","31","187794","0.0-2.0-10.2-1.2","5fe146b36a3657bd99f9c179","D2","batch4","","1136","tol_toboard","","","","tol_peg_2","1136","1136","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","32","188809","0.0-2.0-11.0","5fe146b36a3657bd99f9c179","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","5679","8738","","","","","","","","","",""
"","","","","","html-button-response","33","190762","0.0-2.0-12.0","5fe146b36a3657bd99f9c179","D2","batch4","","1951.0999999999767","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","34","198774","0.0-2.0-13.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","8009","tol_tohand","","","","tol_peg_1","8009","8009","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","216414","0.0-2.0-13.0-1.0","5fe146b36a3657bd99f9c179","D2","batch4","","17638","tol_toboard","","","","tol_peg_2","17638","17638","0","[[1,0,0],[3,2],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","218024","0.0-2.0-13.1-0.1","5fe146b36a3657bd99f9c179","D2","batch4","","1608","tol_tohand","","","","tol_peg_1","1608","1608","0","[[0,0,0],[3,2],[0]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","220108","0.0-2.0-13.1-1.1","5fe146b36a3657bd99f9c179","D2","batch4","","2082","tol_toboard","","","","tol_peg_3","2082","2082","0","[[0,0,0],[3,2],[1]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","221430","0.0-2.0-13.2-0.2","5fe146b36a3657bd99f9c179","D2","batch4","","1320","tol_tohand","","","","tol_peg_2","1320","1320","0","[[0,0,0],[3,0],[1]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","39","222771","0.0-2.0-13.2-1.2","5fe146b36a3657bd99f9c179","D2","batch4","","1339","tol_toboard","","","","tol_peg_1","1339","1339","0","[[2,0,0],[3,0],[1]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","40","224197","0.0-2.0-13.3-0.3","5fe146b36a3657bd99f9c179","D2","batch4","","1424","tol_tohand","","","","tol_peg_3","1424","1424","0","[[2,0,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","41","225629","0.0-2.0-13.3-1.3","5fe146b36a3657bd99f9c179","D2","batch4","","1431","tol_toboard","","","","tol_peg_1","1431","1431","0","[[2,1,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","42","226740","0.0-2.0-13.4-0.4","5fe146b36a3657bd99f9c179","D2","batch4","","1095","tol_tohand","","","","tol_peg_2","1095","1095","0","[[2,1,0],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","43","227896","0.0-2.0-13.4-1.4","5fe146b36a3657bd99f9c179","D2","batch4","","1155","tol_toboard","","","","tol_peg_1","1155","1155","0","[[2,1,3],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","poldrack-single-stim","44","228908","0.0-2.0-14.0","5fe146b36a3657bd99f9c179","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","8009","13456","","","","","","","","","",""
"","","","","","html-button-response","45","230500","0.0-2.0-15.0","5fe146b36a3657bd99f9c179","D2","batch4","","1589.9000000000233","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>3</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","46","240837","0.0-2.0-16.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","10335","tol_tohand","","","","tol_peg_1","10335","10335","0","[[2,0,0],[0,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","47","242943","0.0-2.0-16.0-1.0","5fe146b36a3657bd99f9c179","D2","batch4","","2104","tol_toboard","","","","tol_peg_2","2104","2104","0","[[2,0,0],[3,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","48","245296","0.0-2.0-16.1-0.1","5fe146b36a3657bd99f9c179","D2","batch4","","2352","tol_tohand","","","","tol_peg_1","2352","2352","0","[[0,0,0],[3,0],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","49","246554","0.0-2.0-16.1-1.1","5fe146b36a3657bd99f9c179","D2","batch4","","1258","tol_toboard","","","","tol_peg_2","1258","1258","0","[[0,0,0],[3,2],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","50","247621","0.0-2.0-16.2-0.2","5fe146b36a3657bd99f9c179","D2","batch4","","1065","tol_tohand","","","","tol_peg_3","1065","1065","0","[[0,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","51","249299","0.0-2.0-16.2-1.2","5fe146b36a3657bd99f9c179","D2","batch4","","1676","tol_toboard","","","","tol_peg_1","1676","1676","0","[[1,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","52","250824","0.0-2.0-16.3-0.3","5fe146b36a3657bd99f9c179","D2","batch4","","1522","tol_tohand","","","","tol_peg_2","1522","1522","0","[[1,0,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","53","251931","0.0-2.0-16.3-1.3","5fe146b36a3657bd99f9c179","D2","batch4","","1105","tol_toboard","","","","tol_peg_1","1105","1105","0","[[1,2,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","poldrack-single-stim","54","252949","0.0-2.0-17.0","5fe146b36a3657bd99f9c179","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","10335","15274","","","","","","","","","",""
"","","","","","html-button-response","55","254483","0.0-2.0-18.0","5fe146b36a3657bd99f9c179","D2","batch4","","1532.0999999999767","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>4</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","56","262611","0.0-2.0-19.0-0.0","5fe146b36a3657bd99f9c179","D2","batch4","","8126","tol_tohand","","","","tol_peg_2","8126","8126","0","[[3,0,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","57","263930","0.0-2.0-19.0-1.0","5fe146b36a3657bd99f9c179","D2","batch4","","1317","tol_toboard","","","","tol_peg_1","1317","1317","0","[[3,1,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","58","265273","0.0-2.0-19.1-0.1","5fe146b36a3657bd99f9c179","D2","batch4","","1343","tol_tohand","","","","tol_peg_2","1343","1343","0","[[3,1,0],[0,0],[0]]","2","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","59","267057","0.0-2.0-19.1-1.1","5fe146b36a3657bd99f9c179","D2","batch4","","1782","tol_toboard","","","","tol_peg_3","1782","1782","0","[[3,1,0],[0,0],[2]]","2","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","60","268210","0.0-2.0-19.2-0.2","5fe146b36a3657bd99f9c179","D2","batch4","","1153","tol_tohand","","","","tol_peg_1","1153","1153","0","[[3,0,0],[0,0],[2]]","3","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","61","269288","0.0-2.0-19.2-1.2","5fe146b36a3657bd99f9c179","D2","batch4","","1076","tol_toboard","","","","tol_peg_2","1076","1076","0","[[3,0,0],[1,0],[2]]","3","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
