"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","3321","0.0-0.0","6014213c77aab7396ca3e5a7","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","14873","0.0-1.0-0.0","6014213c77aab7396ca3e5a7","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","18224","0.0-2.0-0.0","6014213c77aab7396ca3e5a7","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","81898","0.0-2.0-1.0-0.0-0.0","6014213c77aab7396ca3e5a7","E1","batch5","[{""page_index"":0,""viewing_time"":11307.399999976158},{""page_index"":1,""viewing_time"":6864.899999976158},{""page_index"":2,""viewing_time"":10839.5},{""page_index"":3,""viewing_time"":9755.400000035763},{""page_index"":4,""viewing_time"":10875.199999988079},{""page_index"":5,""viewing_time"":10487.399999976158},{""page_index"":6,""viewing_time"":3540.600000023842}]","63671.39999997616","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","83282","0.0-2.0-1.0-1.0-0.0","6014213c77aab7396ca3e5a7","E1","batch5","","1377.800000011921","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","90562","0.0-2.0-1.0-1.0-1.0","6014213c77aab7396ca3e5a7","E1","batch5","","7273.600000023842","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","92249","0.0-2.0-1.0-1.0-2.0","6014213c77aab7396ca3e5a7","E1","batch5","","1681.800000011921","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","97476","0.0-2.0-1.0-1.0-3.0","6014213c77aab7396ca3e5a7","E1","batch5","","5223.299999952316","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","98451","0.0-2.0-1.0-1.0-4.0","6014213c77aab7396ca3e5a7","E1","batch5","","968.7999999523163","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","99824","0.0-2.0-2.0","6014213c77aab7396ca3e5a7","E1","batch5","","1368.699999988079","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
