"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","5131","0.0-0.0","6015e67814eb10734088e51e","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","21586","0.0-1.0-0.0","6015e67814eb10734088e51e","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","24888","0.0-2.0-0.0","6015e67814eb10734088e51e","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","73394","0.0-2.0-1.0-0.0-0.0","6015e67814eb10734088e51e","F1","batch6","[{""page_index"":0,""viewing_time"":14047.399999976158},{""page_index"":1,""viewing_time"":7087.9000000059605},{""page_index"":2,""viewing_time"":3304.2000000178814},{""page_index"":3,""viewing_time"":6848.0999999940395},{""page_index"":4,""viewing_time"":5375.699999988079},{""page_index"":5,""viewing_time"":9096.09999999404},{""page_index"":6,""viewing_time"":2743.9000000059605}]","48503.5","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","74484","0.0-2.0-1.0-1.0-0.0","6015e67814eb10734088e51e","F1","batch6","","1088.5999999940395","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","77771","0.0-2.0-1.0-1.0-1.0","6015e67814eb10734088e51e","F1","batch6","","3285.2999999821186","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","79051","0.0-2.0-1.0-1.0-2.0","6015e67814eb10734088e51e","F1","batch6","","1277.7000000178814","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","81394","0.0-2.0-1.0-1.0-3.0","6015e67814eb10734088e51e","F1","batch6","","2342.5","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","82124","0.0-2.0-1.0-1.0-4.0","6015e67814eb10734088e51e","F1","batch6","","728.2999999821186","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","84675","0.0-2.0-2.0","6015e67814eb10734088e51e","F1","batch6","","2549.9000000059605","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","86605","0.0-2.0-3.0-0.0","6015e67814eb10734088e51e","F1","batch6","","1927","tol_practice","","","","tol_peg_2","1927","1927","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1927","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","88726","0.0-2.0-3.0-1.0","6015e67814eb10734088e51e","F1","batch6","","2118","tol_practice","","","","tol_peg_3","2118","2118","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","2118","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","89747","0.0-2.0-4.0","6015e67814eb10734088e51e","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","94315","0.0-2.0-5.0-0.0","6015e67814eb10734088e51e","F1","batch6","","4566","tol_practice","","","","tol_peg_1","4566","4566","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","4566","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","95076","0.0-2.0-5.0-1.0","6015e67814eb10734088e51e","F1","batch6","","760","tol_practice","","","","tol_peg_3","760","760","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","760","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","95835","0.0-2.0-5.1-0.1","6015e67814eb10734088e51e","F1","batch6","","757","tol_practice","","","","tol_peg_1","757","757","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","757","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","96595","0.0-2.0-5.1-1.1","6015e67814eb10734088e51e","F1","batch6","","759","tol_practice","","","","tol_peg_2","759","759","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","759","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","97612","0.0-2.0-6.0","6015e67814eb10734088e51e","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","99923","0.0-2.0-7.0-0.0","6015e67814eb10734088e51e","F1","batch6","","2310","tol_practice","","","","tol_peg_2","2310","2310","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","2310","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","100796","0.0-2.0-7.0-1.0","6015e67814eb10734088e51e","F1","batch6","","871","tol_practice","","","","tol_peg_3","871","871","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","871","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","101644","0.0-2.0-7.1-0.1","6015e67814eb10734088e51e","F1","batch6","","848","tol_practice","","","","tol_peg_1","848","848","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","848","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","102363","0.0-2.0-7.1-1.1","6015e67814eb10734088e51e","F1","batch6","","718","tol_practice","","","","tol_peg_2","718","718","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","718","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","103376","0.0-2.0-8.0","6015e67814eb10734088e51e","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","106610","0.0-2.0-9.0","6015e67814eb10734088e51e","F1","batch6","","3233.2000000178814","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","111139","0.0-2.0-10.0-0.0","6015e67814eb10734088e51e","F1","batch6","","3508","tol_tohand","","","","tol_peg_2","3508","3508","0","[[1,2,0],[0,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","111803","0.0-2.0-10.0-1.0","6015e67814eb10734088e51e","F1","batch6","","662","tol_toboard","","","","tol_peg_3","662","662","0","[[1,2,0],[0,0],[3]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","112445","0.0-2.0-10.1-0.1","6015e67814eb10734088e51e","F1","batch6","","641","tol_tohand","","","","tol_peg_1","641","641","0","[[1,0,0],[0,0],[3]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
