"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","14311","0.0-0.0","60429021c960ed190edaedca","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","24994","0.0-1.0-0.0","60429021c960ed190edaedca","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","29997","0.0-2.0-0.0","60429021c960ed190edaedca","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","127396","0.0-2.0-1.0-0.0","60429021c960ed190edaedca","A3","batch1","[{""page_index"":0,""viewing_time"":13774.90000000596},{""page_index"":1,""viewing_time"":83622.5}]","97397.80000001192","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","130303","0.0-2.0-1.0-1.0-0.0","60429021c960ed190edaedca","A3","batch1","","2904.4000000059605","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","134791","0.0-2.0-1.0-1.0-1.0","60429021c960ed190edaedca","A3","batch1","","4485.4000000059605","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","143795","0.0-2.0-1.0-1.0-2.0","60429021c960ed190edaedca","A3","batch1","","9001.40000000596","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","147555","0.0-2.0-1.0-1.0-3.0","60429021c960ed190edaedca","A3","batch1","","3758.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","156445","0.0-2.0-1.0-1.0-4.0","60429021c960ed190edaedca","A3","batch1","","8887.59999999404","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","159263","0.0-2.0-2.0","60429021c960ed190edaedca","A3","batch1","","2815.300000011921","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","161399","0.0-2.0-3.0-0.0","60429021c960ed190edaedca","A3","batch1","","2130.300000011921","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","162425","0.0-2.0-3.0-1.0","60429021c960ed190edaedca","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","163805","0.0-2.0-3.0-0.1","60429021c960ed190edaedca","A3","batch1","","1377.5999999940395","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","164827","0.0-2.0-3.0-1.1","60429021c960ed190edaedca","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","165996","0.0-2.0-3.0-0.2","60429021c960ed190edaedca","A3","batch1","","1166.800000011921","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","167017","0.0-2.0-3.0-1.2","60429021c960ed190edaedca","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","168410","0.0-2.0-3.0-0.3","60429021c960ed190edaedca","A3","batch1","","1391","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","169429","0.0-2.0-3.0-1.3","60429021c960ed190edaedca","A3","batch1","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","170286","0.0-2.0-3.0-0.4","60429021c960ed190edaedca","A3","batch1","","854.6000000238419","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","171301","0.0-2.0-3.0-1.4","60429021c960ed190edaedca","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","200504","0.0-2.0-4.0","60429021c960ed190edaedca","A3","batch1","","29202.600000023842","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","201306","0.0-2.0-5.0-0.0","60429021c960ed190edaedca","A3","batch1","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","202501","0.0-2.0-5.0-1.0","60429021c960ed190edaedca","A3","batch1","","1192.199999988079","stim/yes_39_hor_w1_w.png","f","pattern_response","true","f","pattern_62","1192.199999988079","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","203817","0.0-2.0-5.0-0.1","60429021c960ed190edaedca","A3","batch1","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","206946","0.0-2.0-5.0-1.1","60429021c960ed190edaedca","A3","batch1","","3127.100000023842","stim/no_67_1.png","j","pattern_response","true","j","pattern_39","3127.100000023842","true","2","","","","","","","","","","","","","","","","","","",""
