"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","4368","0.0-0.0","604d8f415e948938fd60b536","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","268382","0.0-1.0-0.0","604d8f415e948938fd60b536","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","412085","0.0-2.0-0.0","604d8f415e948938fd60b536","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","432855","0.0-2.0-1.0-0.0","604d8f415e948938fd60b536","A3","batch1","[{""page_index"":0,""viewing_time"":13765},{""page_index"":1,""viewing_time"":6993.300000190735}]","20762.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","464573","0.0-2.0-1.0-1.0-0.0","604d8f415e948938fd60b536","A3","batch1","","31711.39999961853","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","473727","0.0-2.0-1.0-1.0-1.0","604d8f415e948938fd60b536","A3","batch1","","9147","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","475711","0.0-2.0-1.0-1.0-2.0","604d8f415e948938fd60b536","A3","batch1","","1974.0999999046326","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","479853","0.0-2.0-1.0-1.0-3.0","604d8f415e948938fd60b536","A3","batch1","","4138.299999713898","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","481305","0.0-2.0-1.0-1.0-4.0","604d8f415e948938fd60b536","A3","batch1","","1446.3000001907349","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","483646","0.0-2.0-2.0","604d8f415e948938fd60b536","A3","batch1","","2331.699999809265","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","488247","0.0-2.0-3.0-0.0","604d8f415e948938fd60b536","A3","batch1","","4582.200000286102","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","489272","0.0-2.0-3.0-1.0","604d8f415e948938fd60b536","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","490709","0.0-2.0-3.0-0.1","604d8f415e948938fd60b536","A3","batch1","","1431.9000000953674","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","491737","0.0-2.0-3.0-1.1","604d8f415e948938fd60b536","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","492777","0.0-2.0-3.0-0.2","604d8f415e948938fd60b536","A3","batch1","","1033.2000002861023","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","493799","0.0-2.0-3.0-1.2","604d8f415e948938fd60b536","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","494473","0.0-2.0-3.0-0.3","604d8f415e948938fd60b536","A3","batch1","","667.0999999046326","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","495492","0.0-2.0-3.0-1.3","604d8f415e948938fd60b536","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","496843","0.0-2.0-3.0-0.4","604d8f415e948938fd60b536","A3","batch1","","1343.3999996185303","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","497869","0.0-2.0-3.0-1.4","604d8f415e948938fd60b536","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","503449","0.0-2.0-4.0","604d8f415e948938fd60b536","A3","batch1","","5572.5","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","504266","0.0-2.0-5.0-0.0","604d8f415e948938fd60b536","A3","batch1","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","505634","0.0-2.0-5.0-1.0","604d8f415e948938fd60b536","A3","batch1","","1356.7000002861023","stim/no_18_1_b.png","j","pattern_response","true","j","pattern_05","1356.7000002861023","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","506954","0.0-2.0-5.0-0.1","604d8f415e948938fd60b536","A3","batch1","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","508504","0.0-2.0-5.0-1.1","604d8f415e948938fd60b536","A3","batch1","","1542.4000000953674","stim/no_33_1_b.png","j","pattern_response","true","j","pattern_15","1542.4000000953674","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","509816","0.0-2.0-5.0-0.2","604d8f415e948938fd60b536","A3","batch1","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","510999","0.0-2.0-5.0-1.2","604d8f415e948938fd60b536","A3","batch1","","1179","stim/yes_26_dia_w2_w.png","f","pattern_response","true","f","pattern_50","1179","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","512313","0.0-2.0-5.0-0.3","604d8f415e948938fd60b536","A3","batch1","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","513782","0.0-2.0-5.0-1.3","604d8f415e948938fd60b536","A3","batch1","","1464.3000001907349","stim/yes_29_hor_b1_b.png","f","pattern_response","true","f","pattern_52","1464.3000001907349","true","4","","","","","","","","","","","","","","","","","","",""
