"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1465","0.0-0.0","6058466a43c6819ea1d84822","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","32194","0.0-1.0-0.0","6058466a43c6819ea1d84822","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","38418","0.0-2.0-0.0","6058466a43c6819ea1d84822","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","237696","0.0-2.0-1.0-0.0-0.0","6058466a43c6819ea1d84822","F1","batch6","[{""page_index"":0,""viewing_time"":27944.300000000745},{""page_index"":1,""viewing_time"":7948.5},{""page_index"":2,""viewing_time"":9938.89999999851},{""page_index"":3,""viewing_time"":102078.5},{""page_index"":4,""viewing_time"":23998.10000000149},{""page_index"":5,""viewing_time"":20328.699999999255},{""page_index"":6,""viewing_time"":7044.699999999255}]","199282.19999999925","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","239152","0.0-2.0-1.0-1.0-0.0","6058466a43c6819ea1d84822","F1","batch6","","1453.300000000745","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","252169","0.0-2.0-1.0-1.0-1.0","6058466a43c6819ea1d84822","F1","batch6","","13014","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","254209","0.0-2.0-1.0-1.0-2.0","6058466a43c6819ea1d84822","F1","batch6","","2034.9000000022352","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","263116","0.0-2.0-1.0-1.0-3.0","6058466a43c6819ea1d84822","F1","batch6","","8906.199999999255","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","264117","0.0-2.0-1.0-1.0-4.0","6058466a43c6819ea1d84822","F1","batch6","","998.7000000029802","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","267803","0.0-2.0-2.0","6058466a43c6819ea1d84822","F1","batch6","","3682.699999999255","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
