"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2873","0.0-0.0","607b155c459cf45e913f93a6","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","27782","0.0-1.0-0.0","607b155c459cf45e913f93a6","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","31876","0.0-2.0-0.0","607b155c459cf45e913f93a6","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","115010","0.0-2.0-1.0-0.0-0.0","607b155c459cf45e913f93a6","F1","batch6","[{""page_index"":0,""viewing_time"":14267},{""page_index"":1,""viewing_time"":5615},{""page_index"":2,""viewing_time"":2767},{""page_index"":3,""viewing_time"":8514},{""page_index"":4,""viewing_time"":11034},{""page_index"":5,""viewing_time"":13404},{""page_index"":4,""viewing_time"":5037},{""page_index"":3,""viewing_time"":2074},{""page_index"":4,""viewing_time"":12513},{""page_index"":5,""viewing_time"":5687},{""page_index"":6,""viewing_time"":2221}]","83133","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","116314","0.0-2.0-1.0-1.0-0.0","607b155c459cf45e913f93a6","F1","batch6","","1302","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","125398","0.0-2.0-1.0-1.0-1.0","607b155c459cf45e913f93a6","F1","batch6","","9082","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","126868","0.0-2.0-1.0-1.0-2.0","607b155c459cf45e913f93a6","F1","batch6","","1470","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","129300","0.0-2.0-1.0-1.0-3.0","607b155c459cf45e913f93a6","F1","batch6","","2429","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","130159","0.0-2.0-1.0-1.0-4.0","607b155c459cf45e913f93a6","F1","batch6","","859","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","132607","0.0-2.0-1.0-2.0-0.0","607b155c459cf45e913f93a6","F1","batch6","","2446","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","137206","0.0-2.0-1.1-0.1-0.1","607b155c459cf45e913f93a6","F1","batch6","[{""page_index"":0,""viewing_time"":919},{""page_index"":1,""viewing_time"":412},{""page_index"":2,""viewing_time"":389},{""page_index"":3,""viewing_time"":402},{""page_index"":4,""viewing_time"":397},{""page_index"":5,""viewing_time"":433},{""page_index"":6,""viewing_time"":1647}]","4599","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","137915","0.0-2.0-1.1-1.1-0.1","607b155c459cf45e913f93a6","F1","batch6","","709","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","139251","0.0-2.0-1.1-1.1-1.1","607b155c459cf45e913f93a6","F1","batch6","","1336","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","140976","0.0-2.0-1.1-1.1-2.1","607b155c459cf45e913f93a6","F1","batch6","","1724","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","143355","0.0-2.0-1.1-1.1-3.1","607b155c459cf45e913f93a6","F1","batch6","","2377","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","143976","0.0-2.0-1.1-1.1-4.1","607b155c459cf45e913f93a6","F1","batch6","","620","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","145914","0.0-2.0-2.0","607b155c459cf45e913f93a6","F1","batch6","","1936","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","147489","0.0-2.0-3.0-0.0","607b155c459cf45e913f93a6","F1","batch6","","1574","tol_practice","","","","tol_peg_2","1574","1574","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1574","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","150496","0.0-2.0-3.0-1.0","607b155c459cf45e913f93a6","F1","batch6","","3006","tol_practice","","","","tol_peg_3","3006","3006","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","3006","","","","","","","","","","","","","","",""
